instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,75817,1311,11.7812,2000.02,2000,
J20M5N1,2,1457,1374,75057,1311,11.7915,2000.01,2000,
J20M5N1,3,1457,1374,75767,1311,11.7819,2000.01,2000,
J20M5N1,4,1457,1374,75745,1311,11.7818,2000.01,2000,
J20M5N1,5,1457,1374,75585,1311,11.787,2000.02,2000,
J20M10N1,1,1843,1698,39214,12817,13.8719,2000.04,2000,
J20M10N1,2,1843,1698,39110,12817,13.8738,2000.02,2000,
J20M10N1,3,1843,1698,39279,12817,13.8713,2000.01,2000,
J20M10N1,4,1843,1698,42599,12817,13.9109,2000.02,2000,
J20M10N1,5,1843,1698,45113,12817,13.8884,2000.04,2000,
J20M20N1,1,2569,2437,24517,4804,11.7392,2000.06,2000,
J20M20N1,2,2569,2437,24406,4804,11.7235,2000.06,2000,
J20M20N1,3,2569,2437,24430,4804,11.73,2000.06,2000,
J20M20N1,4,2569,2437,24429,4804,11.7304,2000.06,2000,
J20M20N1,5,2569,2437,24486,4804,11.7358,2000.06,2000,
J50M5N1,1,3252,3022,6551,1037,11.2578,2000.03,2000,
J50M5N1,2,3252,3022,6586,1037,11.2575,2000.29,2000,
J50M5N1,3,3252,3022,6577,1037,11.2583,2000.12,2000,
J50M5N1,4,3252,3022,6545,1037,11.2573,2000.22,2000,
J50M5N1,5,3252,3022,6541,1037,11.2541,2000.05,2000,
J50M10N1,1,3794,3668,3696,2742,9.0855,2000.52,2000,
J50M10N1,2,3794,3668,3691,2742,9.08534,2000.06,2000,
J50M10N1,3,3794,3668,3712,2742,9.0924,2000.08,2000,
J50M10N1,4,3794,3668,3697,2742,9.0871,2000.44,2000,
J50M10N1,5,3794,3668,3708,2742,9.08765,2000.4,2000,
J50M20N1,1,4787,4576,1927,1420,13.3269,2000.18,2000,
J50M20N1,2,4787,4576,1924,1420,13.3202,2000.92,2000,
J50M20N1,3,4787,4575,1935,1927,13.354,2000.38,2000,
J50M20N1,4,4787,4576,1926,1420,13.3198,2000.19,2000,
J50M20N1,5,4787,4575,1937,1927,13.3779,2000.17,2000,
J100M5N1,1,6709,6198,886,774,12.3871,2000.63,2000,
J100M5N1,2,6709,6198,892,774,12.3677,2000.19,2000,
J100M5N1,3,6709,6198,889,774,12.3903,2000.01,2000,
J100M5N1,4,6709,6198,889,774,12.3903,2001.46,2000,
J100M5N1,5,6709,6198,889,774,12.3903,2001.49,2000,
J100M10N1,1,7380,7116,492,346,10.8272,2003.5,2000,
J100M10N1,2,7380,7116,491,346,10.8187,2001.19,2000,
J100M10N1,3,7380,7116,491,346,10.8187,2003.66,2000,
J100M10N1,4,7380,7116,490,346,10.8388,2000.19,2000,
J100M10N1,5,7380,7116,491,346,10.8187,2001.91,2000,
J100M20N1,1,8254,7993,242,233,11.8347,2004.18,2000,
J100M20N1,2,8254,7993,243,233,11.8066,2006.06,2000,
J100M20N1,3,8254,7993,244,233,11.832,2007.48,2000,
J100M20N1,4,8254,7993,242,233,11.8347,2008.13,2000,
J100M20N1,5,8254,7993,243,233,11.8066,2003.99,2000,
J200M5N1,1,12777,12268,114,112,15.1579,2012.99,2000,
J200M5N1,2,12777,12268,114,112,15.1579,2008.2,2000,
J200M5N1,3,12777,12268,114,112,15.1579,2007.22,2000,
J200M5N1,4,12777,12268,114,112,15.1579,2005.75,2000,
J200M5N1,5,12777,12268,114,112,15.1579,2006.07,2000,
J200M10N1,1,14235,13988,57,51,15.0877,2016.18,2000,
J200M10N1,2,14235,13988,57,51,15.0877,2017.11,2000,
J200M10N1,3,14235,13988,57,51,15.0877,2011.84,2000,
J200M10N1,4,14235,13988,57,51,15.0877,2011.13,2000,
J200M10N1,5,14235,13988,57,51,15.0877,2009,2000,
J200M20N1,1,15517,15404,28,27,16.2857,2050.23,2000,
J200M20N1,2,15517,15404,28,27,16.2857,2050.21,2000,
J200M20N1,3,15517,15404,28,27,16.2857,2049.76,2000,
J200M20N1,4,15517,15404,28,27,16.2857,2044.66,2000,
J200M20N1,5,15517,15404,28,27,16.2857,2052.27,2000,
J500M5N1,1,28876,28834,7,6,14,2331.27,2000,
J500M5N1,2,28876,28843,6,2,14.8333,2000.51,2000,
J500M5N1,3,28876,28843,6,2,14.8333,2013.05,2000,
J500M5N1,4,28876,28843,6,2,14.8333,2013.68,2000,
J500M5N1,5,28876,28843,6,2,14.8333,2018.01,2000,
J500M10N1,1,32679,32577,4,3,27.25,2471.48,2000,
J500M10N1,2,32679,32577,4,3,27.25,2447.72,2000,
J500M10N1,3,32679,32577,4,3,27.25,2478.96,2000,
J500M10N1,4,32679,32577,4,3,27.25,2465.47,2000,
J500M10N1,5,32679,32577,4,3,27.25,2451.95,2000,
J500M20N1,1,36188,36179,2,1,23.5,2533.87,2000,
J500M20N1,2,36188,36179,2,1,23.5,2546.43,2000,
J500M20N1,3,36188,36179,2,1,23.5,2538.1,2000,
J500M20N1,4,36188,36179,2,1,23.5,2532.7,2000,
J500M20N1,5,36188,36179,2,1,23.5,2538.62,2000,
