instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,76271,16292,0,2000.02,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M5N1,2,1457,1374,76003,16292,0,2000.01,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M5N1,3,1457,1374,75762,16292,0,2000,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M5N1,4,1457,1374,76187,16292,0,2000.02,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M5N1,5,1457,1374,75752,16292,0,2000.01,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,1,1843,1698,39593,7196,0,2000,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,2,1843,1698,39426,7196,0,2000.03,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,3,1843,1698,39563,7196,0,2000.05,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,4,1843,1698,39222,7196,0,2000.04,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,5,1843,1698,39406,7196,0,2000.01,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,1,2569,2437,24528,13320,0,2000.04,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,2,2569,2437,24403,13320,0,2000.06,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,3,2569,2437,24347,13320,0,2000.06,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,4,2569,2437,24356,13320,0,2000.03,2000,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,5,2569,2437,24394,13320,0,2000.08,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,1,3252,3066,6613,4192,0,2000.27,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,2,3252,3066,6635,4192,0,2000.05,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,3,3252,3066,6650,4192,0,2000.18,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,4,3252,3066,6617,4192,0,2000.2,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,5,3252,3066,6633,4192,0,2000.27,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,1,3794,3677,3708,2656,0,2000.29,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,2,3794,3677,3697,2656,0,2000.28,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,3,3794,3677,3705,2656,0,2000.4,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,4,3794,3677,3703,2656,0,2000.44,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,5,3794,3677,3710,2656,0,2000.06,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,1,4787,4547,1926,1268,0,2000.03,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,2,4787,4547,1926,1268,0,2000.54,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,3,4787,4547,1928,1268,0,2000.61,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,4,4787,4547,1929,1268,0,2000.02,2000,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,5,4787,4547,1932,1268,0,2000.02,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,1,6709,6285,895,850,0,2001.44,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,2,6709,6285,887,850,0,2001.65,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,3,6709,6285,893,850,0,2002.2,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,4,6709,6285,895,850,0,2000.79,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,5,6709,6285,888,850,0,2000.9,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,1,7380,7233,490,477,0,2000.5,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,2,7380,7233,492,477,0,2002.41,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,3,7380,7233,492,477,0,2000.85,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,4,7380,7233,492,477,0,2000.65,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,5,7380,7233,488,477,0,2000.42,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,1,8254,8093,240,160,0,2007.69,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,2,8254,8093,241,160,0,2002.7,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,3,8254,8093,241,160,0,2006.73,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,4,8254,8093,239,160,0,2003.86,2000,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,5,8254,8093,238,160,0,2006.51,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,1,12777,12544,115,114,0,2009.01,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,2,12777,12544,115,114,0,2005.99,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,3,12777,12544,115,114,0,2007.2,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,4,12777,12544,115,114,0,2009.48,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,5,12777,12544,115,114,0,2009.34,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,1,14235,14157,57,51,0,2013.34,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,2,14235,14157,57,51,0,2014.11,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,3,14235,14157,57,51,0,2012.89,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,4,14235,14157,57,51,0,2011.86,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,5,14235,14157,57,51,0,2016.03,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,1,15517,15458,28,19,0,2047.14,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,2,15517,15458,28,19,0,2046.72,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,3,15517,15458,28,19,0,2036.63,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,4,15517,15458,28,19,0,2045.32,2000,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,5,15517,15458,28,19,0,2039.33,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,1,28876,28857,7,5,0,2326.29,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,2,28876,28857,7,5,0,2317.02,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,3,28876,28857,7,5,0,2324.23,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,4,28876,28857,7,5,0,2321.25,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,5,28876,28857,7,5,0,2320.19,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,1,32679,32679,4,0,0,2450.73,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,2,32679,32679,4,0,0,2486.24,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,3,32679,32679,4,0,0,2451.05,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,4,32679,32679,4,0,0,2485.76,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,5,32679,32679,4,0,0,2452.62,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,1,36188,36188,2,0,0,2560.39,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,2,36188,36188,2,0,0,2526.69,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,3,36188,36188,2,0,0,2535.79,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,4,36188,36188,2,0,0,2529.49,2000,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,5,36188,36188,2,0,0,2529.65,2000,comparison bug reproduced faithfully: always a no-op, see README
