instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,103890,1283,10.9328,2000.01,2000,
J20M5N1,2,1457,1374,103988,1283,10.9338,2000.02,2000,
J20M5N1,3,1457,1374,104284,1283,10.9317,2000.01,2000,
J20M5N1,4,1457,1374,104018,1283,10.9334,2000.01,2000,
J20M5N1,5,1457,1374,104332,1283,10.9313,2000.01,2000,
J20M10N1,1,1843,1698,68891,9382,10.4807,2000.02,2000,
J20M10N1,2,1843,1698,68664,9382,10.486,2000.03,2000,
J20M10N1,3,1843,1698,68657,9382,10.4861,2000.03,2000,
J20M10N1,4,1843,1698,68774,9382,10.4837,2000,2000,
J20M10N1,5,1843,1698,68837,9382,10.4828,2000.01,2000,
J20M20N1,1,2569,2436,37968,26554,11.1859,2000.01,2000,
J20M20N1,2,2569,2436,37883,26554,11.1861,2000.02,2000,
J20M20N1,3,2569,2436,37964,26554,11.1865,2000.05,2000,
J20M20N1,4,2569,2436,37951,26554,11.1866,2000.04,2000,
J20M20N1,5,2569,2436,37998,26554,11.1824,2000.02,2000,
J50M5N1,1,3252,3022,21548,5917,6.06966,2000.06,2000,
J50M5N1,2,3252,3022,21512,5917,6.06699,2000.06,2000,
J50M5N1,3,3252,3022,21559,5917,6.06763,2000.09,2000,
J50M5N1,4,3252,3022,21519,5917,6.06817,2000.06,2000,
J50M5N1,5,3252,3022,21564,5917,6.06622,2000.05,2000,
J50M10N1,1,3794,3645,12169,9864,6.01093,2000.08,2000,
J50M10N1,2,3794,3645,12163,9864,6.01151,2000.02,2000,
J50M10N1,3,3794,3645,12157,9864,6.01086,2000.11,2000,
J50M10N1,4,3794,3645,12190,9864,6.01025,2000.04,2000,
J50M10N1,5,3794,3645,12167,9864,6.01192,2000.03,2000,
J50M20N1,1,4787,4522,6341,6217,6.96262,2000.21,2000,
J50M20N1,2,4787,4522,6370,6217,6.95479,2000.11,2000,
J50M20N1,3,4787,4522,6368,6217,6.95462,2000.2,2000,
J50M20N1,4,4787,4522,6362,6217,6.95206,2000.08,2000,
J50M20N1,5,4787,4522,6351,6217,6.9578,2000.1,2000,
J100M5N1,1,6709,6219,5441,5176,5.64326,2000.24,2000,
J100M5N1,2,6709,6219,5445,5176,5.64628,2000.24,2000,
J100M5N1,3,6709,6219,5453,5176,5.64717,2000.19,2000,
J100M5N1,4,6709,6219,5442,5176,5.6448,2000.01,2000,
J100M5N1,5,6709,6219,5443,5176,5.64597,2000.11,2000,
J100M10N1,1,7380,7084,3073,2577,5.93231,2000.23,2000,
J100M10N1,2,7380,7084,3075,2577,5.93236,2000.54,2000,
J100M10N1,3,7380,7084,3071,2577,5.93357,2000.57,2000,
J100M10N1,4,7380,7084,3070,2577,5.9355,2000.24,2000,
J100M10N1,5,7380,7084,3073,2577,5.93231,2000.45,2000,
J100M20N1,1,8254,7865,1602,1204,7.04869,2000.37,2000,
J100M20N1,2,8254,7865,1604,1204,7.05175,2000.33,2000,
J100M20N1,3,8254,7865,1604,1204,7.05175,2000.98,2000,
J100M20N1,4,8254,7865,1601,1204,7.04622,2000.8,2000,
J100M20N1,5,8254,7865,1602,1204,7.04869,2000.2,2000,
J200M5N1,1,12777,12174,1339,1250,6.02315,2001.38,2000,
J200M5N1,2,12777,12174,1365,1250,5.99121,2000.7,2000,
J200M5N1,3,12777,12174,1388,1250,5.94164,2001.08,2000,
J200M5N1,4,12777,12174,1385,1250,5.9444,2000.04,2000,
J200M5N1,5,12777,12174,1384,1250,5.94364,2000,2000,
J200M10N1,1,14235,13805,769,738,7.81404,2002.47,2000,
J200M10N1,2,14235,13805,771,738,7.79767,2000.64,2000,
J200M10N1,3,14235,13805,772,738,7.79016,2000.22,2000,
J200M10N1,4,14235,13805,773,738,7.79172,2002.45,2000,
J200M10N1,5,14235,13805,772,738,7.79016,2002.56,2000,
J200M20N1,1,15517,15078,393,375,10.5445,2004.26,2000,
J200M20N1,2,15517,15078,393,375,10.5445,2004.82,2000,
J200M20N1,3,15517,15078,393,375,10.5445,2004.6,2000,
J200M20N1,4,15517,15078,393,375,10.5445,2004.17,2000,
J200M20N1,5,15517,15078,391,375,10.5294,2000.39,2000,
J500M5N1,1,28876,28727,216,101,4.88889,2000.64,2000,
J500M5N1,2,28876,28727,216,101,4.88889,2008.4,2000,
J500M5N1,3,28876,28727,217,101,4.86636,2005.88,2000,
J500M5N1,4,28876,28727,216,101,4.88889,2002.61,2000,
J500M5N1,5,28876,28727,216,101,4.88889,2003.54,2000,
J500M10N1,1,32679,32434,116,89,6.72414,2001.95,2000,
J500M10N1,2,32679,32434,117,89,6.68376,2015.22,2000,
J500M10N1,3,32679,32434,116,89,6.72414,2004.52,2000,
J500M10N1,4,32679,32434,116,89,6.72414,2000.18,2000,
J500M10N1,5,32679,32434,116,89,6.72414,2000.34,2000,
J500M20N1,1,36188,36017,59,56,8.45763,2019.78,2000,
J500M20N1,2,36188,36017,59,56,8.45763,2016.89,2000,
J500M20N1,3,36188,36017,59,56,8.45763,2020.9,2000,
J500M20N1,4,36188,36017,59,56,8.45763,2017.92,2000,
J500M20N1,5,36188,36017,59,56,8.45763,2016.22,2000,
