instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,107700,31026,-3.89566,2000.01,2000,
J20M5N1,2,1457,1374,108519,31026,-3.87949,2000,2000,
J20M5N1,3,1457,1374,107847,31026,-3.8939,2000.01,2000,
J20M5N1,4,1457,1374,107878,31026,-3.89278,2000.01,2000,
J20M5N1,5,1457,1374,108810,31026,-3.88,2000,2000,
J20M10N1,1,1843,1698,72819,2746,-4.8853,2000.02,2000,
J20M10N1,2,1843,1698,72809,2746,-4.88607,2000.03,2000,
J20M10N1,3,1843,1698,72463,2746,-4.88128,2000.01,2000,
J20M10N1,4,1843,1698,72742,2746,-4.88304,2000.03,2000,
J20M10N1,5,1843,1698,72765,2746,-4.88516,2000.01,2000,
J20M20N1,1,2569,2436,41352,1643,2.4136,2000.02,2000,
J20M20N1,2,2569,2436,41263,1643,2.41403,2000.03,2000,
J20M20N1,3,2569,2436,41311,1643,2.41437,2000.05,2000,
J20M20N1,4,2569,2436,41361,1643,2.41438,2000.01,2000,
J20M20N1,5,2569,2436,41342,1643,2.41551,2000.01,2000,
J50M5N1,1,3252,3010,24472,16074,-4.68871,2000.04,2000,
J50M5N1,2,3252,3010,24492,16074,-4.69488,2000.04,2000,
J50M5N1,3,3252,3010,24521,16074,-4.69243,2000.04,2000,
J50M5N1,4,3252,3010,24580,16074,-4.68845,2000.03,2000,
J50M5N1,5,3252,3010,24549,16074,-4.69746,2000.03,2000,
J50M10N1,1,3794,3649,14378,3371,2.61337,2000.05,2000,
J50M10N1,2,3794,3649,14384,3371,2.61471,2000.06,2000,
J50M10N1,3,3794,3649,14401,3371,2.61162,2000.02,2000,
J50M10N1,4,3794,3649,14373,3371,2.61142,2000.08,2000,
J50M10N1,5,3794,3649,14392,3371,2.61562,2000.04,2000,
J50M20N1,1,4787,4504,7967,5848,0.284925,2000.25,2000,
J50M20N1,2,4787,4504,7852,5848,0.281966,2000.02,2000,
J50M20N1,3,4787,4504,7960,5848,0.27902,2000.01,2000,
J50M20N1,4,4787,4504,7897,5848,0.265924,2000.17,2000,
J50M20N1,5,4787,4504,7912,5848,0.274899,2000.2,2000,
J100M5N1,1,6709,6179,6312,6038,-1.69598,2000.12,2000,
J100M5N1,2,6709,6179,6299,6038,-1.69773,2000.11,2000,
J100M5N1,3,6709,6179,6301,6038,-1.69719,2000.19,2000,
J100M5N1,4,6709,6179,6299,6038,-1.69773,2000.24,2000,
J100M5N1,5,6709,6179,6315,6038,-1.68424,2000.06,2000,
J100M10N1,1,7380,7057,3860,3811,0.26943,2000.14,2000,
J100M10N1,2,7380,7057,3857,3811,0.275344,2000.1,2000,
J100M10N1,3,7380,7057,3847,3811,0.275019,2000.23,2000,
J100M10N1,4,7380,7057,3856,3811,0.274378,2000.33,2000,
J100M10N1,5,7380,7057,3854,3811,0.283083,2000.08,2000,
J100M20N1,1,8254,7954,2108,1890,-1.86338,2000.33,2000,
J100M20N1,2,8254,7954,2136,1890,-1.88109,2000.06,2000,
J100M20N1,3,8254,7954,2133,1890,-1.88701,2000.81,2000,
J100M20N1,4,8254,7954,2157,1890,-1.89522,2000.54,2000,
J100M20N1,5,8254,7954,2158,1890,-1.87998,2000.42,2000,
J200M5N1,1,12777,12238,1708,1457,-4.11768,2001.16,2000,
J200M5N1,2,12777,12238,1706,1457,-4.12603,2000.66,2000,
J200M5N1,3,12777,12238,1696,1457,-4.12559,2000.43,2000,
J200M5N1,4,12777,12238,1703,1457,-4.08808,2000.43,2000,
J200M5N1,5,12777,12238,1704,1457,-4.0939,2001.06,2000,
J200M10N1,1,14235,13768,1021,695,-1.89912,2001.1,2000,
J200M10N1,2,14235,13768,1018,695,-1.9165,2000.38,2000,
J200M10N1,3,14235,13768,1021,695,-1.89912,2001.51,2000,
J200M10N1,4,14235,13768,1016,695,-1.92028,2000.44,2000,
J200M10N1,5,14235,13768,1019,695,-1.91462,2000.59,2000,
J200M20N1,1,15517,15062,545,474,-0.240367,2003.47,2000,
J200M20N1,2,15517,15054,546,545,-0.181319,2002.34,2000,
J200M20N1,3,15517,15062,544,474,-0.259191,2002.87,2000,
J200M20N1,4,15517,15054,547,545,-0.124314,2003.73,2000,
J200M20N1,5,15517,15054,549,545,-0.189435,2002.07,2000,
J500M5N1,1,28876,28738,272,188,-7.94853,2006.34,2000,
J500M5N1,2,28876,28738,270,188,-7.93333,2004.82,2000,
J500M5N1,3,28876,28738,272,188,-7.94853,2002.21,2000,
J500M5N1,4,28876,28738,272,188,-7.94853,2001.95,2000,
J500M5N1,5,28876,28738,272,188,-7.94853,2000.86,2000,
J500M10N1,1,32679,32460,153,123,-8.89542,2005.15,2000,
J500M10N1,2,32679,32460,153,123,-8.89542,2008.98,2000,
J500M10N1,3,32679,32460,153,123,-8.89542,2007.63,2000,
J500M10N1,4,32679,32460,153,123,-8.89542,2009.37,2000,
J500M10N1,5,32679,32460,152,123,-8.92763,2002.3,2000,
J500M20N1,1,36188,36032,82,79,-5.39024,2014.79,2000,
J500M20N1,2,36188,36032,82,79,-5.39024,2015.26,2000,
J500M20N1,3,36188,36032,82,79,-5.39024,2011.22,2000,
J500M20N1,4,36188,36032,82,79,-5.39024,2008.71,2000,
J500M20N1,5,36188,36032,82,79,-5.39024,2022.19,2000,
