instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,72004,1051,11.8062,2000.01,2000,
J20M5N1,2,1457,1374,71318,1051,11.8109,2000.02,2000,
J20M5N1,3,1457,1374,72119,1051,11.806,2000.01,2000,
J20M5N1,4,1457,1374,72114,1051,11.8064,2000.02,2000,
J20M5N1,5,1457,1374,71883,1051,11.8065,2000,2000,
J20M10N1,1,1843,1698,47494,6114,13.7837,2000.04,2000,
J20M10N1,2,1843,1698,47445,6114,13.7866,2000.03,2000,
J20M10N1,3,1843,1698,47354,6114,13.7847,2000.04,2000,
J20M10N1,4,1843,1698,47306,6114,13.7839,2000.02,2000,
J20M10N1,5,1843,1698,47349,6114,13.7854,2000.03,2000,
J20M20N1,1,2569,2436,25765,12095,11.9939,2000.03,2000,
J20M20N1,2,2569,2436,25779,12095,11.9922,2000.04,2000,
J20M20N1,3,2569,2436,25712,12095,11.9921,2000.04,2000,
J20M20N1,4,2569,2436,25752,12095,11.9927,2000.08,2000,
J20M20N1,5,2569,2436,25741,12095,11.994,2000.02,2000,
J50M5N1,1,3252,2990,6824,5511,11.4165,2000.16,2000,
J50M5N1,2,3252,2990,6849,5511,11.4204,2000.12,2000,
J50M5N1,3,3252,2990,6853,5511,11.4207,2000.2,2000,
J50M5N1,4,3252,2990,6860,5511,11.4182,2000.14,2000,
J50M5N1,5,3252,2990,6862,5511,11.4168,2000.04,2000,
J50M10N1,1,3794,3672,3813,2903,9.25308,2000.09,2000,
J50M10N1,2,3794,3672,3811,2903,9.24692,2000.43,2000,
J50M10N1,3,3794,3672,3820,2903,9.25759,2000.34,2000,
J50M10N1,4,3794,3672,3816,2903,9.25498,2000.34,2000,
J50M10N1,5,3794,3672,3823,2903,9.25294,2000.23,2000,
J50M20N1,1,4787,4554,1975,795,10.7342,2000.1,2000,
J50M20N1,2,4787,4554,1965,795,10.7074,2000.48,2000,
J50M20N1,3,4787,4554,1973,795,10.7319,2000.7,2000,
J50M20N1,4,4787,4554,1955,795,10.7013,2000.9,2000,
J50M20N1,5,4787,4554,1972,795,10.7054,2001.01,2000,
J100M5N1,1,6709,6179,899,858,10.762,2002.06,2000,
J100M5N1,2,6709,6179,913,858,10.7809,2001.99,2000,
J100M5N1,3,6709,6179,914,858,10.7888,2000.92,2000,
J100M5N1,4,6709,6179,914,858,10.7888,2000.02,2000,
J100M5N1,5,6709,6179,910,858,10.7527,2000.49,2000,
J100M10N1,1,7380,7127,500,471,9.548,2000.06,2000,
J100M10N1,2,7380,7127,501,471,9.53094,2001.39,2000,
J100M10N1,3,7380,7124,502,501,9.53187,2002.06,2000,
J100M10N1,4,7380,7124,503,501,9.52087,2003.61,2000,
J100M10N1,5,7380,7127,501,471,9.53094,2000.2,2000,
J100M20N1,1,8254,7977,245,235,11.8816,2001.24,2000,
J100M20N1,2,8254,7977,245,235,11.8816,2002.03,2000,
J100M20N1,3,8254,7977,245,235,11.8816,2007.04,2000,
J100M20N1,4,8254,7977,245,235,11.8816,2000.22,2000,
J100M20N1,5,8254,7977,245,235,11.8816,2005.13,2000,
J200M5N1,1,12777,12292,115,107,14.9826,2005.14,2000,
J200M5N1,2,12777,12292,116,107,14.9397,2009.7,2000,
J200M5N1,3,12777,12292,116,107,14.9397,2006.85,2000,
J200M5N1,4,12777,12292,116,107,14.9397,2011.64,2000,
J200M5N1,5,12777,12292,116,107,14.9397,2008.64,2000,
J200M10N1,1,14235,14008,58,56,15.931,2023.73,2000,
J200M10N1,2,14235,14008,58,56,15.931,2026.92,2000,
J200M10N1,3,14235,14008,58,56,15.931,2027.4,2000,
J200M10N1,4,14235,14008,58,56,15.931,2024.87,2000,
J200M10N1,5,14235,14008,58,56,15.931,2026,2000,
J200M20N1,1,15517,15395,28,25,15.9643,2041.7,2000,
J200M20N1,2,15517,15395,28,25,15.9643,2040.64,2000,
J200M20N1,3,15517,15395,28,25,15.9643,2039.4,2000,
J200M20N1,4,15517,15395,28,25,15.9643,2045.96,2000,
J200M20N1,5,15517,15395,28,25,15.9643,2039,2000,
J500M5N1,1,28876,28834,7,6,14,2311.94,2000,
J500M5N1,2,28876,28834,7,6,14,2317.83,2000,
J500M5N1,3,28876,28834,7,6,14,2319.12,2000,
J500M5N1,4,28876,28834,7,6,14,2304.93,2000,
J500M5N1,5,28876,28834,7,6,14,2321.43,2000,
J500M10N1,1,32679,32577,4,3,27.25,2433.47,2000,
J500M10N1,2,32679,32577,4,3,27.25,2444.27,2000,
J500M10N1,3,32679,32577,4,3,27.25,2437.46,2000,
J500M10N1,4,32679,32577,4,3,27.25,2444.9,2000,
J500M10N1,5,32679,32577,4,3,27.25,2436.23,2000,
J500M20N1,1,36188,36179,2,1,23.5,2591.38,2000,
J500M20N1,2,36188,36179,2,1,23.5,2573.33,2000,
J500M20N1,3,36188,36179,2,1,23.5,2558.68,2000,
J500M20N1,4,36188,36179,2,1,23.5,2566.37,2000,
J500M20N1,5,36188,36179,2,1,23.5,2555.95,2000,
