instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,30586,831,19.8523,2000.02,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M5N1,2,1457,1374,33287,831,19.6707,2000,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M5N1,3,1457,1374,33180,831,19.6816,2000.03,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M5N1,4,1457,1374,33276,831,19.6748,2000.01,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M5N1,5,1457,1374,33242,831,19.6788,2000.04,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,1,1843,1698,21022,434,19.423,2000.03,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,2,1843,1698,20900,434,19.4211,2000.01,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,3,1843,1698,20990,434,19.4166,2000.03,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,4,1843,1698,20967,434,19.4202,2000.01,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,5,1843,1698,21091,434,19.4349,2000.02,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,1,2569,2436,8766,53,22.5943,2000.06,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,2,2569,2436,8748,53,22.5947,2000.12,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,3,2569,2436,8761,53,22.5897,2000.07,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,4,2569,2436,8637,53,22.5801,2000.18,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,5,2569,2436,8767,53,22.5918,2000.07,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,1,3252,3032,6819,2562,7.91538,2000.52,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,2,3252,3021,6810,4894,9.17474,2000.52,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,3,3252,2995,6244,4961,9.76618,2000.2,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,4,3252,3008,5411,4507,10.9475,2000.2,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,5,3252,3007,6866,4457,8.7709,2000.03,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,1,3794,3651,1955,340,12.1192,2000.71,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,2,3794,3654,2109,1900,10.166,2000.17,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,3,3794,3646,2076,1268,11.1329,2000.16,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,4,3794,3639,2026,1164,12.1836,2000.66,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,5,3794,3645,2101,1586,11.7216,2000.03,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,1,4787,4531,247,233,17.2186,2000.96,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,2,4787,4532,246,132,17.3618,2001.19,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,3,4787,4531,264,102,11.4659,2011.41,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,4,4787,4544,278,202,18.0647,2000.28,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,5,4787,4533,247,205,18.83,2000.31,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,1,6709,6220,348,193,15.7385,2003.83,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,2,6709,6153,378,348,12.3042,2001.87,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,3,6709,6155,349,216,13.1834,2001.51,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,4,6709,6165,242,184,13.2769,2004.43,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,5,6709,6204,205,192,19.5463,2000.09,2000,per-call burst of 20.000000ms; T cools across calls within a run
