instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,28947,9,32.1242,2000,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M5N1,2,1457,1374,29145,9,32.0968,2000.02,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M5N1,3,1457,1374,29096,9,32.0888,2000.01,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M5N1,4,1457,1374,29089,9,32.0898,2000.02,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M5N1,5,1457,1374,29079,9,32.0902,2000.02,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,1,1843,1698,17848,35,46.6035,2000.02,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,2,1843,1698,17854,35,46.6065,2000.01,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,3,1843,1698,17842,35,46.6048,2000.03,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,4,1843,1698,17834,35,46.6077,2000.03,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M10N1,5,1843,1698,17873,35,46.5945,2000,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,1,2569,2436,7243,76,35.5478,2000,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,2,2569,2436,7172,6,36.5158,2000.23,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,3,2569,2436,7287,71,36.5621,2000.07,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,4,2569,2436,7219,596,35.7103,2000.01,2000,per-call burst of 20.000000ms; T cools across calls within a run
J20M20N1,5,2569,2436,7261,697,36.3869,2000.2,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,1,3252,3012,4304,443,26.4691,2000.91,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,2,3252,2998,5324,331,26.689,2000.02,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,3,3252,3004,3992,2650,28.2272,2000.87,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,4,3252,2993,4894,459,27.2675,2000.05,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M5N1,5,3252,3016,4450,285,28.2231,2000.02,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,1,3794,3635,1520,858,25.8868,2001.38,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,2,3794,3620,1561,1501,26.7072,2000.04,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,3,3794,3625,1973,633,25.3315,2000.22,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,4,3794,3605,2390,279,28.2582,2000.09,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M10N1,5,3794,3628,1911,175,29.8446,2000.28,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,1,4787,4509,255,217,32.5922,2000.81,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,2,4787,4500,255,124,30.6549,2001.63,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,3,4787,4479,181,176,32.0552,2003.56,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,4,4787,4507,268,92,33.8955,2000.31,2000,per-call burst of 20.000000ms; T cools across calls within a run
J50M20N1,5,4787,4498,269,143,33.1264,2001.86,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,1,6709,6143,198,182,29.3939,2000.33,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,2,6709,6134,411,266,24.236,2001.74,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,3,6709,6151,289,84,24.3253,2003.92,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,4,6709,6161,208,94,27.8894,2003.39,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M5N1,5,6709,6134,255,210,22.8235,2000.16,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M10N1,1,7380,7096,103,95,26.4369,2001.38,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M10N1,2,7380,7042,110,89,24.1727,2010.82,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M10N1,3,7380,7004,114,99,29.4298,2003.38,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M10N1,4,7380,7043,101,91,19.2574,2002.33,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M10N1,5,7380,7077,106,94,23.5377,2014.46,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M20N1,1,8254,7879,100,93,22.97,2009.71,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M20N1,2,8254,7857,100,93,23.32,2009.87,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M20N1,3,8254,7873,100,93,21.73,2009.75,2000,per-call burst of 20.000000ms; T cools across calls within a run
J100M20N1,4,8254,7877,100,84,20.43,2009.59,2000,per-call burst of 20.000000ms; T cools across calls within a run
