instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,10973,101,36.9252,2000.15,2000,per-call burst of 20.000000ms
J20M5N1,2,1457,1374,10955,101,36.9262,2000.04,2000,per-call burst of 20.000000ms
J20M5N1,3,1457,1374,10965,101,36.9344,2000.02,2000,per-call burst of 20.000000ms
J20M5N1,4,1457,1374,10874,101,36.8804,2000.12,2000,per-call burst of 20.000000ms
J20M5N1,5,1457,1374,10889,101,36.8996,2000.06,2000,per-call burst of 20.000000ms
J20M10N1,1,1843,1698,7420,77,44.2062,2000.05,2000,per-call burst of 20.000000ms
J20M10N1,2,1843,1698,7391,77,44.1721,2000.2,2000,per-call burst of 20.000000ms
J20M10N1,3,1843,1698,7444,77,44.1998,2000.04,2000,per-call burst of 20.000000ms
J20M10N1,4,1843,1698,7396,77,44.1924,2000.11,2000,per-call burst of 20.000000ms
J20M10N1,5,1843,1698,7416,77,44.2139,2000.77,2000,per-call burst of 20.000000ms
J20M20N1,1,2569,2436,4456,303,35.3586,2000.44,2000,per-call burst of 20.000000ms
J20M20N1,2,2569,2436,4439,303,35.3228,2000.16,2000,per-call burst of 20.000000ms
J20M20N1,3,2569,2436,4462,303,35.3413,2000.24,2000,per-call burst of 20.000000ms
J20M20N1,4,2569,2436,4458,303,35.3493,2000.05,2000,per-call burst of 20.000000ms
J20M20N1,5,2569,2436,4452,303,35.3495,2000.11,2000,per-call burst of 20.000000ms
J50M5N1,1,3252,2994,1575,1034,34.4514,2000.82,2000,per-call burst of 20.000000ms
J50M5N1,2,3252,2994,1569,1034,34.5022,2001.1,2000,per-call burst of 20.000000ms
J50M5N1,3,3252,2994,1576,1034,34.4499,2001.02,2000,per-call burst of 20.000000ms
J50M5N1,4,3252,2994,1574,1034,34.4663,2000.38,2000,per-call burst of 20.000000ms
J50M5N1,5,3252,2994,1572,1034,34.4644,2000.43,2000,per-call burst of 20.000000ms
J50M10N1,1,3794,3648,953,658,28.8573,2001.2,2000,per-call burst of 20.000000ms
J50M10N1,2,3794,3648,953,658,28.8573,2002.33,2000,per-call burst of 20.000000ms
J50M10N1,3,3794,3648,953,658,28.8573,2000.16,2000,per-call burst of 20.000000ms
J50M10N1,4,3794,3648,953,658,28.8573,2000.2,2000,per-call burst of 20.000000ms
J50M10N1,5,3794,3648,953,658,28.8573,2001.81,2000,per-call burst of 20.000000ms
J50M20N1,1,4787,4527,523,413,28.3709,2001.71,2000,per-call burst of 20.000000ms
J50M20N1,2,4787,4527,526,413,28.2605,2003.97,2000,per-call burst of 20.000000ms
J50M20N1,3,4787,4527,529,413,28.2968,2001.39,2000,per-call burst of 20.000000ms
J50M20N1,4,4787,4527,528,413,28.3314,2000.5,2000,per-call burst of 20.000000ms
J50M20N1,5,4787,4527,525,413,28.3067,2000.78,2000,per-call burst of 20.000000ms
J100M5N1,1,6709,6112,219,132,35.3242,2000.87,2000,per-call burst of 20.000000ms
