instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,57188,198,30.2442,2000.01,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M5N1,2,1457,1374,56937,198,30.2515,2000.01,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M5N1,3,1457,1374,57112,198,30.2466,2000.04,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M5N1,4,1457,1374,56712,198,30.2586,2000.03,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M5N1,5,1457,1374,57305,198,30.2379,2000.03,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M10N1,1,1843,1698,40105,63,43.4783,2000.02,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M10N1,2,1843,1698,40157,63,43.4952,2000.02,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M10N1,3,1843,1698,40159,63,43.4941,2000.01,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M10N1,4,1843,1698,40021,63,43.4924,2000.03,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M10N1,5,1843,1698,40204,63,43.4979,2000.03,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M20N1,1,2569,2436,24770,65,31.1944,2000,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M20N1,2,2569,2436,24727,65,31.1996,2000.14,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M20N1,3,2569,2436,24590,65,31.2037,2000.01,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M20N1,4,2569,2436,24786,65,31.1926,2000.01,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J20M20N1,5,2569,2436,24675,65,31.1914,2000.06,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J50M5N1,1,3252,2995,14672,13551,25.4903,2000.1,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J50M5N1,2,3252,2995,14685,13551,25.4931,2000.02,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
