instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,65465,133,29.2705,2000.01,2000,
J20M5N1,2,1457,1374,65463,133,29.2703,2000,2000,
J20M5N1,3,1457,1374,65394,133,29.2671,2000.03,2000,
J20M5N1,4,1457,1374,65379,133,29.2661,2000.02,2000,
J20M5N1,5,1457,1374,65433,133,29.2706,2000.02,2000,
J20M10N1,1,1843,1698,36277,1289,43.1244,2000.06,2000,
J20M10N1,2,1843,1698,36539,1289,43.1699,2000.07,2000,
J20M10N1,3,1843,1698,36322,1289,43.1327,2000.01,2000,
J20M10N1,4,1843,1698,36597,1289,43.1746,2000.03,2000,
J20M10N1,5,1843,1698,36366,1289,43.1486,2000,2000,
J20M20N1,1,2569,2436,25500,137,29.98,2000.01,2000,
J20M20N1,2,2569,2436,25569,137,29.9819,2000.02,2000,
J20M20N1,3,2569,2436,25538,137,29.9856,2000,2000,
J20M20N1,4,2569,2436,25558,137,29.9884,2000.04,2000,
J20M20N1,5,2569,2436,25556,137,29.9882,2000.09,2000,
J50M5N1,1,3252,3000,15120,5935,24.198,2000.11,2000,
J50M5N1,2,3252,3000,15222,5935,24.1719,2000.12,2000,
J50M5N1,3,3252,3000,15038,5935,24.1996,2000.01,2000,
J50M5N1,4,3252,3000,14757,5935,24.2568,2000.09,2000,
J50M5N1,5,3252,3000,14977,5935,24.2213,2000.08,2000,
J50M10N1,1,3794,3631,9194,8657,21.2046,2000.16,2000,
J50M10N1,2,3794,3631,9193,8657,21.2031,2000.03,2000,
J50M10N1,3,3794,3631,9203,8657,21.2113,2000.24,2000,
J50M10N1,4,3794,3631,9196,8657,21.2038,2000.34,2000,
J50M10N1,5,3794,3631,9194,8657,21.2046,2000.09,2000,
J50M20N1,1,4787,4503,5015,2160,25.1819,2000.21,2000,
J50M20N1,2,4787,4503,5006,2160,25.1872,2000.8,2000,
J50M20N1,3,4787,4503,5019,2160,25.1911,2000.15,2000,
J50M20N1,4,4787,4503,5007,2160,25.1855,2000.26,2000,
J50M20N1,5,4787,4503,5016,2160,25.1876,2000.12,2000,
J100M5N1,1,6709,6119,4229,3366,18.044,2000.46,2000,
J100M5N1,2,6709,6119,4218,3366,18.0638,2000.17,2000,
J100M5N1,3,6709,6119,4228,3366,18.0393,2000.22,2000,
J100M5N1,4,6709,6119,4220,3366,18.0637,2000.2,2000,
J100M5N1,5,6709,6119,4219,3366,18.068,2000.14,2000,
J100M10N1,1,7380,7048,2568,1389,18.773,2000.66,2000,
J100M10N1,2,7380,7048,2555,1389,18.7636,2000.37,2000,
J100M10N1,3,7380,7048,2565,1389,18.7618,2000.6,2000,
J100M10N1,4,7380,7048,2567,1389,18.7694,2000.5,2000,
J100M10N1,5,7380,7048,2569,1389,18.7812,2000.51,2000,
J100M20N1,1,8254,7794,1243,1221,24.3113,2000.8,2000,
J100M20N1,2,8254,7794,1243,1221,24.3113,2000.36,2000,
J100M20N1,3,8254,7794,1244,1221,24.3215,2001.79,2000,
J100M20N1,4,8254,7794,1244,1221,24.3215,2001.25,2000,
J100M20N1,5,8254,7796,1190,860,24.5681,2001.08,2000,
J200M5N1,1,12777,11997,1115,833,14.2816,2001.5,2000,
J200M5N1,2,12777,11997,1118,833,14.2433,2000.9,2000,
J200M5N1,3,12777,11997,1118,833,14.2433,2000.62,2000,
J200M5N1,4,12777,11997,1120,833,14.2402,2002.16,2000,
J200M5N1,5,12777,11997,1117,833,14.256,2000.47,2000,
J200M10N1,1,14235,13512,598,520,18.714,2002.35,2000,
J200M10N1,2,14235,13512,597,520,18.6566,2000.04,2000,
J200M10N1,3,14235,13512,597,520,18.6566,2003.24,2000,
J200M10N1,4,14235,13512,595,520,18.6975,2000.15,2000,
J200M10N1,5,14235,13512,597,520,18.6566,2002.92,2000,
J200M20N1,1,15517,14914,278,273,27.3237,2004.97,2000,
J200M20N1,2,15517,14914,278,273,27.3237,2001.12,2000,
J200M20N1,3,15517,14914,277,273,27.3357,2001.25,2000,
J200M20N1,4,15517,14914,278,273,27.3237,2003.46,2000,
J200M20N1,5,15517,14914,278,273,27.3237,2003.74,2000,
J500M5N1,1,28876,28745,184,32,12.0435,2021.57,2000,
J500M5N1,2,28876,28745,184,32,12.0435,2013.9,2000,
J500M5N1,3,28876,28745,184,32,12.0435,2011.84,2000,
J500M5N1,4,28876,28745,184,32,12.0435,2013.84,2000,
J500M5N1,5,28876,28745,184,32,12.0435,2027.18,2000,
J500M10N1,1,32679,32358,109,52,16.3028,2015.79,2000,
J500M10N1,2,32679,32358,109,52,16.3028,2006.24,2000,
J500M10N1,3,32679,32358,109,52,16.3028,2018.53,2000,
J500M10N1,4,32679,32358,107,52,16.2056,2010.8,2000,
J500M10N1,5,32679,32358,109,52,16.3028,2019.8,2000,
J500M20N1,1,36188,35810,45,17,25.5778,2077.24,2000,
J500M20N1,2,36188,35810,45,17,25.5778,2079.87,2000,
J500M20N1,3,36188,35810,45,17,25.5778,2086.09,2000,
J500M20N1,4,36188,35810,45,17,25.5778,2074.91,2000,
J500M20N1,5,36188,35810,45,17,25.5778,2076.85,2000,
