instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,109080,268,23.0695,2000.01,2000,
J20M5N1,2,1457,1374,109261,268,23.0771,2000,2000,
J20M5N1,3,1457,1374,108751,268,23.0684,2000.01,2000,
J20M5N1,4,1457,1374,109415,268,23.0812,2000.01,2000,
J20M5N1,5,1457,1374,109207,268,23.0746,2000.01,2000,
J20M10N1,1,1843,1698,63769,2741,34.4028,2000.01,2000,
J20M10N1,2,1843,1698,63631,2741,34.4214,2000,2000,
J20M10N1,3,1843,1698,63569,2741,34.4188,2000,2000,
J20M10N1,4,1843,1698,63843,2741,34.4035,2000.02,2000,
J20M10N1,5,1843,1698,63676,2741,34.4131,2000.02,2000,
J20M20N1,1,2569,2436,43165,23846,24.907,2000.03,2000,
J20M20N1,2,2569,2436,43064,23846,24.9099,2000.01,2000,
J20M20N1,3,2569,2436,43097,23846,24.9033,2000,2000,
J20M20N1,4,2569,2436,43041,23846,24.9116,2000.03,2000,
J20M20N1,5,2569,2436,43140,23846,24.9019,2000.03,2000,
J50M5N1,1,3252,2987,22746,17122,21.6068,2000.01,2000,
J50M5N1,2,3252,2987,22317,17122,21.6314,2000.07,2000,
J50M5N1,3,3252,2987,22677,17122,21.6131,2000.06,2000,
J50M5N1,4,3252,2987,22237,17122,21.6324,2000.05,2000,
J50M5N1,5,3252,2987,22387,17122,21.6313,2000.03,2000,
J50M10N1,1,3794,3643,14527,8350,17.1684,2000.01,2000,
J50M10N1,2,3794,3643,14552,8350,17.1658,2000.11,2000,
J50M10N1,3,3794,3643,14522,8350,17.1719,2000.02,2000,
J50M10N1,4,3794,3643,14525,8350,17.1689,2000.03,2000,
J50M10N1,5,3794,3643,14527,8350,17.1684,2000.07,2000,
J50M20N1,1,4787,4513,8915,7860,20.3019,2000.02,2000,
J50M20N1,2,4787,4513,8918,7860,20.2994,2000.11,2000,
J50M20N1,3,4787,4513,8913,7860,20.3026,2000.12,2000,
J50M20N1,4,4787,4513,8928,7860,20.3019,2000.22,2000,
J50M20N1,5,4787,4513,8928,7860,20.3019,2000.13,2000,
J100M5N1,1,6709,6133,6464,5939,14.5486,2000.27,2000,
J100M5N1,2,6709,6133,6451,5939,14.5546,2000.22,2000,
J100M5N1,3,6709,6133,6464,5939,14.5486,2000.03,2000,
J100M5N1,4,6709,6133,6477,5939,14.56,2000.12,2000,
J100M5N1,5,6709,6133,6464,5939,14.5486,2000.26,2000,
J100M10N1,1,7380,7055,4038,3988,17.2476,2000.47,2000,
J100M10N1,2,7380,7055,4044,3988,17.2347,2000.19,2000,
J100M10N1,3,7380,7055,4036,3988,17.2562,2000.19,2000,
J100M10N1,4,7380,7055,4058,3988,17.2282,2000.2,2000,
J100M10N1,5,7380,7055,4044,3988,17.2347,2000.37,2000,
J100M20N1,1,8254,7820,2371,2343,20.415,2000.46,2000,
J100M20N1,2,8254,7820,2371,2343,20.415,2000.55,2000,
J100M20N1,3,8254,7820,2368,2343,20.4079,2000.11,2000,
J100M20N1,4,8254,7820,2370,2343,20.4059,2000.49,2000,
J100M20N1,5,8254,7820,2372,2343,20.4077,2000.51,2000,
J200M5N1,1,12777,12017,1692,937,14.263,2000.43,2000,
J200M5N1,2,12777,12017,1692,937,14.263,2001.09,2000,
J200M5N1,3,12777,12017,1691,937,14.2714,2000.22,2000,
J200M5N1,4,12777,12017,1690,937,14.2769,2001.09,2000,
J200M5N1,5,12777,12017,1686,937,14.255,2000.04,2000,
J200M10N1,1,14235,13561,1057,992,16.7133,2000.26,2000,
J200M10N1,2,14235,13561,1053,992,16.7578,2000.94,2000,
J200M10N1,3,14235,13561,1055,992,16.7336,2001.68,2000,
J200M10N1,4,14235,13561,1056,992,16.7235,2001.04,2000,
J200M10N1,5,14235,13561,1054,992,16.7495,2001.21,2000,
J200M20N1,1,15517,14918,605,542,19.8926,2001.97,2000,
J200M20N1,2,15517,14918,606,542,19.8597,2000.76,2000,
J200M20N1,3,15517,14918,604,542,19.8775,2001.82,2000,
J200M20N1,4,15517,14918,606,542,19.8597,2002.15,2000,
J200M20N1,5,15517,14918,604,542,19.8775,2001.16,2000,
J500M5N1,1,28876,28717,270,185,10.2778,2004.03,2000,
J500M5N1,2,28876,28717,270,185,10.2778,2002.99,2000,
J500M5N1,3,28876,28717,272,185,10.3162,2005.86,2000,
J500M5N1,4,28876,28717,271,185,10.3506,2002.11,2000,
J500M5N1,5,28876,28717,270,185,10.2778,2003.45,2000,
J500M10N1,1,32679,32401,160,77,11.375,2002.97,2000,
J500M10N1,2,32679,32401,165,77,11.3455,2002.12,2000,
J500M10N1,3,32679,32401,162,77,11.3519,2004.27,2000,
J500M10N1,4,32679,32401,163,77,11.2822,2003.89,2000,
J500M10N1,5,32679,32401,160,77,11.375,2008.48,2000,
J500M20N1,1,36188,35876,90,86,18.0333,2012.17,2000,
J500M20N1,2,36188,35876,91,86,17.8352,2021.06,2000,
J500M20N1,3,36188,35876,90,86,18.0333,2014.7,2000,
J500M20N1,4,36188,35876,91,86,17.8352,2017.52,2000,
J500M20N1,5,36188,35876,90,86,18.0333,2006.18,2000,
