instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,49805,942,29.6176,2000.02,2000,
J20M5N1,2,1457,1374,49712,942,29.6111,2000.03,2000,
J20M5N1,3,1457,1374,49789,942,29.619,2000.01,2000,
J20M5N1,4,1457,1374,49953,942,29.6164,2000.03,2000,
J20M5N1,5,1457,1374,49497,942,29.6174,2000.01,2000,
J20M10N1,1,1843,1698,29243,1879,42.9305,2000.01,2000,
J20M10N1,2,1843,1698,29283,1879,42.9252,2000.01,2000,
J20M10N1,3,1843,1698,28991,1879,42.9045,2000.04,2000,
J20M10N1,4,1843,1698,29139,1879,42.9337,2000.05,2000,
J20M10N1,5,1843,1698,29237,1879,42.9307,2000.03,2000,
J20M20N1,1,2569,2436,21898,4009,31.003,2000.06,2000,
J20M20N1,2,2569,2436,21815,4009,30.9835,2000.01,2000,
J20M20N1,3,2569,2436,21904,4009,31.0054,2000.12,2000,
J20M20N1,4,2569,2436,21856,4009,30.9834,2000.05,2000,
J20M20N1,5,2569,2436,21887,4009,30.9978,2000.04,2000,
J50M5N1,1,3252,3008,11562,9629,24.0976,2000.35,2000,
J50M5N1,2,3252,3008,11410,9629,24.1004,2000.1,2000,
J50M5N1,3,3252,3008,11520,9629,24.0948,2000.21,2000,
J50M5N1,4,3252,3008,11572,9629,24.0849,2000.22,2000,
J50M5N1,5,3252,3008,11222,9629,24.0463,2000,2000,
J50M10N1,1,3794,3629,7377,4273,27.2405,2000.13,2000,
J50M10N1,2,3794,3629,7366,4273,27.2487,2000.09,2000,
J50M10N1,3,3794,3629,7367,4273,27.248,2000.02,2000,
J50M10N1,4,3794,3629,7381,4273,27.2412,2000.02,2000,
J50M10N1,5,3794,3629,7366,4273,27.2487,2000.21,2000,
J50M20N1,1,4787,4508,4367,3438,25.1969,2000.64,2000,
J50M20N1,2,4787,4508,4367,3438,25.1969,2000.47,2000,
J50M20N1,3,4787,4508,4367,3438,25.1969,2000.14,2000,
J50M20N1,4,4787,4508,4365,3438,25.192,2000.26,2000,
J50M20N1,5,4787,4508,4358,3438,25.1854,2000.31,2000,
J100M5N1,1,6709,6156,3374,3317,18.5596,2000.04,2000,
J100M5N1,2,6709,6156,3363,3317,18.5367,2000.15,2000,
J100M5N1,3,6709,6156,3354,3317,18.5316,2000.2,2000,
J100M5N1,4,6709,6156,3365,3317,18.5525,2000,2000,
J100M5N1,5,6709,6156,3366,3317,18.5508,2000.32,2000,
J100M10N1,1,7380,7073,2071,1927,20.8006,2000.12,2000,
J100M10N1,2,7380,7073,2060,1927,20.7922,2000.82,2000,
J100M10N1,3,7380,7073,2067,1927,20.7978,2001.33,2000,
J100M10N1,4,7380,7073,2067,1927,20.7978,2000.24,2000,
J100M10N1,5,7380,7073,2069,1927,20.7956,2000.57,2000,
J100M20N1,1,8254,7831,1104,1087,26.9493,2000.92,2000,
J100M20N1,2,8254,7831,1102,1087,26.9274,2001.95,2000,
J100M20N1,3,8254,7831,1105,1087,26.9502,2001.71,2000,
J100M20N1,4,8254,7831,1100,1087,26.9036,2000.15,2000,
J100M20N1,5,8254,7831,1105,1087,26.9502,2001.27,2000,
J200M5N1,1,12777,12050,854,846,15.1674,2002.86,2000,
J200M5N1,2,12777,12050,854,846,15.1674,2003.46,2000,
J200M5N1,3,12777,12050,854,846,15.1674,2003.42,2000,
J200M5N1,4,12777,12050,853,846,15.1641,2002.08,2000,
J200M5N1,5,12777,12050,854,846,15.1674,2003.64,2000,
J200M10N1,1,14235,13486,495,432,21.4364,2002.81,2000,
J200M10N1,2,14235,13486,495,432,21.4364,2003.26,2000,
J200M10N1,3,14235,13486,496,432,21.3931,2002.06,2000,
J200M10N1,4,14235,13486,495,432,21.4364,2001.14,2000,
J200M10N1,5,14235,13486,495,432,21.4364,2004.07,2000,
J200M20N1,1,15517,14945,265,236,26.0302,2010.47,2000,
J200M20N1,2,15517,14945,266,236,25.9925,2006.33,2000,
J200M20N1,3,15517,14945,264,236,26,2001.78,2000,
J200M20N1,4,15517,14945,263,236,25.9696,2004.66,2000,
J200M20N1,5,15517,14945,265,236,26.0302,2006.4,2000,
J500M5N1,1,28876,28707,135,118,13.2519,2021.66,2000,
J500M5N1,2,28876,28707,132,118,12.9394,2009.84,2000,
J500M5N1,3,28876,28707,134,118,13.0075,2002.13,2000,
J500M5N1,4,28876,28707,135,118,13.2519,2028.26,2000,
J500M5N1,5,28876,28707,133,118,13.1053,2008.27,2000,
J500M10N1,1,32679,32412,83,11,18.6627,2005.15,2000,
J500M10N1,2,32679,32412,80,11,18.2,2005.2,2000,
J500M10N1,3,32679,32412,81,11,17.9753,2002.83,2000,
J500M10N1,4,32679,32412,83,11,18.6627,2021.02,2000,
J500M10N1,5,32679,32412,83,11,18.6627,2028.28,2000,
J500M20N1,1,36188,35824,45,20,27.3333,2077.69,2000,
J500M20N1,2,36188,35824,45,20,27.3333,2085.91,2000,
J500M20N1,3,36188,35824,45,20,27.3333,2077.23,2000,
J500M20N1,4,36188,35824,45,20,27.3333,2085.7,2000,
J500M20N1,5,36188,35824,45,20,27.3333,2083.48,2000,
