instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,63783,790,30.3882,2000.02,2000,
J20M5N1,2,1457,1374,64270,790,30.3779,2000,2000,
J20M5N1,3,1457,1374,64841,790,30.384,2000.01,2000,
J20M5N1,4,1457,1374,64786,790,30.3801,2000.02,2000,
J20M5N1,5,1457,1374,64702,790,30.3827,2000,2000,
J20M10N1,1,1843,1698,35349,34,43.5259,2000.09,2000,
J20M10N1,2,1843,1698,35352,34,43.5262,2000.03,2000,
J20M10N1,3,1843,1698,35724,34,43.503,2000.01,2000,
J20M10N1,4,1843,1698,35730,34,43.5028,2000.02,2000,
J20M10N1,5,1843,1698,35823,34,43.4844,2000.03,2000,
J20M20N1,1,2569,2436,24714,1404,31.0898,2000.02,2000,
J20M20N1,2,2569,2436,24776,1404,31.082,2000.03,2000,
J20M20N1,3,2569,2436,24766,1404,31.0843,2000.06,2000,
J20M20N1,4,2569,2436,24681,1404,31.091,2000.02,2000,
J20M20N1,5,2569,2436,24785,1404,31.0807,2000.01,2000,
J50M5N1,1,3252,2999,14564,3737,24.6801,2000.05,2000,
J50M5N1,2,3252,2999,14488,3737,24.6634,2000.04,2000,
J50M5N1,3,3252,2991,14583,14570,24.6857,2000.06,2000,
J50M5N1,4,3252,2999,14413,3737,24.6566,2000.13,2000,
J50M5N1,5,3252,2999,14471,3737,24.6622,2000.09,2000,
J50M10N1,1,3794,3637,8487,3676,28.0454,2000.03,2000,
J50M10N1,2,3794,3637,8499,3676,28.0554,2000.21,2000,
J50M10N1,3,3794,3637,8497,3676,28.0474,2000.08,2000,
J50M10N1,4,3794,3637,8509,3676,28.0675,2000.05,2000,
J50M10N1,5,3794,3637,8497,3676,28.0474,2000.23,2000,
J50M20N1,1,4787,4489,4780,4452,27.2895,2000.26,2000,
J50M20N1,2,4787,4489,4806,4452,27.2984,2000.09,2000,
J50M20N1,3,4787,4489,4782,4452,27.2915,2000.29,2000,
J50M20N1,4,4787,4489,4804,4452,27.2956,2000.37,2000,
J50M20N1,5,4787,4489,4780,4452,27.2895,2000.16,2000,
J100M5N1,1,6709,6145,4060,3729,17.3702,2000.54,2000,
J100M5N1,2,6709,6145,4069,3729,17.3883,2000.23,2000,
J100M5N1,3,6709,6145,4075,3729,17.3843,2000.39,2000,
J100M5N1,4,6709,6145,4077,3729,17.3863,2000.21,2000,
J100M5N1,5,6709,6145,4070,3729,17.3855,2000.02,2000,
J100M10N1,1,7380,7030,2406,1542,21.7968,2000.21,2000,
J100M10N1,2,7380,7030,2421,1542,21.7922,2000.74,2000,
J100M10N1,3,7380,7030,2416,1542,21.7674,2000.17,2000,
J100M10N1,4,7380,7030,2419,1542,21.7714,2000.27,2000,
J100M10N1,5,7380,7030,2417,1542,21.7675,2000.43,2000,
J100M20N1,1,8254,7769,1183,622,27.044,2001.06,2000,
J100M20N1,2,8254,7769,1183,622,27.044,2001.02,2000,
J100M20N1,3,8254,7769,1183,622,27.044,2001.43,2000,
J100M20N1,4,8254,7769,1183,622,27.044,2002.67,2000,
J100M20N1,5,8254,7769,1183,622,27.044,2002.79,2000,
J200M5N1,1,12777,12053,1081,995,14.9584,2001.45,2000,
J200M5N1,2,12777,12053,1078,995,14.9314,2000.72,2000,
J200M5N1,3,12777,12053,1079,995,14.937,2001.61,2000,
J200M5N1,4,12777,12053,1077,995,14.9378,2000.58,2000,
J200M5N1,5,12777,12053,1077,995,14.9378,2000.67,2000,
J200M10N1,1,14235,13477,556,547,22.7284,2001.09,2000,
J200M10N1,2,14235,13477,557,547,22.7469,2003.78,2000,
J200M10N1,3,14235,13477,555,547,22.6685,2003.41,2000,
J200M10N1,4,14235,13477,556,547,22.7284,2001.46,2000,
J200M10N1,5,14235,13477,557,547,22.7469,2002.44,2000,
J200M20N1,1,15517,14918,245,215,27.9224,2010.17,2000,
J200M20N1,2,15517,14918,244,215,27.9016,2002.45,2000,
J200M20N1,3,15517,14918,245,215,27.9224,2009.83,2000,
J200M20N1,4,15517,14918,242,215,28.1322,2003,2000,
J200M20N1,5,15517,14918,245,215,27.9224,2010.48,2000,
J500M5N1,1,28876,28725,175,85,11.3714,2001.37,2000,
J500M5N1,2,28876,28725,176,85,11.3068,2000.33,2000,
J500M5N1,3,28876,28725,176,85,11.3068,2000.02,2000,
J500M5N1,4,28876,28725,176,85,11.3068,2000.59,2000,
J500M5N1,5,28876,28725,176,85,11.3068,2002.54,2000,
J500M10N1,1,32679,32361,92,63,16.5761,2002.65,2000,
J500M10N1,2,32679,32361,93,63,16.3978,2002.74,2000,
J500M10N1,3,32679,32361,96,63,16.0104,2011.43,2000,
J500M10N1,4,32679,32361,96,63,16.0104,2003.28,2000,
J500M10N1,5,32679,32361,97,63,16.0619,2032.9,2000,
J500M20N1,1,36188,35757,45,41,30.2,2017.98,2000,
J500M20N1,2,36188,35757,44,41,30.8864,2010.24,2000,
J500M20N1,3,36188,35757,44,41,30.8864,2002.56,2000,
J500M20N1,4,36188,35757,44,41,30.8864,2002.92,2000,
J500M20N1,5,36188,35757,44,41,30.8864,2001.05,2000,
