instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,95670,1977,23.1296,2000.01,2000,
J20M5N1,2,1457,1374,96342,1977,23.1374,2000.02,2000,
J20M5N1,3,1457,1374,96191,1977,23.1331,2000,2000,
J20M5N1,4,1457,1374,96162,1977,23.1327,2000.01,2000,
J20M5N1,5,1457,1374,98325,1977,23.1287,2000,2000,
J20M10N1,1,1843,1698,72228,475,38.1202,2000.01,2000,
J20M10N1,2,1843,1698,72098,475,38.1129,2000.01,2000,
J20M10N1,3,1843,1698,72191,475,38.1174,2000.01,2000,
J20M10N1,4,1843,1698,72274,475,38.1157,2000.01,2000,
J20M10N1,5,1843,1698,72707,475,38.1214,2000.01,2000,
J20M20N1,1,2569,2436,43633,3582,24.6513,2000.01,2000,
J20M20N1,2,2569,2436,43617,3582,24.651,2000.03,2000,
J20M20N1,3,2569,2436,43412,3582,24.6435,2000,2000,
J20M20N1,4,2569,2436,43524,3582,24.6405,2000.02,2000,
J20M20N1,5,2569,2436,43489,3582,24.6441,2000.01,2000,
J50M5N1,1,3252,2987,22868,11619,21.1221,2000.02,2000,
J50M5N1,2,3252,2987,22817,11619,21.1115,2000.01,2000,
J50M5N1,3,3252,2987,22531,11619,21.0742,2000.08,2000,
J50M5N1,4,3252,2987,22960,11619,21.1425,2000.04,2000,
J50M5N1,5,3252,2987,22716,11619,21.1141,2000.04,2000,
J50M10N1,1,3794,3657,14352,11298,18.784,2000.05,2000,
J50M10N1,2,3794,3657,14551,11298,18.7737,2000.06,2000,
J50M10N1,3,3794,3657,14574,11298,18.7631,2000.13,2000,
J50M10N1,4,3794,3657,14566,11298,18.771,2000.05,2000,
J50M10N1,5,3794,3657,14558,11298,18.7722,2000.13,2000,
J50M20N1,1,4787,4489,8864,2604,21.5132,2000.14,2000,
J50M20N1,2,4787,4489,8858,2604,21.5116,2000.04,2000,
J50M20N1,3,4787,4489,8884,2604,21.5075,2000.12,2000,
J50M20N1,4,4787,4489,8867,2604,21.5167,2000.14,2000,
J50M20N1,5,4787,4489,8866,2604,21.5144,2000.11,2000,
J100M5N1,1,6709,6107,6436,5241,14.0673,2000.02,2000,
J100M5N1,2,6709,6107,6438,5241,14.0711,2000.17,2000,
J100M5N1,3,6709,6107,6433,5241,14.0696,2000.19,2000,
J100M5N1,4,6709,6107,6422,5241,14.0705,2000.24,2000,
J100M5N1,5,6709,6107,6428,5241,14.0759,2000.07,2000,
J100M10N1,1,7380,7051,3969,3808,18.3568,2000.1,2000,
J100M10N1,2,7380,7051,3953,3808,18.3969,2000.09,2000,
J100M10N1,3,7380,7051,3967,3808,18.361,2000.48,2000,
J100M10N1,4,7380,7051,3984,3808,18.3783,2000.06,2000,
J100M10N1,5,7380,7051,3960,3808,18.3795,2000.05,2000,
J100M20N1,1,8254,7846,2373,2168,18.7826,2000.8,2000,
J100M20N1,2,8254,7846,2377,2168,18.7753,2000.83,2000,
J100M20N1,3,8254,7846,2373,2168,18.7826,2000.48,2000,
J100M20N1,4,8254,7846,2382,2168,18.78,2000.82,2000,
J100M20N1,5,8254,7846,2374,2168,18.7848,2000.15,2000,
J200M5N1,1,12777,12030,1690,1134,12.1828,2000.47,2000,
J200M5N1,2,12777,12030,1690,1134,12.1828,2000.2,2000,
J200M5N1,3,12777,12030,1690,1134,12.1828,2000.73,2000,
J200M5N1,4,12777,12030,1693,1134,12.2073,2000.18,2000,
J200M5N1,5,12777,12030,1690,1134,12.1828,2000.65,2000,
J200M10N1,1,14235,13506,1054,1001,15.8311,2001.2,2000,
J200M10N1,2,14235,13506,1056,1001,15.803,2001.57,2000,
J200M10N1,3,14235,13506,1053,1001,15.8376,2000.99,2000,
J200M10N1,4,14235,13506,1055,1001,15.818,2001.51,2000,
J200M10N1,5,14235,13506,1012,1001,15.7648,2000.42,2000,
J200M20N1,1,15517,14969,600,273,20.235,2001.92,2000,
J200M20N1,2,15517,14969,600,273,20.235,2000.12,2000,
J200M20N1,3,15517,14969,596,273,20.2433,2001.3,2000,
J200M20N1,4,15517,14969,602,273,20.1894,2002.73,2000,
J200M20N1,5,15517,14969,600,273,20.235,2001.46,2000,
J500M5N1,1,28876,28699,268,229,9.04851,2003.42,2000,
J500M5N1,2,28876,28699,266,229,9.11654,2003.88,2000,
J500M5N1,3,28876,28699,268,229,9.04851,2007.39,2000,
J500M5N1,4,28876,28699,269,229,9.10781,2001.65,2000,
J500M5N1,5,28876,28699,269,229,9.10781,2006.91,2000,
J500M10N1,1,32679,32395,163,46,12.2454,2004.21,2000,
J500M10N1,2,32679,32395,164,46,12.1707,2004.89,2000,
J500M10N1,3,32679,32395,164,46,12.1707,2000.22,2000,
J500M10N1,4,32679,32395,165,46,12.097,2004.84,2000,
J500M10N1,5,32679,32395,165,46,12.097,2005.57,2000,
J500M20N1,1,36188,35906,89,84,20.0337,2017.31,2000,
J500M20N1,2,36188,35906,91,84,20,2017.67,2000,
J500M20N1,3,36188,35906,90,84,19.8667,2007.71,2000,
J500M20N1,4,36188,35906,90,84,19.8667,2002.58,2000,
J500M20N1,5,36188,35906,89,84,20.0337,2019.14,2000,
