instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,68708,188,16.1055,2000,2000,
J20M5N1,2,1457,1374,68795,188,16.1031,2000.03,2000,
J20M5N1,3,1457,1374,68714,188,16.1051,2000.03,2000,
J20M5N1,4,1457,1374,68010,188,16.1208,2000.01,2000,
J20M5N1,5,1457,1374,68173,188,16.1196,2000,2000,
J20M10N1,1,1843,1698,45261,786,18.8548,2000.04,2000,
J20M10N1,2,1843,1698,45195,786,18.8589,2000.01,2000,
J20M10N1,3,1843,1698,45510,786,18.857,2000.04,2000,
J20M10N1,4,1843,1698,45216,786,18.8584,2000.03,2000,
J20M10N1,5,1843,1698,45349,786,18.8513,2000.02,2000,
J20M20N1,1,2569,2436,24562,15395,15.5693,2000.07,2000,
J20M20N1,2,2569,2436,24566,15395,15.5689,2000.01,2000,
J20M20N1,3,2569,2436,24611,15395,15.5598,2000.07,2000,
J20M20N1,4,2569,2436,24680,15395,15.5459,2000.04,2000,
J20M20N1,5,2569,2436,24688,15395,15.5461,2000.05,2000,
J50M5N1,1,3252,3013,6661,2751,14.7211,2000.08,2000,
J50M5N1,2,3252,3013,6623,2751,14.7391,2000.21,2000,
J50M5N1,3,3252,3013,6711,2751,14.7228,2000.04,2000,
J50M5N1,4,3252,3013,6653,2751,14.7264,2000.23,2000,
J50M5N1,5,3252,3013,6657,2751,14.7224,2000.15,2000,
J50M10N1,1,3794,3657,3740,1314,10.6789,2000.39,2000,
J50M10N1,2,3794,3657,3726,1314,10.7048,2000.41,2000,
J50M10N1,3,3794,3657,3711,1314,10.7052,2000.36,2000,
J50M10N1,4,3794,3657,3725,1314,10.7077,2000.33,2000,
J50M10N1,5,3794,3657,3711,1314,10.7052,2000.52,2000,
J50M20N1,1,4787,4519,1944,1554,13.3585,2000.93,2000,
J50M20N1,2,4787,4519,1944,1554,13.3585,2000.68,2000,
J50M20N1,3,4787,4519,1928,1554,13.3994,2000.39,2000,
J50M20N1,4,4787,4519,1941,1554,13.3709,2000.15,2000,
J50M20N1,5,4787,4519,1937,1554,13.3774,2000.58,2000,
J100M5N1,1,6709,6200,904,215,14.6737,2001.98,2000,
J100M5N1,2,6709,6200,901,215,14.6915,2002.14,2000,
J100M5N1,3,6709,6200,901,215,14.6915,2001.63,2000,
J100M5N1,4,6709,6200,898,215,14.6949,2001.18,2000,
J100M5N1,5,6709,6200,901,215,14.6915,2002.18,2000,
J100M10N1,1,7380,7066,493,491,12.5497,2002.77,2000,
J100M10N1,2,7380,7066,493,491,12.5497,2001.84,2000,
J100M10N1,3,7380,7068,490,479,12.5612,2000.4,2000,
J100M10N1,4,7380,7066,494,491,12.5445,2000.94,2000,
J100M10N1,5,7380,7066,495,491,12.5313,2002.61,2000,
J100M20N1,1,8254,7919,239,237,17.1381,2004.23,2000,
J100M20N1,2,8254,7920,237,191,17.2363,2001.08,2000,
J100M20N1,3,8254,7919,240,237,17.0958,2003.12,2000,
J100M20N1,4,8254,7920,235,191,17.234,2000.23,2000,
J100M20N1,5,8254,7919,241,237,17.1452,2003.07,2000,
J200M5N1,1,12777,12018,112,106,25.9821,2004.62,2000,
J200M5N1,2,12777,12018,112,106,25.9821,2007.74,2000,
J200M5N1,3,12777,12018,112,106,25.9821,2012.3,2000,
J200M5N1,4,12777,12018,111,106,25.982,2015.77,2000,
J200M5N1,5,12777,12018,111,106,25.982,2005.41,2000,
J200M10N1,1,14235,13678,57,23,21.8947,2011.69,2000,
J200M10N1,2,14235,13678,57,23,21.8947,2013.27,2000,
J200M10N1,3,14235,13678,57,23,21.8947,2003.61,2000,
J200M10N1,4,14235,13678,57,23,21.8947,2009.26,2000,
J200M10N1,5,14235,13678,57,23,21.8947,2021.27,2000,
J200M20N1,1,15517,15170,28,25,44.1429,2048.14,2000,
J200M20N1,2,15517,15170,28,25,44.1429,2045.58,2000,
J200M20N1,3,15517,15170,28,25,44.1429,2047.96,2000,
J200M20N1,4,15517,15170,28,25,44.1429,2049.46,2000,
J200M20N1,5,15517,15170,28,25,44.1429,2044.8,2000,
J500M5N1,1,28876,28718,6,5,39.1667,2004.92,2000,
J500M5N1,2,28876,28710,7,6,33.5714,2321.52,2000,
J500M5N1,3,28876,28710,7,6,33.5714,2326.55,2000,
J500M5N1,4,28876,28718,6,5,39.1667,2004.37,2000,
J500M5N1,5,28876,28710,7,6,33.5714,2330.94,2000,
J500M10N1,1,32679,32504,4,3,51.5,2461.16,2000,
J500M10N1,2,32679,32504,4,3,51.5,2459.27,2000,
J500M10N1,3,32679,32504,4,3,51.5,2457.25,2000,
J500M10N1,4,32679,32504,4,3,51.5,2488.3,2000,
J500M10N1,5,32679,32504,4,3,51.5,2498.59,2000,
J500M20N1,1,36188,36094,2,1,58,2563.32,2000,
J500M20N1,2,36188,36094,2,1,58,2563.33,2000,
J500M20N1,3,36188,36094,2,1,58,2561.01,2000,
J500M20N1,4,36188,36094,2,1,58,2561.54,2000,
J500M20N1,5,36188,36094,2,1,58,2563.55,2000,
