instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,96044,7776,25.7764,2000.01,2000,
J20M5N1,2,1457,1374,96156,7776,25.7771,2000.02,2000,
J20M5N1,3,1457,1374,95599,7776,25.7775,2000.01,2000,
J20M5N1,4,1457,1374,96416,7776,25.7795,2000.02,2000,
J20M5N1,5,1457,1374,95765,7776,25.7808,2000,2000,
J20M10N1,1,1843,1698,71972,551,36.9896,2000,2000,
J20M10N1,2,1843,1698,71635,551,36.9795,2000.03,2000,
J20M10N1,3,1843,1698,71964,551,36.9891,2000.02,2000,
J20M10N1,4,1843,1698,71674,551,36.9776,2000.03,2000,
J20M10N1,5,1843,1698,71930,551,36.9898,2000.02,2000,
J20M20N1,1,2569,2436,43170,21384,25.9418,2000.04,2000,
J20M20N1,2,2569,2436,43098,21384,25.9469,2000,2000,
J20M20N1,3,2569,2436,43154,21384,25.9439,2000.03,2000,
J20M20N1,4,2569,2436,43180,21384,25.9398,2000.03,2000,
J20M20N1,5,2569,2436,43179,21384,25.94,2000,2000,
J50M5N1,1,3252,3010,22423,20514,18.3033,2000.06,2000,
J50M5N1,2,3252,3010,22412,20514,18.3022,2000.06,2000,
J50M5N1,3,3252,3010,22365,20514,18.2943,2000.02,2000,
J50M5N1,4,3252,3010,22476,20514,18.2944,2000.07,2000,
J50M5N1,5,3252,3010,22400,20514,18.3063,2000.07,2000,
J50M10N1,1,3794,3636,14388,13679,19.3711,2000.06,2000,
J50M10N1,2,3794,3636,14346,13679,19.3697,2000.08,2000,
J50M10N1,3,3794,3636,14371,13679,19.3784,2000.11,2000,
J50M10N1,4,3794,3636,14351,13679,19.3743,2000.08,2000,
J50M10N1,5,3794,3636,14375,13679,19.378,2000.1,2000,
J50M20N1,1,4787,4506,8614,4414,20.7198,2000.09,2000,
J50M20N1,2,4787,4506,8798,4414,20.7186,2000.06,2000,
J50M20N1,3,4787,4506,8807,4414,20.7214,2000.11,2000,
J50M20N1,4,4787,4506,8753,4414,20.7191,2000.22,2000,
J50M20N1,5,4787,4506,8799,4414,20.72,2000.12,2000,
J100M5N1,1,6709,6139,6299,5885,16.3609,2000.21,2000,
J100M5N1,2,6709,6139,6302,5885,16.364,2000.01,2000,
J100M5N1,3,6709,6139,6282,5885,16.3434,2000.14,2000,
J100M5N1,4,6709,6139,6299,5885,16.3609,2000.14,2000,
J100M5N1,5,6709,6139,6306,5885,16.3666,2000.06,2000,
J100M10N1,1,7380,7039,3897,2993,19.117,2000.34,2000,
J100M10N1,2,7380,7039,3907,2993,19.1421,2000.21,2000,
J100M10N1,3,7380,7039,3905,2993,19.1334,2000.36,2000,
J100M10N1,4,7380,7039,3915,2993,19.1397,2000.36,2000,
J100M10N1,5,7380,7039,3906,2993,19.1357,2000.01,2000,
J100M20N1,1,8254,7806,2364,1130,22.4776,2000.03,2000,
J100M20N1,2,8254,7806,2361,1130,22.482,2000.1,2000,
J100M20N1,3,8254,7806,2359,1130,22.4811,2000.59,2000,
J100M20N1,4,8254,7806,2361,1130,22.482,2000.69,2000,
J100M20N1,5,8254,7806,2364,1130,22.4776,2000.53,2000,
J200M5N1,1,12777,12041,1657,1622,12.8998,2000.6,2000,
J200M5N1,2,12777,12041,1658,1622,12.892,2000.12,2000,
J200M5N1,3,12777,12041,1662,1622,12.8773,2001.1,2000,
J200M5N1,4,12777,12041,1660,1622,12.8825,2000.72,2000,
J200M5N1,5,12777,12041,1658,1622,12.892,2000.31,2000,
J200M10N1,1,14235,13514,1040,982,17.5288,2001.58,2000,
J200M10N1,2,14235,13514,1042,982,17.5288,2000.57,2000,
J200M10N1,3,14235,13514,1042,982,17.5288,2000.56,2000,
J200M10N1,4,14235,13514,1043,982,17.5523,2000.85,2000,
J200M10N1,5,14235,13514,1041,982,17.5139,2001.5,2000,
J200M20N1,1,15517,14941,605,460,22.1736,2001.53,2000,
J200M20N1,2,15517,14941,603,460,22.2156,2000.37,2000,
J200M20N1,3,15517,14941,602,460,22.2525,2000.28,2000,
J200M20N1,4,15517,14941,603,460,22.2156,2000.1,2000,
J200M20N1,5,15517,14941,604,460,22.2103,2001.42,2000,
J500M5N1,1,28876,28723,266,196,11.5113,2006.12,2000,
J500M5N1,2,28876,28723,265,196,11.5547,2004.54,2000,
J500M5N1,3,28876,28723,265,196,11.5547,2003.75,2000,
J500M5N1,4,28876,28723,265,196,11.5547,2006.61,2000,
J500M5N1,5,28876,28723,264,196,11.5985,2000.96,2000,
J500M10N1,1,32679,32396,160,112,15.3,2007.29,2000,
J500M10N1,2,32679,32396,163,112,15.3129,2007.73,2000,
J500M10N1,3,32679,32396,162,112,15.321,2005.36,2000,
J500M10N1,4,32679,32396,162,112,15.321,2006.13,2000,
J500M10N1,5,32679,32396,162,112,15.321,2005.93,2000,
J500M20N1,1,36188,35907,89,62,16.4157,2020.37,2000,
J500M20N1,2,36188,35907,89,62,16.4157,2012.96,2000,
J500M20N1,3,36188,35907,89,62,16.4157,2020.57,2000,
J500M20N1,4,36188,35907,89,62,16.4157,2007.17,2000,
J500M20N1,5,36188,35907,90,62,16.2333,2016.08,2000,
