instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,59354,647,15.7524,2000.03,2000,
J20M5N1,2,1457,1374,58860,647,15.7647,2000.02,2000,
J20M5N1,3,1457,1374,58830,647,15.7672,2000.01,2000,
J20M5N1,4,1457,1374,59525,647,15.7488,2000.01,2000,
J20M5N1,5,1457,1374,59025,647,15.7583,2000.03,2000,
J20M10N1,1,1843,1698,38883,12484,18.6768,2000.01,2000,
J20M10N1,2,1843,1698,38977,12484,18.6787,2000.02,2000,
J20M10N1,3,1843,1698,39006,12484,18.6807,2000.02,2000,
J20M10N1,4,1843,1698,39058,12484,18.6851,2000.03,2000,
J20M10N1,5,1843,1698,38822,12484,18.6816,2000.04,2000,
J20M20N1,1,2569,2436,20617,270,15.3113,2000.08,2000,
J20M20N1,2,2569,2436,20568,270,15.3145,2000.02,2000,
J20M20N1,3,2569,2436,20588,270,15.3089,2000.09,2000,
J20M20N1,4,2569,2436,20617,270,15.3113,2000.05,2000,
J20M20N1,5,2569,2436,20590,270,15.3076,2000,2000,
J50M5N1,1,3252,3008,4911,2467,16.7579,2000.1,2000,
J50M5N1,2,3252,3008,4892,2467,16.7639,2000.11,2000,
J50M5N1,3,3252,3008,4874,2467,16.7495,2000.07,2000,
J50M5N1,4,3252,3008,4857,2467,16.7669,2000.1,2000,
J50M5N1,5,3252,3008,4826,2467,16.7955,2000.26,2000,
J50M10N1,1,3794,3659,2715,2305,15.0888,2000.33,2000,
J50M10N1,2,3794,3659,2710,2305,15.0886,2000.05,2000,
J50M10N1,3,3794,3659,2704,2305,15.0655,2000.32,2000,
J50M10N1,4,3794,3659,2710,2305,15.0886,2000.53,2000,
J50M10N1,5,3794,3659,2713,2305,15.0918,2000.68,2000,
J50M20N1,1,4787,4542,1364,922,10.7324,2000.21,2000,
J50M20N1,2,4787,4542,1365,922,10.7473,2001.31,2000,
J50M20N1,3,4787,4542,1365,922,10.7473,2000.04,2000,
J50M20N1,4,4787,4542,1364,922,10.7324,2000.06,2000,
J50M20N1,5,4787,4542,1361,922,10.7472,2000.64,2000,
J100M5N1,1,6709,6177,622,349,16.1174,2003.14,2000,
J100M5N1,2,6709,6177,623,349,16.1573,2001.96,2000,
J100M5N1,3,6709,6177,625,349,16.1936,2001.6,2000,
J100M5N1,4,6709,6177,624,349,16.2196,2000.38,2000,
J100M5N1,5,6709,6177,623,349,16.1573,2000.11,2000,
J100M10N1,1,7380,7095,340,288,18.0853,2001.83,2000,
J100M10N1,2,7380,7095,342,288,18.0351,2003.13,2000,
J100M10N1,3,7380,7095,341,288,18.0733,2000.57,2000,
J100M10N1,4,7380,7095,343,288,18.0321,2005.72,2000,
J100M10N1,5,7380,7095,341,288,18.0733,2002.62,2000,
J100M20N1,1,8254,7941,164,157,21.2378,2004.38,2000,
J100M20N1,2,8254,7941,165,157,21.1818,2001.84,2000,
J100M20N1,3,8254,7941,164,157,21.2378,2003.36,2000,
J100M20N1,4,8254,7941,166,157,21.1566,2011.93,2000,
J100M20N1,5,8254,7941,164,157,21.2378,2004.96,2000,
J200M5N1,1,12777,12114,75,68,27.92,2010.24,2000,
J200M5N1,2,12777,12114,76,68,27.8158,2019.96,2000,
J200M5N1,3,12777,12114,75,68,27.92,2021.42,2000,
J200M5N1,4,12777,12114,75,68,27.92,2021.96,2000,
J200M5N1,5,12777,12114,75,68,27.92,2019.15,2000,
J200M10N1,1,14235,13692,38,37,34.4474,2005.33,2000,
J200M10N1,2,14235,13692,38,37,34.4474,2008.58,2000,
J200M10N1,3,14235,13692,38,37,34.4474,2004.78,2000,
J200M10N1,4,14235,13692,38,37,34.4474,2001.04,2000,
J200M10N1,5,14235,13692,38,37,34.4474,2008.82,2000,
J200M20N1,1,15517,15113,19,17,51.0526,2045.84,2000,
J200M20N1,2,15517,15113,19,17,51.0526,2051.67,2000,
J200M20N1,3,15517,15113,19,17,51.0526,2044.99,2000,
J200M20N1,4,15517,15113,19,17,51.0526,2047.95,2000,
J200M20N1,5,15517,15113,19,17,51.0526,2044.99,2000,
J500M5N1,1,28876,28702,5,3,47.4,2494.62,2000,
J500M5N1,2,28876,28702,5,3,47.4,2490.43,2000,
J500M5N1,3,28876,28702,5,3,47.4,2487.46,2000,
J500M5N1,4,28876,28702,5,3,47.4,2493.31,2000,
J500M5N1,5,28876,28702,4,3,54,2010.78,2000,
J500M10N1,1,32679,32511,3,2,84.3333,2889.8,2000,
J500M10N1,2,32679,32511,3,2,84.3333,2878.72,2000,
J500M10N1,3,32679,32511,3,2,84.3333,2859.35,2000,
J500M10N1,4,32679,32511,3,2,84.3333,2796.55,2000,
J500M10N1,5,32679,32511,3,2,84.3333,2865.46,2000,
J500M20N1,1,36188,36090,2,1,80,3874.36,2000,
J500M20N1,2,36188,36090,2,1,80,3846.11,2000,
J500M20N1,3,36188,36090,2,1,80,3846.83,2000,
J500M20N1,4,36188,36090,2,1,80,3842.19,2000,
J500M20N1,5,36188,36090,2,1,80,3851.96,2000,
