instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,35304,448,24.1645,2000,2000,
J20M5N1,2,1457,1374,35289,448,24.1608,2000.06,2000,
J20M5N1,3,1457,1374,35426,448,24.1543,2000.02,2000,
J20M5N1,4,1457,1374,35259,448,24.1668,2000.05,2000,
J20M5N1,5,1457,1374,35391,448,24.1576,2000.06,2000,
J20M10N1,1,1843,1698,21379,615,26.9745,2000.04,2000,
J20M10N1,2,1843,1698,21350,615,26.9831,2000.02,2000,
J20M10N1,3,1843,1698,21326,615,26.973,2000.05,2000,
J20M10N1,4,1843,1698,21362,615,26.9762,2000.06,2000,
J20M10N1,5,1843,1698,21303,615,26.9793,2000.01,2000,
J20M20N1,1,2569,2437,12071,183,20.8678,2000.22,2000,
J20M20N1,2,2569,2437,12061,183,20.8635,2000.1,2000,
J20M20N1,3,2569,2437,12069,183,20.8666,2000.04,2000,
J20M20N1,4,2569,2437,12042,183,20.8411,2000.27,2000,
J20M20N1,5,2569,2437,12015,183,20.8474,2000.17,2000,
J50M5N1,1,3252,3002,2934,2595,21.0218,2000.61,2000,
J50M5N1,2,3252,3002,2947,2595,21.0017,2000.46,2000,
J50M5N1,3,3252,3002,2945,2595,20.9963,2000.4,2000,
J50M5N1,4,3252,3002,2944,2595,20.9976,2000.48,2000,
J50M5N1,5,3252,3002,2942,2595,21.0024,2000.49,2000,
J50M10N1,1,3794,3653,1634,311,17.9125,2001.71,2000,
J50M10N1,2,3794,3653,1637,311,17.8858,2000.14,2000,
J50M10N1,3,3794,3653,1628,311,17.938,2000.44,2000,
J50M10N1,4,3794,3653,1627,311,17.9453,2000.73,2000,
J50M10N1,5,3794,3653,1627,311,17.9453,2000.17,2000,
J50M20N1,1,4787,4524,849,605,16.9187,2002.86,2000,
J50M20N1,2,4787,4524,845,605,16.9349,2001.93,2000,
J50M20N1,3,4787,4524,851,605,16.8907,2000.03,2000,
J50M20N1,4,4787,4524,846,605,16.9433,2000.2,2000,
J50M20N1,5,4787,4524,848,605,16.9116,2000.17,2000,
J100M5N1,1,6709,6163,373,330,21.6997,2005.13,2000,
J100M5N1,2,6709,6163,369,330,21.8726,2003.43,2000,
J100M5N1,3,6709,6163,367,330,21.9428,2003.53,2000,
J100M5N1,4,6709,6163,371,330,21.7547,2002.07,2000,
J100M5N1,5,6709,6163,371,330,21.7547,2000.04,2000,
J100M10N1,1,7380,7074,195,142,20.8769,2001.11,2000,
J100M10N1,2,7380,7074,195,142,20.8769,2003.47,2000,
J100M10N1,3,7380,7074,195,142,20.8769,2002.27,2000,
J100M10N1,4,7380,7074,196,142,20.8316,2014.28,2000,
J100M10N1,5,7380,7074,195,142,20.8769,2001.76,2000,
J100M20N1,1,8254,7890,83,76,28.1687,2014.83,2000,
J100M20N1,2,8254,7890,83,76,28.1687,2001.91,2000,
J100M20N1,3,8254,7890,83,76,28.1687,2008.76,2000,
J100M20N1,4,8254,7890,83,76,28.1687,2009.41,2000,
J100M20N1,5,8254,7890,83,76,28.1687,2006.79,2000,
J200M5N1,1,12777,12061,37,34,46.1081,2025.3,2000,
J200M5N1,2,12777,12061,37,34,46.1081,2030.38,2000,
J200M5N1,3,12777,12061,37,34,46.1081,2028.38,2000,
J200M5N1,4,12777,12061,37,34,46.1081,2032.89,2000,
J200M5N1,5,12777,12061,37,34,46.1081,2026.83,2000,
J200M10N1,1,14235,13622,17,15,52.7059,2049.15,2000,
J200M10N1,2,14235,13622,17,15,52.7059,2047.18,2000,
J200M10N1,3,14235,13622,17,15,52.7059,2060.85,2000,
J200M10N1,4,14235,13622,17,15,52.7059,2044.19,2000,
J200M10N1,5,14235,13622,17,15,52.7059,2051.76,2000,
J200M20N1,1,15517,15205,6,4,83.1667,2163.93,2000,
J200M20N1,2,15517,15205,6,4,83.1667,2167.17,2000,
J200M20N1,3,15517,15205,6,4,83.1667,2164.99,2000,
J200M20N1,4,15517,15205,6,4,83.1667,2166.93,2000,
J200M20N1,5,15517,15205,6,4,83.1667,2168.27,2000,
J500M5N1,1,28876,28712,4,1,52.25,3638.94,2000,
J500M5N1,2,28876,28712,3,1,51,2013.56,2000,
J500M5N1,3,28876,28712,4,1,52.25,3652.38,2000,
J500M5N1,4,28876,28712,4,1,52.25,3661.75,2000,
J500M5N1,5,28876,28712,4,1,52.25,3658.87,2000,
J500M10N1,1,32679,32679,1,0,167,3044.73,2000,
J500M10N1,2,32679,32679,1,0,167,3055.3,2000,
J500M10N1,3,32679,32679,1,0,167,3053.13,2000,
J500M10N1,4,32679,32679,1,0,167,3047.87,2000,
J500M10N1,5,32679,32679,1,0,167,3046.36,2000,
J500M20N1,1,36188,36188,1,0,136,5098.85,2000,
J500M20N1,2,36188,36188,1,0,136,5083.43,2000,
J500M20N1,3,36188,36188,1,0,136,5089.66,2000,
J500M20N1,4,36188,36188,1,0,136,5090.41,2000,
J500M20N1,5,36188,36188,1,0,136,5081.35,2000,
