instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,100,9,51.88,2001.13,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M5N1,2,1457,1374,100,15,45.25,2001.12,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M5N1,3,1457,1374,100,8,49.35,2001.11,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M5N1,4,1457,1374,100,3,52.51,2001.16,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M5N1,5,1457,1374,100,10,49.28,2001.15,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M10N1,1,1843,1698,100,36,51.53,2001.29,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M10N1,2,1843,1698,100,6,65.22,2001.26,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M10N1,3,1843,1698,100,23,57.94,2001.27,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M10N1,4,1843,1698,100,13,74.68,2001.25,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M10N1,5,1843,1698,100,4,68.52,2001.26,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M20N1,1,2569,2436,100,25,46.02,2002.25,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M20N1,2,2569,2436,100,90,48.92,2002.24,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M20N1,3,2569,2438,100,88,47.72,2002.2,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M20N1,4,2569,2437,100,95,49.94,2002.16,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J20M20N1,5,2569,2436,100,33,53.15,2002.16,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M5N1,1,3252,3047,100,91,15.7,2003.2,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M5N1,2,3252,3059,100,50,18.11,2003.14,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M5N1,3,3252,3014,100,72,18.16,2003.19,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M5N1,4,3252,3084,100,49,16,2003.1,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M5N1,5,3252,3047,100,94,20.82,2003.21,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M10N1,1,3794,3695,100,98,12.9,2003.94,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M10N1,2,3794,3692,100,81,13.1,2003.98,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M10N1,3,3794,3714,100,51,16.59,2003.83,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M10N1,4,3794,3723,100,88,17.4,2003.99,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M10N1,5,3794,3708,100,66,16.82,2003.9,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M20N1,1,4787,4529,100,38,13.22,2005.22,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M20N1,2,4787,4561,100,95,18.66,2005.31,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M20N1,3,4787,4557,100,54,18.47,2005.14,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M20N1,4,4787,4555,100,40,18.03,2005.11,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J50M20N1,5,4787,4554,100,85,14.05,2005.26,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J100M5N1,1,6709,6293,100,96,13.68,2006.07,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J100M5N1,2,6709,6293,100,74,14.1,2006.11,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J100M5N1,3,6709,6366,100,97,9.24,2006.05,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
J100M5N1,4,6709,6330,100,76,11.88,2006.13,2000,per-call burst of 20.000000ms; restarts its own cooling schedule every call (no persistent T in this signature)
