instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,19903,496,38.8488,2000.05,2000,
J20M5N1,2,1457,1374,19768,496,38.8362,2000.04,2000,
J20M5N1,3,1457,1374,19863,496,38.8449,2000.1,2000,
J20M5N1,4,1457,1374,19898,496,38.8501,2000.01,2000,
J20M5N1,5,1457,1374,19876,496,38.8532,2000.03,2000,
J20M10N1,1,1843,1698,14953,677,47.5921,2000.11,2000,
J20M10N1,2,1843,1698,14858,677,47.6296,2000.06,2000,
J20M10N1,3,1843,1698,14837,677,47.628,2000.1,2000,
J20M10N1,4,1843,1698,14872,677,47.6166,2000,2000,
J20M10N1,5,1843,1698,14824,677,47.6356,2000.24,2000,
J20M20N1,1,2569,2436,8489,1798,36.0823,2000.19,2000,
J20M20N1,2,2569,2436,8497,1798,36.0837,2000.28,2000,
J20M20N1,3,2569,2436,8488,1798,36.0794,2000.07,2000,
J20M20N1,4,2569,2436,8499,1798,36.0806,2000.13,2000,
J20M20N1,5,2569,2436,8491,1798,36.077,2000.11,2000,
J50M5N1,1,3252,2988,2137,1714,40.3421,2000.11,2000,
J50M5N1,2,3252,2988,2128,1714,40.2754,2000.13,2000,
J50M5N1,3,3252,2988,2136,1714,40.331,2001,2000,
J50M5N1,4,3252,2988,2138,1714,40.348,2000.19,2000,
J50M5N1,5,3252,2988,2139,1714,40.3291,2000.1,2000,
J50M10N1,1,3794,3639,1589,199,31.231,2002.33,2000,
J50M10N1,2,3794,3639,1589,199,31.231,2000.87,2000,
J50M10N1,3,3794,3639,1590,199,31.2226,2001.12,2000,
J50M10N1,4,3794,3639,1590,199,31.2226,2001.05,2000,
J50M10N1,5,3794,3639,1587,199,31.1808,2000.59,2000,
J50M20N1,1,4787,4506,934,743,30.3501,2000.97,2000,
J50M20N1,2,4787,4506,930,743,30.4,2001.13,2000,
J50M20N1,3,4787,4506,934,743,30.3501,2002.72,2000,
J50M20N1,4,4787,4506,933,743,30.3623,2000.03,2000,
J50M20N1,5,4787,4506,933,743,30.3623,2000.25,2000,
J100M5N1,1,6709,6137,253,249,35.8656,2003.32,2000,
J100M5N1,2,6709,6137,250,249,35.936,2002.14,2000,
J100M5N1,3,6709,6137,250,249,35.936,2001.87,2000,
J100M5N1,4,6709,6137,250,249,35.936,2001.01,2000,
J100M5N1,5,6709,6137,250,249,35.936,2001.7,2000,
J100M10N1,1,7380,7050,162,156,34.6481,2003.92,2000,
J100M10N1,2,7380,7050,162,156,34.6481,2005.69,2000,
J100M10N1,3,7380,7050,163,156,34.5767,2009.15,2000,
J100M10N1,4,7380,7050,162,156,34.6481,2002.15,2000,
J100M10N1,5,7380,7050,162,156,34.6481,2004.6,2000,
J100M20N1,1,8254,7946,87,50,36.8621,2031.95,2000,
J100M20N1,2,8254,7946,87,50,36.8621,2032.78,2000,
J100M20N1,3,8254,7946,87,50,36.8621,2036.77,2000,
J100M20N1,4,8254,7946,87,50,36.8621,2031.29,2000,
J100M20N1,5,8254,7946,87,50,36.8621,2035.1,2000,
J200M5N1,1,12777,12055,22,20,50.4545,2000.3,2000,
J200M5N1,2,12777,12055,22,20,50.4545,2003.17,2000,
J200M5N1,3,12777,12055,22,20,50.4545,2006.61,2000,
J200M5N1,4,12777,12055,22,20,50.4545,2002.45,2000,
J200M5N1,5,12777,12055,22,20,50.4545,2001.19,2000,
J200M10N1,1,14235,13746,8,7,93,2225.64,2000,
J200M10N1,2,14235,13746,8,7,93,2331.68,2000,
J200M10N1,3,14235,13746,8,7,93,2226.31,2000,
J200M10N1,4,14235,13746,8,7,93,2226.47,2000,
J200M10N1,5,14235,13746,8,7,93,2233.45,2000,
J200M20N1,1,15517,15043,6,5,106.667,2286.49,2000,
J200M20N1,2,15517,15043,6,5,106.667,2286.51,2000,
J200M20N1,3,15517,15043,6,5,106.667,2281.35,2000,
J200M20N1,4,15517,15043,6,5,106.667,2290.43,2000,
J200M20N1,5,15517,15043,6,5,106.667,2285.85,2000,
J500M5N1,1,28876,28876,1,0,309,16482.9,2000,
J500M5N1,2,28876,28876,1,0,309,16472.1,2000,
J500M5N1,3,28876,28876,1,0,309,16482,2000,
J500M5N1,4,28876,28876,1,0,309,16461.3,2000,
J500M5N1,5,28876,28876,1,0,309,16485.4,2000,
J500M10N1,1,32679,32679,1,0,442,12184.6,2000,
J500M10N1,2,32679,32679,1,0,442,12034.9,2000,
J500M10N1,3,32679,32679,1,0,442,12152.7,2000,
J500M10N1,4,32679,32679,1,0,442,12051.7,2000,
J500M10N1,5,32679,32679,1,0,442,12065.1,2000,
J500M20N1,1,36188,36188,1,0,390,10683.7,2000,
J500M20N1,2,36188,36188,1,0,390,10727.2,2000,
J500M20N1,3,36188,36188,1,0,390,10732.3,2000,
J500M20N1,4,36188,36188,1,0,390,10728.6,2000,
J500M20N1,5,36188,36188,1,0,390,10724.7,2000,
