instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J20M5N1,1,1457,1374,23697,790,30.8465,2000.02,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M5N1,2,1457,1374,22313,790,30.7888,2000.01,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M5N1,3,1457,1374,23375,790,30.8891,2000.06,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M5N1,4,1457,1374,23659,790,30.8577,2000.01,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M5N1,5,1457,1374,23670,790,30.8589,2000.08,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M10N1,1,1843,1698,14179,34,43.9267,2000.09,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M10N1,2,1843,1698,14199,34,43.9421,2000.04,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M10N1,3,1843,1698,14173,34,43.9191,2000.12,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M10N1,4,1843,1698,14186,34,43.9184,2000.01,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M10N1,5,1843,1698,14184,34,43.924,2000.09,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M20N1,1,2569,2436,7935,2308,32.1074,2000.08,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M20N1,2,2569,2436,7917,2308,32.1238,2000.03,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M20N1,3,2569,2436,7917,2308,32.1238,2000.1,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M20N1,4,2569,2436,7944,2308,32.1231,2000.11,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M20N1,5,2569,2436,7932,2308,32.1055,2000.15,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M5N1,1,3252,3005,2756,1807,24.4681,2000.09,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M5N1,2,3252,3005,2764,1807,24.5011,2000.36,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M5N1,3,3252,3005,2760,1807,24.4888,2000.46,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M5N1,4,3252,3005,2778,1807,24.4917,2000.68,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M5N1,5,3252,3005,2760,1807,24.4888,2000.67,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M10N1,1,3794,3665,1521,857,25.7844,2000.78,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M10N1,2,3794,3665,1519,857,25.792,2000.45,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M10N1,3,3794,3665,1520,857,25.7967,2001.23,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
