call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,14276,14258,0,14235,14235,35.2765
2,14259,14244,0,14235,14235,70.5644
3,14291,14273,0,14235,14235,105.743
4,14221,14212,1,14212,14212,140.918
5,14210,14198,1,14198,14198,176.148
6,14197,14187,1,14187,14187,211.335
7,14220,14196,0,14187,14187,246.642
8,14237,14214,0,14187,14187,281.998
9,14223,14213,0,14187,14187,317.218
10,14223,14200,0,14187,14187,352.585
11,14230,14217,0,14187,14187,387.847
12,14264,14240,0,14187,14187,423.076
13,14173,14154,1,14154,14154,458.367
14,14166,14160,0,14154,14154,493.58
15,14158,14141,1,14141,14141,528.731
16,14141,14133,1,14133,14133,564.093
17,14167,14147,0,14133,14133,599.463
18,14164,14147,0,14133,14133,634.753
19,14193,14179,0,14133,14133,669.992
20,14142,14120,1,14120,14120,705.139
21,14164,14144,0,14120,14120,740.459
22,14135,14121,1,14121,14120,775.733
23,14121,14109,1,14109,14109,810.981
24,14109,14101,1,14101,14101,846.241
25,14101,14086,1,14086,14086,881.668
26,14126,14108,0,14086,14086,916.806
27,14092,14079,1,14079,14079,952.009
28,14082,14072,1,14072,14072,987.321
29,14072,14057,1,14057,14057,1022.61
30,14058,14042,1,14042,14042,1057.96
31,14055,14045,1,14045,14042,1093.21
32,14049,14035,1,14035,14035,1128.52
33,14040,14028,1,14028,14028,1163.94
34,14035,14021,1,14021,14021,1199.63
35,14037,14026,0,14021,14021,1235.33
36,14066,14042,0,14021,14021,1271.02
37,14056,14036,0,14021,14021,1306.5
38,14073,14049,0,14021,14021,1342.14
39,14046,14032,0,14021,14021,1377.89
40,14022,14011,1,14011,14011,1413.49
41,14032,14023,0,14011,14011,1449.16
42,14076,14064,0,14011,14011,1484.61
43,14071,14055,0,14011,14011,1520.11
44,14022,14013,0,14011,14011,1555.69
45,14023,14010,1,14010,14010,1591.26
46,14057,14033,0,14010,14010,1626.62
47,14038,14028,0,14010,14010,1662.26
48,14025,14015,0,14010,14010,1697.81
49,14029,14011,1,14011,14010,1733.31
50,14008,13989,1,13989,13989,1768.78
51,14002,13988,1,13988,13988,1804.23
52,14010,14001,0,13988,13988,1839.64
53,14041,14033,0,13988,13988,1874.89
54,14044,14032,0,13988,13988,1910.18
55,14011,14001,0,13988,13988,1945.42
56,14026,14002,0,13988,13988,1980.84
57,14053,14027,0,13988,13988,2016.18
