call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,8232,8232,1,8232,8232,14.5077
2,8247,8247,0,8232,8232,28.9976
3,8280,8280,0,8232,8232,39.2199
4,8302,8302,0,8232,8232,47.5421
5,8248,8248,0,8232,8232,55.8523
6,8260,8260,0,8232,8232,64.1784
7,8271,8271,0,8232,8232,72.505
8,8255,8255,0,8232,8232,80.845
9,8234,8234,1,8234,8232,89.1903
10,8231,8231,1,8231,8231,97.4253
11,8224,8224,1,8224,8224,105.64
12,8201,8201,1,8201,8201,113.992
13,8190,8190,1,8190,8190,122.207
14,8208,8208,0,8190,8190,130.472
15,8200,8200,0,8190,8190,138.722
16,8225,8225,0,8190,8190,146.932
17,8215,8215,0,8190,8190,155.143
18,8177,8177,1,8177,8177,163.359
19,8234,8234,0,8177,8177,171.611
20,8169,8169,1,8169,8169,179.849
21,8193,8193,0,8169,8169,188.136
22,8178,8178,0,8169,8169,196.365
23,8166,8166,1,8166,8166,204.624
24,8202,8202,0,8166,8166,212.872
25,8193,8193,0,8166,8166,221.133
26,8197,8197,0,8166,8166,229.357
27,8213,8213,0,8166,8166,237.596
28,8181,8181,0,8166,8166,245.889
29,8202,8202,0,8166,8166,254.118
30,8194,8194,0,8166,8166,262.384
31,8204,8204,0,8166,8166,270.619
32,8183,8183,0,8166,8166,278.838
33,8192,8192,0,8166,8166,287.046
34,8181,8181,0,8166,8166,295.257
35,8188,8188,0,8166,8166,303.432
36,8194,8194,0,8166,8166,311.592
37,8194,8194,0,8166,8166,319.782
38,8183,8183,0,8166,8166,327.928
39,8203,8203,0,8166,8166,336.123
40,8244,8244,0,8166,8166,344.322
41,8216,8216,0,8166,8166,352.5
42,8195,8195,0,8166,8166,360.716
43,8171,8171,0,8166,8166,368.859
44,8201,8201,0,8166,8166,377.032
45,8258,8258,0,8166,8166,385.188
46,8187,8187,0,8166,8166,393.344
47,8165,8165,1,8165,8165,401.502
48,8203,8203,0,8165,8165,409.684
49,8179,8179,0,8165,8165,417.853
50,8183,8183,0,8165,8165,426.071
51,8168,8168,0,8165,8165,434.25
52,8189,8189,0,8165,8165,442.503
53,8152,8152,1,8152,8152,450.705
54,8167,8167,0,8152,8152,458.958
55,8236,8236,0,8152,8152,468.749
56,8165,8165,0,8152,8152,477.013
57,8183,8183,0,8152,8152,485.306
58,8174,8174,0,8152,8152,493.686
59,8152,8152,1,8152,8152,501.949
60,8142,8142,1,8142,8142,510.18
61,8167,8167,0,8142,8142,518.467
62,8165,8165,0,8142,8142,526.819
63,8176,8176,0,8142,8142,535.139
64,8167,8167,0,8142,8142,543.437
65,8153,8153,0,8142,8142,551.696
66,8156,8156,0,8142,8142,559.991
67,8145,8145,0,8142,8142,568.299
68,8189,8189,0,8142,8142,576.579
69,8155,8155,0,8142,8142,584.893
70,8189,8189,0,8142,8142,593.406
71,8182,8182,0,8142,8142,601.707
72,8214,8214,0,8142,8142,609.972
73,8152,8152,0,8142,8142,618.289
74,8150,8150,0,8142,8142,626.661
75,8152,8152,0,8142,8142,634.967
76,8165,8165,0,8142,8142,643.297
77,8164,8164,0,8142,8142,651.598
78,8142,8142,1,8142,8142,659.902
79,8167,8167,0,8142,8142,668.18
80,8137,8137,1,8137,8137,676.427
81,8201,8201,0,8137,8137,684.656
82,8150,8150,0,8137,8137,692.926
83,8145,8145,0,8137,8137,701.17
84,8179,8179,0,8137,8137,709.413
85,8175,8175,0,8137,8137,717.648
86,8163,8163,0,8137,8137,725.82
87,8123,8123,1,8123,8123,734.088
88,8212,8212,0,8123,8123,742.376
89,8149,8149,0,8123,8123,750.624
90,8175,8175,0,8123,8123,758.914
91,8180,8180,0,8123,8123,767.16
92,8205,8205,0,8123,8123,775.43
93,8132,8132,0,8123,8123,783.728
94,8133,8133,0,8123,8123,792.01
95,8167,8167,0,8123,8123,800.29
96,8147,8147,0,8123,8123,808.55
97,8138,8138,0,8123,8123,816.824
98,8199,8199,0,8123,8123,825.099
99,8151,8151,0,8123,8123,833.399
100,8195,8195,0,8123,8123,841.704
101,8156,8156,0,8123,8123,850.016
102,8150,8150,0,8123,8123,858.23
103,8173,8173,0,8123,8123,866.489
104,8143,8143,0,8123,8123,874.767
105,8185,8185,0,8123,8123,883.047
106,8131,8131,0,8123,8123,891.283
107,8125,8125,1,8125,8123,899.555
108,8159,8159,0,8125,8123,908.105
109,8155,8155,0,8125,8123,916.379
110,8201,8201,0,8125,8123,924.656
111,8137,8137,0,8125,8123,932.912
112,8155,8155,0,8125,8123,941.226
113,8164,8164,0,8125,8123,949.495
114,8162,8162,0,8125,8123,957.738
115,8162,8162,0,8125,8123,966.023
116,8131,8131,0,8125,8123,974.277
117,8155,8155,0,8125,8123,982.588
118,8119,8119,1,8119,8119,990.855
119,8133,8133,0,8119,8119,999.135
120,8157,8157,0,8119,8119,1007.38
121,8136,8136,0,8119,8119,1015.64
122,8146,8146,0,8119,8119,1023.94
123,8131,8131,0,8119,8119,1032.22
124,8180,8180,0,8119,8119,1040.53
125,8121,8121,1,8121,8119,1048.81
126,8172,8172,0,8121,8119,1057.1
127,8115,8115,1,8115,8115,1065.41
128,8165,8165,0,8115,8115,1073.71
129,8102,8102,1,8102,8102,1082.01
130,8102,8102,1,8102,8102,1090.34
131,8117,8117,0,8102,8102,1098.64
132,8114,8114,0,8102,8102,1106.91
133,8098,8098,1,8098,8098,1115.18
134,8150,8150,0,8098,8098,1123.49
135,8130,8130,0,8098,8098,1131.81
136,8116,8116,0,8098,8098,1140.17
137,8119,8119,0,8098,8098,1148.47
138,8154,8154,0,8098,8098,1156.77
139,8179,8179,0,8098,8098,1165.12
140,8135,8135,0,8098,8098,1173.42
141,8116,8116,0,8098,8098,1181.73
142,8106,8106,0,8098,8098,1190.05
143,8167,8167,0,8098,8098,1198.4
144,8124,8124,0,8098,8098,1206.72
145,8174,8174,0,8098,8098,1215.02
146,8144,8144,0,8098,8098,1223.34
147,8120,8120,0,8098,8098,1231.71
148,8205,8205,0,8098,8098,1240.1
149,8140,8140,0,8098,8098,1248.5
150,8127,8127,0,8098,8098,1256.84
151,8147,8147,0,8098,8098,1265.15
152,8099,8099,1,8099,8098,1273.48
153,8124,8124,0,8099,8098,1281.81
154,8130,8130,0,8099,8098,1290.09
155,8141,8141,0,8099,8098,1298.43
156,8192,8192,0,8099,8098,1306.78
157,8141,8141,0,8099,8098,1315.1
158,8130,8130,0,8099,8098,1323.4
159,8116,8116,0,8099,8098,1331.69
160,8093,8093,1,8093,8093,1340
161,8122,8122,0,8093,8093,1348.38
162,8121,8121,0,8093,8093,1356.73
163,8157,8157,0,8093,8093,1365.06
164,8097,8097,0,8093,8093,1373.41
165,8130,8130,0,8093,8093,1381.76
166,8130,8130,0,8093,8093,1390.09
167,8122,8122,0,8093,8093,1398.4
168,8122,8122,0,8093,8093,1406.72
169,8134,8134,0,8093,8093,1415.07
170,8160,8160,0,8093,8093,1423.43
171,8132,8132,0,8093,8093,1431.78
172,8147,8147,0,8093,8093,1440.17
173,8113,8113,0,8093,8093,1448.57
174,8164,8164,0,8093,8093,1456.91
175,8148,8148,0,8093,8093,1465.21
176,8130,8130,0,8093,8093,1473.56
177,8133,8133,0,8093,8093,1481.91
178,8135,8135,0,8093,8093,1490.39
179,8121,8121,0,8093,8093,1498.72
180,8128,8128,0,8093,8093,1507.05
181,8121,8121,0,8093,8093,1515.39
182,8166,8166,0,8093,8093,1523.74
183,8137,8137,0,8093,8093,1532.14
