call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,12808,12775,1,12775,12775,1.4393
2,12800,12762,1,12762,12762,2.88798
3,12762,12750,1,12750,12750,4.33805
4,12777,12742,1,12742,12742,5.7819
5,12775,12763,0,12742,12742,7.23172
6,12814,12802,0,12742,12742,8.67162
7,12730,12718,1,12718,12718,10.1141
8,12718,12708,1,12708,12708,11.5609
9,12748,12713,0,12708,12708,13.0158
10,12741,12721,0,12708,12708,14.4538
11,12765,12758,0,12708,12708,15.8945
12,12708,12701,1,12701,12701,17.3472
13,12762,12752,0,12701,12701,18.797
14,12749,12733,0,12701,12701,20.2359
15,12701,12695,1,12695,12695,21.6701
16,12679,12646,1,12646,12646,23.127
17,12653,12646,1,12646,12646,24.5752
18,12657,12637,1,12637,12637,26.0288
19,12671,12650,0,12637,12637,27.4846
20,12632,12617,1,12617,12617,28.9223
21,12631,12620,1,12620,12617,30.3799
22,12620,12614,1,12614,12614,31.8265
23,12625,12614,1,12614,12614,33.2784
24,12628,12623,0,12614,12614,34.724
25,12621,12611,1,12611,12611,36.1622
26,12691,12671,0,12611,12611,37.6117
27,12635,12624,0,12611,12611,39.0545
28,12625,12613,1,12613,12611,40.492
29,12657,12638,0,12613,12611,41.9379
30,12620,12611,1,12611,12611,43.3778
31,12611,12596,1,12596,12596,44.8134
32,12644,12629,0,12596,12596,46.2658
33,12656,12639,0,12596,12596,47.7455
34,12650,12633,0,12596,12596,49.1888
35,12606,12598,0,12596,12596,50.6314
36,12628,12615,0,12596,12596,52.0753
37,12605,12594,1,12594,12594,53.5112
38,12594,12585,1,12585,12585,54.9607
39,12587,12576,1,12576,12576,56.4135
40,12618,12605,0,12576,12576,57.8627
41,12630,12613,0,12576,12576,59.3052
42,12623,12602,0,12576,12576,60.7416
43,12591,12585,0,12576,12576,62.1782
44,12621,12601,0,12576,12576,63.6167
45,12576,12572,1,12572,12572,65.0533
46,12567,12564,1,12564,12564,66.502
47,12587,12584,0,12564,12564,67.9488
48,12564,12561,1,12561,12561,69.389
49,12600,12588,0,12561,12561,70.8367
50,12598,12586,0,12561,12561,72.2803
51,12561,12555,1,12555,12555,73.7171
52,12551,12539,1,12539,12539,75.1734
53,12587,12582,0,12539,12539,76.6288
54,12583,12580,0,12539,12539,78.0701
55,12569,12566,0,12539,12539,79.5062
56,12574,12566,0,12539,12539,80.9582
57,12606,12598,0,12539,12539,82.4023
58,12567,12549,0,12539,12539,83.8419
59,12570,12554,0,12539,12539,85.286
60,12552,12549,0,12539,12539,86.726
61,12586,12556,0,12539,12539,88.1637
62,12573,12547,0,12539,12539,89.605
63,12563,12558,0,12539,12539,91.0466
64,12572,12566,0,12539,12539,92.4871
65,12539,12536,1,12536,12536,93.9263
66,12536,12533,1,12533,12533,95.3822
67,12586,12567,0,12533,12533,96.8366
68,12570,12545,0,12533,12533,98.284
69,12580,12570,0,12533,12533,99.7244
70,12541,12536,0,12533,12533,101.167
71,12542,12540,0,12533,12533,102.606
72,12562,12549,0,12533,12533,104.045
73,12557,12553,0,12533,12533,105.483
74,12549,12539,1,12539,12533,106.924
75,12542,12540,0,12539,12533,108.376
