call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,14276,14260,0,14235,14235,20.1305
2,14261,14248,0,14235,14235,40.2609
3,14226,14213,1,14213,14213,60.3921
4,14211,14203,1,14203,14203,80.5363
5,14230,14196,1,14196,14196,100.684
6,14199,14189,1,14189,14189,120.827
7,14199,14196,0,14189,14189,140.968
8,14214,14214,0,14189,14189,161.09
9,14202,14194,1,14194,14189,181.219
10,14211,14187,1,14187,14187,201.355
11,14222,14222,0,14187,14187,221.495
12,14189,14173,1,14173,14173,241.63
13,14178,14178,0,14173,14173,261.779
14,14227,14211,0,14173,14173,281.91
15,14158,14152,1,14152,14152,302.042
16,14175,14173,0,14152,14152,322.189
17,14158,14146,1,14146,14146,342.314
18,14190,14190,0,14146,14146,362.463
19,14166,14166,0,14146,14146,382.612
20,14152,14146,1,14146,14146,402.744
21,14121,14094,1,14094,14094,422.876
22,14143,14143,0,14094,14094,443.02
23,14116,14116,0,14094,14094,463.144
24,14115,14096,0,14094,14094,483.272
25,14092,14087,1,14087,14087,503.393
26,14099,14093,0,14087,14087,523.531
27,14096,14096,0,14087,14087,543.659
28,14112,14090,0,14087,14087,563.778
29,14094,14094,1,14094,14087,583.903
30,14125,14122,0,14094,14087,604.047
31,14089,14089,1,14089,14087,624.176
32,14115,14115,0,14089,14087,644.302
33,14123,14123,0,14089,14087,664.436
34,14093,14093,0,14089,14087,684.567
35,14122,14100,0,14089,14087,704.704
36,14078,14074,1,14074,14074,724.829
37,14069,14056,1,14056,14056,744.972
38,14046,14020,1,14020,14020,765.119
39,14046,14046,0,14020,14020,785.259
40,14042,14034,0,14020,14020,805.383
41,14047,14046,0,14020,14020,825.515
42,14006,14006,1,14006,14006,845.635
43,14036,14036,0,14006,14006,865.779
44,14041,14041,0,14006,14006,885.911
45,13997,13986,1,13986,13986,906.033
46,13988,13956,1,13956,13956,926.18
47,13976,13976,0,13956,13956,946.327
48,13970,13961,0,13956,13956,966.453
49,13959,13951,1,13951,13951,986.574
50,13949,13949,1,13949,13949,1006.71
51,13992,13988,0,13949,13949,1026.86
52,13960,13957,0,13949,13949,1046.99
53,13992,13990,0,13949,13949,1067.11
54,13943,13943,1,13943,13943,1087.23
55,13956,13956,0,13943,13943,1107.37
56,13977,13977,0,13943,13943,1127.49
57,13966,13966,0,13943,13943,1147.62
58,13940,13940,1,13940,13940,1167.74
59,13947,13947,0,13940,13940,1187.89
60,13976,13976,0,13940,13940,1208.03
61,13981,13964,0,13940,13940,1228.2
62,13975,13965,0,13940,13940,1248.33
63,13983,13979,0,13940,13940,1268.46
64,13992,13986,0,13940,13940,1288.58
65,13956,13956,0,13940,13940,1308.71
66,13951,13951,0,13940,13940,1328.83
67,13950,13950,0,13940,13940,1348.95
68,13996,13959,0,13940,13940,1369.08
69,13940,13940,1,13940,13940,1389.21
70,14002,14002,0,13940,13940,1409.35
71,13971,13954,0,13940,13940,1429.48
72,14006,14006,0,13940,13940,1449.6
73,13951,13938,1,13938,13938,1469.73
74,13988,13977,0,13938,13938,1489.88
75,13938,13921,1,13921,13921,1510.01
76,13955,13936,0,13921,13921,1530.16
77,13958,13948,0,13921,13921,1550.28
78,13964,13945,0,13921,13921,1570.41
79,13951,13951,0,13921,13921,1590.53
80,13987,13985,0,13921,13921,1610.66
81,13912,13912,1,13912,13912,1630.79
82,13933,13916,0,13912,13912,1650.93
83,13959,13937,0,13912,13912,1671.06
84,13923,13920,0,13912,13912,1691.18
85,13930,13895,1,13895,13895,1711.3
86,13931,13927,0,13895,13895,1731.45
87,13943,13943,0,13895,13895,1751.57
88,13923,13923,0,13895,13895,1771.7
89,13943,13942,0,13895,13895,1791.83
90,13943,13942,0,13895,13895,1811.95
91,13934,13920,0,13895,13895,1832.07
92,13922,13921,0,13895,13895,1852.2
93,13921,13895,1,13895,13895,1872.34
94,13895,13895,1,13895,13895,1892.47
95,13969,13927,0,13895,13895,1912.61
96,13895,13895,1,13895,13895,1932.74
97,13957,13954,0,13895,13895,1952.88
98,13906,13879,1,13879,13879,1973.01
99,13922,13908,0,13879,13879,1993.15
100,13884,13862,0,13879,13879,2013.28
