call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,1795,1705,1,1705,1705,2.2087
2,1841,1729,0,1705,1705,2.25884
3,1790,1707,1,1707,1705,6.19862
4,1706,1706,1,1706,1705,7.07066
5,1781,1703,1,1703,1703,8.46585
6,1765,1702,1,1702,1702,20.2025
7,1770,1708,1,1708,1702,22.7346
8,1785,1708,1,1708,1702,26.2275
9,1767,1710,0,1708,1702,28.6115
10,1796,1706,1,1706,1702,30.3573
11,1769,1705,1,1705,1702,30.6389
12,1868,1704,1,1704,1702,35.427
13,1763,1705,1,1705,1702,37.2095
14,1870,1704,1,1704,1702,39.6887
15,1844,1704,1,1704,1702,39.8014
16,1810,1720,0,1704,1702,40.3783
17,1799,1704,1,1704,1702,40.7223
18,1729,1711,0,1704,1702,42.8159
19,1711,1706,0,1704,1702,45.7806
20,1788,1709,0,1704,1702,46.5197
21,1749,1706,0,1704,1702,46.5933
22,1737,1704,1,1704,1702,47.0379
23,1704,1704,1,1704,1702,47.0722
24,1745,1701,1,1701,1701,48.8311
25,1724,1701,1,1701,1701,49.7345
26,1753,1702,1,1702,1701,52.1719
27,1773,1704,0,1702,1701,52.9367
28,1742,1701,1,1701,1701,57.8128
29,1739,1711,0,1701,1701,58.7781
30,1731,1725,0,1701,1701,58.9585
31,1730,1720,0,1701,1701,59.2713
32,1797,1724,0,1701,1701,59.7179
33,1744,1707,0,1701,1701,60.1828
34,1846,1705,0,1701,1701,60.7874
35,1736,1698,1,1698,1698,72.4675
36,1750,1711,0,1698,1698,73.4249
37,1733,1706,0,1698,1698,73.6546
38,1765,1706,0,1698,1698,75.8551
39,1809,1702,0,1698,1698,76.8353
40,1789,1716,0,1698,1698,77.2123
41,1795,1709,0,1698,1698,78.2099
42,1887,1714,0,1698,1698,78.4179
43,1745,1698,1,1698,1698,78.5714
44,1758,1709,0,1698,1698,81.9622
45,1862,1705,0,1698,1698,82.3439
46,1765,1719,0,1698,1698,83.339
47,1756,1706,0,1698,1698,84.1244
48,1749,1704,1,1704,1698,85.1809
49,1722,1704,1,1704,1698,85.5869
50,1773,1704,1,1704,1698,85.6318
51,1748,1706,1,1706,1698,87.608
