call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,32679,32654,1,32654,32654,29.2096
2,32654,32646,1,32646,32646,58.6174
3,32631,32598,1,32598,32598,88.0207
4,32598,32590,1,32590,32590,113.317
5,32590,32578,1,32578,32578,142.692
6,32596,32584,0,32578,32578,172.09
7,32578,32572,1,32572,32572,201.41
8,32616,32612,0,32572,32572,230.86
9,32572,32570,1,32570,32570,260.253
10,32615,32604,0,32570,32570,289.666
11,32585,32576,0,32570,32570,319.084
12,32597,32582,0,32570,32570,348.484
13,32587,32578,0,32570,32570,378.01
14,32643,32633,0,32570,32570,407.38
15,32582,32573,1,32573,32570,436.785
16,32567,32562,1,32562,32562,466.204
17,32636,32629,0,32562,32562,495.582
18,32562,32559,1,32559,32559,524.909
19,32604,32603,0,32559,32559,554.295
20,32558,32556,1,32556,32556,583.956
21,32556,32551,1,32551,32551,613.144
22,32551,32547,1,32547,32547,642.679
23,32620,32578,0,32547,32547,668.131
24,32574,32571,0,32547,32547,697.764
25,32598,32564,0,32547,32547,723.09
26,32547,32546,1,32546,32546,752.556
27,32546,32539,1,32539,32539,781.989
28,32532,32532,1,32532,32532,811.404
29,32532,32532,1,32532,32532,840.725
30,32532,32532,1,32532,32532,870.081
31,32554,32549,0,32532,32532,899.293
32,32532,32532,1,32532,32532,928.706
33,32534,32534,1,32534,32532,957.835
34,32534,32534,1,32534,32532,987.297
35,32555,32555,0,32534,32532,1016.63
36,32622,32609,0,32534,32532,1046.41
37,32534,32534,1,32534,32532,1076.04
38,32534,32534,1,32534,32532,1105.68
39,32637,32625,0,32534,32532,1135.34
40,32565,32558,0,32534,32532,1165.01
41,32565,32565,0,32534,32532,1194.52
42,32605,32586,0,32534,32532,1224.07
43,32555,32539,0,32534,32532,1253.35
44,32563,32563,0,32534,32532,1283.02
45,32552,32550,0,32534,32532,1312.4
46,32577,32575,0,32534,32532,1341.94
47,32534,32534,1,32534,32532,1371.19
48,32527,32527,1,32527,32527,1400.85
49,32570,32567,0,32527,32527,1430.03
50,32598,32586,0,32527,32527,1459.18
51,32527,32527,1,32527,32527,1488.38
52,32560,32511,1,32511,32511,1513.68
53,32505,32492,1,32492,32492,1542.94
54,32528,32507,0,32492,32492,1568.14
55,32492,32483,1,32483,32483,1593.91
56,32483,32479,1,32479,32479,1623.31
57,32517,32509,0,32479,32479,1652.87
58,32513,32473,1,32473,32473,1678.25
59,32541,32533,0,32473,32473,1708.1
60,32502,32473,1,32473,32473,1733.59
61,32496,32473,1,32473,32473,1762.88
62,32477,32477,0,32473,32473,1792.53
63,32601,32598,0,32473,32473,1817.89
64,32470,32467,1,32467,32467,1847.29
65,32486,32485,0,32467,32467,1876.75
66,32472,32465,1,32465,32465,1906.28
67,32513,32491,0,32465,32465,1931.3
68,32514,32494,0,32465,32465,1960.73
69,32465,32459,1,32459,32459,1990.14
70,32512,32474,0,32459,32459,2019.21
