call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,32679,32423,1,32423,32423,44.7795
2,32464,32453,0,32423,32423,61.1244
3,32496,32426,0,32423,32423,95.3689
4,32423,32423,1,32423,32423,107.642
5,32423,32423,1,32423,32423,119.937
6,32453,32424,1,32424,32423,153.509
7,32424,32424,1,32424,32423,165.98
8,32466,32449,0,32424,32423,188.226
9,32424,32424,1,32424,32423,200.807
10,32448,32415,1,32415,32415,261.404
11,32415,32415,1,32415,32415,273.688
12,32458,32446,0,32415,32415,295.534
13,32458,32448,0,32415,32415,318.791
14,32425,32425,0,32415,32415,331.014
15,32415,32415,1,32415,32415,343.254
16,32441,32421,0,32415,32415,362.759
17,32415,32415,1,32415,32415,375.647
18,32432,32432,0,32415,32415,388.355
19,32415,32415,1,32415,32415,400.8
20,32415,32415,1,32415,32415,413.276
21,32462,32456,0,32415,32415,436.835
22,32436,32415,1,32415,32415,461.53
23,32415,32415,1,32415,32415,473.928
24,32415,32415,1,32415,32415,486.482
25,32415,32415,1,32415,32415,498.903
26,32442,32431,0,32415,32415,523.981
27,32448,32415,1,32415,32415,544.482
28,32456,32412,1,32412,32412,569.718
29,32441,32413,1,32413,32412,607.208
30,32413,32413,1,32413,32412,619.574
31,32417,32413,1,32413,32412,642.285
32,32461,32436,0,32413,32412,666.349
33,32474,32457,0,32413,32412,701.411
34,32428,32413,1,32413,32412,720.739
35,32436,32415,0,32413,32412,744.924
36,32437,32423,0,32413,32412,769.558
37,32413,32413,1,32413,32412,781.984
38,32413,32413,1,32413,32412,794.261
39,32500,32459,0,32413,32412,829.281
40,32413,32413,1,32413,32412,841.686
41,32476,32461,0,32413,32412,856.219
42,32413,32413,1,32413,32412,868.701
43,32433,32428,0,32413,32412,890.245
44,32413,32413,1,32413,32412,902.451
45,32413,32413,1,32413,32412,914.655
46,32460,32413,1,32413,32412,941.637
47,32413,32413,1,32413,32412,954.04
48,32413,32413,1,32413,32412,966.48
49,32413,32413,1,32413,32412,978.843
50,32413,32413,1,32413,32412,991.221
51,32461,32413,1,32413,32412,1006.04
52,32468,32426,0,32413,32412,1040.99
53,32448,32413,1,32413,32412,1062.11
54,32413,32413,1,32413,32412,1074.43
55,32482,32415,1,32415,32412,1118.3
56,32415,32415,1,32415,32412,1130.62
57,32467,32411,1,32411,32411,1180.29
58,32433,32426,0,32411,32411,1205.09
59,32411,32411,1,32411,32411,1217.45
60,32411,32411,1,32411,32411,1229.81
61,32411,32411,1,32411,32411,1242.28
62,32464,32442,0,32411,32411,1276.83
63,32411,32411,1,32411,32411,1289.24
64,32411,32411,1,32411,32411,1301.65
65,32455,32451,0,32411,32411,1322
66,32471,32457,0,32411,32411,1341.2
67,32434,32411,1,32411,32411,1360.43
68,32458,32454,0,32411,32411,1379.14
69,32450,32445,0,32411,32411,1399.57
70,32451,32451,0,32411,32411,1412.02
71,32411,32411,1,32411,32411,1424.39
72,32503,32459,0,32411,32411,1459.57
73,32411,32411,1,32411,32411,1471.89
74,32496,32482,0,32411,32411,1506.02
75,32421,32411,1,32411,32411,1525.24
76,32411,32411,1,32411,32411,1537.56
77,32411,32411,1,32411,32411,1549.86
78,32477,32467,0,32411,32411,1562.31
79,32411,32411,1,32411,32411,1574.62
80,32432,32432,0,32411,32411,1586.97
81,32450,32447,0,32411,32411,1608.73
82,32436,32436,0,32411,32411,1621.09
83,32451,32431,0,32411,32411,1645.27
84,32426,32411,1,32411,32411,1663.08
85,32486,32461,0,32411,32411,1694.98
86,32457,32444,0,32411,32411,1713.6
87,32411,32411,1,32411,32411,1725.91
88,32411,32411,1,32411,32411,1738.19
89,32411,32411,1,32411,32411,1750.44
90,32413,32413,0,32411,32411,1762.81
91,32443,32441,0,32411,32411,1775.26
92,32411,32411,1,32411,32411,1787.61
93,32453,32433,0,32411,32411,1811.67
94,32411,32411,1,32411,32411,1823.94
95,32422,32411,1,32411,32411,1837.95
96,32411,32411,1,32411,32411,1850.25
97,32411,32411,1,32411,32411,1862.77
98,32411,32411,1,32411,32411,1875.06
99,32411,32411,1,32411,32411,1887.37
100,32411,32411,1,32411,32411,1899.68
101,32461,32449,0,32411,32411,1917.96
102,32438,32438,0,32411,32411,1930.18
103,32451,32423,0,32411,32411,1954.2
104,32474,32465,0,32411,32411,1977.41
105,32411,32411,1,32411,32411,1989.62
106,32444,32440,0,32411,32411,2009.45
