call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,14276,14015,1,14015,14015,12.6799
2,14029,13992,1,13992,13992,17.4722
3,13992,13924,1,13924,13924,26.672
4,13924,13920,1,13920,13920,29.0244
5,13965,13915,1,13915,13915,34.542
6,13934,13934,0,13915,13915,36.5146
7,13960,13926,0,13915,13915,39.439
8,13936,13910,1,13910,13910,42.9708
9,13955,13922,0,13910,13910,46.3993
10,13938,13892,1,13892,13892,52.8632
11,13968,13925,0,13892,13892,56.1562
12,13930,13884,1,13884,13884,62.7944
13,13917,13843,1,13843,13843,74.1098
14,13878,13871,0,13843,13843,77.2119
15,13872,13833,1,13833,13833,81.6036
16,13866,13793,1,13793,13793,95.2781
17,13842,13811,0,13793,13793,98.8241
18,13831,13815,0,13793,13793,102.206
19,13842,13794,1,13794,13793,105.227
20,13826,13789,1,13789,13789,110.399
21,13837,13825,0,13789,13789,114.906
22,13854,13795,0,13789,13789,121.624
23,13830,13801,0,13789,13789,125.913
24,13846,13808,0,13789,13789,132.001
25,13789,13789,1,13789,13789,133.922
26,13851,13801,0,13789,13789,138.857
27,13824,13782,1,13782,13782,144.72
28,13782,13782,1,13782,13782,146.656
29,13780,13780,1,13780,13780,148.594
30,13780,13780,1,13780,13780,150.539
31,13823,13805,0,13780,13780,154.221
32,13810,13763,1,13763,13763,162.274
33,13837,13810,0,13763,13763,165.189
34,13795,13781,0,13763,13763,167.807
35,13816,13803,0,13763,13763,172.37
36,13818,13805,0,13763,13763,174.743
37,13776,13773,0,13763,13763,176.96
38,13826,13782,0,13763,13763,184.82
39,13782,13762,1,13762,13762,187.49
40,13852,13761,1,13761,13761,193.386
41,13815,13773,0,13761,13761,198.633
42,13787,13764,0,13761,13761,202.261
43,13784,13768,0,13761,13761,205.32
44,13761,13761,1,13761,13761,207.283
45,13798,13789,0,13761,13761,210.478
46,13799,13792,0,13761,13761,213.118
47,13787,13787,0,13761,13761,215.085
48,13765,13758,1,13758,13758,220.012
49,13808,13714,1,13714,13714,228.008
50,13735,13699,1,13699,13699,232.555
51,13714,13699,1,13699,13699,234.544
52,13716,13706,0,13699,13699,236.922
53,13733,13719,0,13699,13699,240.77
54,13744,13698,1,13698,13698,250.546
55,13728,13706,0,13698,13698,256.212
56,13749,13709,0,13698,13698,262.742
57,13700,13698,1,13698,13698,265.376
58,13737,13698,1,13698,13698,272.104
59,13724,13695,1,13695,13695,280.822
60,13754,13722,0,13695,13695,285.161
61,13713,13701,0,13695,13695,287.447
62,13695,13695,1,13695,13695,289.42
63,13724,13705,0,13695,13695,293.908
64,13695,13695,1,13695,13695,295.829
65,13731,13689,1,13689,13689,301.874
66,13759,13684,1,13684,13684,306.775
67,13684,13684,1,13684,13684,308.689
68,13713,13676,1,13676,13676,312.015
69,13712,13692,0,13676,13676,316.309
70,13752,13720,0,13676,13676,319.481
71,13707,13695,0,13676,13676,322.512
72,13679,13677,1,13677,13676,324.9
73,13706,13674,1,13674,13674,328.75
74,13708,13674,1,13674,13674,331.146
75,13727,13678,0,13674,13674,334.155
76,13674,13674,1,13674,13674,336.062
77,13766,13715,0,13674,13674,342.772
78,13696,13682,0,13674,13674,345.211
79,13724,13681,0,13674,13674,348.173
80,13698,13661,1,13661,13661,350.729
81,13687,13679,0,13661,13661,354.306
82,13661,13661,1,13661,13661,356.233
83,13704,13651,1,13651,13651,360.032
84,13664,13646,1,13646,13646,362.805
85,13679,13659,0,13646,13646,365.113
86,13663,13661,0,13646,13646,368.631
87,13651,13638,1,13638,13638,371.984
88,13726,13670,0,13638,13638,376.637
89,13669,13655,0,13638,13638,379.149
90,13638,13638,1,13638,13638,381.063
91,13701,13636,1,13636,13636,387.037
92,13636,13636,1,13636,13636,388.96
93,13669,13654,0,13636,13636,394.094
94,13688,13672,0,13636,13636,397.051
95,13685,13655,0,13636,13636,401.033
96,13659,13651,0,13636,13636,403.45
97,13687,13677,0,13636,13636,405.621
98,13637,13636,1,13636,13636,408.715
99,13696,13636,1,13636,13636,410.877
100,13661,13644,0,13636,13636,414.417
101,13678,13647,0,13636,13636,416.45
102,13636,13636,1,13636,13636,418.359
103,13636,13636,1,13636,13636,420.275
