call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,36204,36017,1,36017,36017,22.2449
2,36077,36019,1,36019,36017,44.6303
3,36050,36002,1,36002,36002,66.979
4,36013,35962,1,35962,35962,89.2703
5,36036,36001,0,35962,35962,111.788
6,36004,35970,0,35962,35962,134.132
7,35979,35947,1,35947,35947,156.607
8,35947,35933,1,35933,35933,178.989
9,35933,35928,1,35928,35928,201.35
10,36006,35974,0,35928,35928,223.823
11,35928,35923,1,35923,35923,246.084
12,35938,35922,1,35922,35922,268.267
13,35978,35946,0,35922,35922,290.585
14,36008,35973,0,35922,35922,312.911
15,35962,35928,0,35922,35922,335.215
16,35929,35916,1,35916,35916,357.476
17,35971,35942,0,35916,35916,379.872
18,35940,35918,0,35916,35916,402.36
19,35921,35903,1,35903,35903,424.588
20,35956,35947,0,35903,35903,446.788
21,35903,35903,1,35903,35903,468.921
22,35903,35903,1,35903,35903,491.228
23,35969,35945,0,35903,35903,513.592
24,35903,35903,1,35903,35903,535.915
25,35990,35953,0,35903,35903,558.328
26,35903,35903,1,35903,35903,580.655
27,35903,35903,1,35903,35903,602.844
28,35929,35903,1,35903,35903,624.966
29,35942,35930,0,35903,35903,647.182
30,35926,35896,1,35896,35896,669.414
31,35896,35885,1,35885,35885,691.583
32,35952,35924,0,35885,35885,713.983
33,35965,35949,0,35885,35885,736.268
34,35915,35914,0,35885,35885,758.543
35,35885,35885,1,35885,35885,780.766
36,35920,35907,0,35885,35885,803.273
37,35930,35923,0,35885,35885,825.66
38,35930,35929,0,35885,35885,847.951
39,35918,35903,0,35885,35885,870.285
40,35897,35890,0,35885,35885,892.636
41,35919,35918,0,35885,35885,914.984
42,35966,35952,0,35885,35885,937.47
43,35922,35900,0,35885,35885,959.879
44,35885,35885,1,35885,35885,982.132
45,35960,35948,0,35885,35885,1004.35
46,35933,35901,0,35885,35885,1026.45
47,35907,35891,0,35885,35885,1048.65
48,35955,35915,0,35885,35885,1070.74
49,35885,35885,1,35885,35885,1092.77
50,35924,35904,0,35885,35885,1114.84
51,35885,35885,1,35885,35885,1136.87
52,35968,35939,0,35885,35885,1159.29
53,35932,35901,0,35885,35885,1181.59
54,35885,35885,1,35885,35885,1203.84
55,35940,35899,0,35885,35885,1226.19
56,35912,35904,0,35885,35885,1248.43
57,35885,35885,1,35885,35885,1270.58
58,35901,35892,0,35885,35885,1292.87
59,35921,35905,0,35885,35885,1315.01
60,35914,35902,0,35885,35885,1337.28
61,35885,35885,1,35885,35885,1359.53
62,35906,35903,0,35885,35885,1383.46
63,35951,35924,0,35885,35885,1405.67
64,35895,35885,1,35885,35885,1428.01
65,35885,35883,1,35883,35883,1450.51
66,35883,35881,1,35881,35881,1473.14
67,35881,35881,1,35881,35881,1495.54
68,35918,35887,0,35881,35881,1517.84
69,35894,35886,0,35881,35881,1540.8
70,35909,35886,0,35881,35881,1563.18
71,35881,35881,1,35881,35881,1585.47
72,35933,35926,0,35881,35881,1607.98
73,35958,35925,0,35881,35881,1630.56
74,35884,35884,0,35881,35881,1653.08
75,35921,35901,0,35881,35881,1675.55
76,35939,35900,0,35881,35881,1697.95
77,35881,35881,1,35881,35881,1720.4
78,35974,35932,0,35881,35881,1743.02
79,35881,35881,1,35881,35881,1765.6
80,35926,35908,0,35881,35881,1788.2
81,35964,35959,0,35881,35881,1810.57
82,35905,35904,0,35881,35881,1833.13
83,35881,35881,1,35881,35881,1855.61
84,35885,35881,1,35881,35881,1878.1
85,35898,35895,0,35881,35881,1900.33
86,35903,35876,1,35876,35876,1922.64
87,35902,35898,0,35876,35876,1945.1
88,35892,35880,0,35876,35876,1967.4
89,35961,35913,0,35876,35876,1989.79
90,35897,35883,0,35876,35876,2012.17
