call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,36204,35883,1,35883,35883,125.812
2,35909,35899,0,35883,35883,179.086
3,35916,35879,1,35879,35879,226.364
4,35949,35921,0,35879,35879,287.262
5,35879,35879,1,35879,35879,311.037
6,35903,35901,0,35879,35879,348.464
7,35879,35879,1,35879,35879,372.22
8,35918,35916,0,35879,35879,397.905
9,35972,35913,0,35879,35879,461.753
10,35896,35879,1,35879,35879,487.161
11,35926,35873,1,35873,35873,564.099
12,35939,35890,0,35873,35873,638.563
13,35917,35886,0,35873,35873,703.878
14,35905,35866,1,35866,35866,774.438
15,35898,35889,0,35866,35866,799.538
16,35903,35892,0,35866,35866,863.095
17,35899,35892,0,35866,35866,893.673
18,35946,35930,0,35866,35866,950.276
19,35916,35879,0,35866,35866,1038.9
20,35921,35824,1,35824,35824,1126.58
21,35824,35824,1,35824,35824,1150.3
22,35824,35824,1,35824,35824,1174.19
23,35824,35824,1,35824,35824,1198.25
24,35864,35827,1,35827,35824,1237.38
25,35864,35850,0,35827,35824,1272.72
26,35846,35827,1,35827,35824,1318.73
27,35851,35840,0,35827,35824,1379.02
28,35827,35827,1,35827,35824,1402.97
29,35873,35827,1,35827,35824,1434.93
30,35882,35842,0,35827,35824,1505.24
31,35903,35876,0,35827,35824,1549.58
32,35827,35827,1,35827,35824,1573.83
33,35859,35848,0,35827,35824,1597.74
34,35827,35827,1,35827,35824,1621.52
35,35843,35843,0,35827,35824,1645.43
36,35827,35827,1,35827,35824,1669.37
37,35872,35842,0,35827,35824,1726.49
38,35827,35827,1,35827,35824,1750.4
39,35827,35827,1,35827,35824,1774.2
40,35844,35828,1,35828,35824,1844.28
41,35924,35875,0,35828,35824,1885.87
42,35828,35828,1,35828,35824,1909.55
43,35838,35835,0,35828,35824,1954.25
44,35854,35831,1,35831,35824,1978.58
45,35896,35817,0,35831,35824,2077.69
