call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,3234,3182,1,3182,3182,0.177085
2,3197,3154,1,3154,3154,0.334429
3,3175,3149,1,3149,3149,0.507859
4,3251,3138,1,3138,3138,0.786606
5,3178,3178,0,3138,3138,0.883848
6,3193,3134,1,3134,3134,1.1443
7,3184,3134,1,3134,3134,1.31464
8,3142,3133,1,3133,3133,1.4263
9,3133,3133,1,3133,3133,1.51317
10,3179,3161,0,3133,3133,1.69153
11,3211,3159,0,3133,3133,1.91751
12,3188,3136,0,3133,3133,2.14906
13,3139,3130,1,3130,3130,2.25602
14,3194,3128,1,3128,3128,2.54237
15,3157,3152,0,3128,3128,2.70302
16,3228,3134,0,3128,3128,3.05234
17,3128,3128,1,3128,3128,3.14228
18,3142,3142,0,3128,3128,3.23769
19,3185,3125,1,3125,3125,3.37953
20,3195,3150,0,3125,3125,3.54425
21,3203,3151,0,3125,3125,3.70272
22,3169,3169,0,3125,3125,3.79996
23,3125,3125,1,3125,3125,3.88693
24,3144,3125,1,3125,3125,4.0192
25,3125,3125,1,3125,3125,4.10556
26,3223,3218,0,3125,3125,4.27031
27,3173,3128,1,3128,3125,4.41266
28,3192,3138,0,3128,3125,4.57539
29,3168,3142,0,3128,3125,4.7403
30,3128,3128,1,3128,3125,4.83497
31,3157,3145,0,3128,3125,4.92874
32,3128,3128,1,3128,3125,5.01245
33,3215,3132,0,3128,3125,5.30441
34,3128,3128,1,3128,3125,5.39238
35,3171,3123,1,3123,3123,5.54658
36,3192,3174,0,3123,3123,5.64783
37,3196,3124,1,3124,3123,5.87085
38,3198,3130,0,3124,3123,6.04591
39,3164,3131,0,3124,3123,6.25038
40,3207,3164,0,3124,3123,6.52897
41,3255,3156,0,3124,3123,6.73256
42,3176,3135,0,3124,3123,6.98603
43,3166,3132,0,3124,3123,7.19924
44,3125,3125,1,3125,3123,7.2883
45,3207,3101,1,3101,3101,7.5338
46,3157,3130,0,3101,3101,7.67513
47,3128,3114,0,3101,3101,7.84471
48,3210,3151,0,3101,3101,8.10792
49,3138,3097,1,3097,3097,8.3697
50,3212,3155,0,3097,3097,8.59899
51,3121,3084,1,3084,3084,8.75846
52,3112,3112,0,3084,3084,8.85924
53,3174,3103,0,3084,3084,9.00939
54,3165,3147,0,3084,3084,9.15661
55,3146,3134,0,3084,3084,9.25099
56,3112,3091,0,3084,3084,9.48093
57,3131,3119,0,3084,3084,9.62858
58,3171,3125,0,3084,3084,9.85548
59,3091,3091,1,3091,3084,9.94241
60,3175,3133,0,3091,3084,10.1881
61,3131,3099,0,3091,3084,10.3367
62,3136,3091,1,3091,3084,10.4545
63,3105,3089,1,3089,3084,10.5682
64,3114,3114,0,3089,3084,10.658
65,3105,3103,0,3089,3084,10.8068
66,3148,3089,1,3089,3084,10.9097
67,3176,3160,0,3089,3084,11.0707
68,3214,3133,0,3089,3084,11.2851
69,3088,3088,1,3088,3084,11.3745
70,3094,3071,1,3071,3071,11.633
71,3140,3071,1,3071,3071,11.7968
72,3108,3108,0,3071,3071,11.8903
73,3096,3090,0,3071,3071,12.001
74,3187,3125,0,3071,3071,12.2119
75,3146,3078,0,3071,3071,12.3467
76,3097,3081,0,3071,3071,12.4608
77,3106,3075,0,3071,3071,12.6686
78,3090,3090,0,3071,3071,12.7592
79,3071,3071,1,3071,3071,12.8564
80,3126,3126,0,3071,3071,12.9497
81,3140,3106,0,3071,3071,13.0996
82,3123,3114,0,3071,3071,13.2507
83,3171,3084,0,3071,3071,13.4062
84,3141,3106,0,3071,3071,13.5375
85,3067,3062,1,3062,3062,13.7185
86,3122,3081,0,3062,3062,13.9429
87,3062,3062,1,3062,3062,14.0313
88,3166,3153,0,3062,3062,14.1936
89,3183,3116,0,3062,3062,14.4445
90,3118,3101,0,3062,3062,14.629
91,3150,3124,0,3062,3062,14.7683
92,3121,3069,0,3062,3062,14.9236
93,3197,3158,0,3062,3062,15.1014
94,3115,3077,0,3062,3062,15.2551
95,3097,3095,0,3062,3062,15.3994
96,3067,3064,0,3062,3062,15.5118
97,3098,3098,0,3062,3062,15.6002
98,3190,3128,0,3062,3062,15.8
99,3222,3073,0,3062,3062,15.9524
100,3107,3098,0,3062,3062,16.1014
101,3125,3073,0,3062,3062,16.3363
102,3079,3079,0,3062,3062,16.4257
103,3140,3101,0,3062,3062,16.5827
104,3204,3136,0,3062,3062,16.8936
105,3109,3080,0,3062,3062,17.0387
106,3092,3092,0,3062,3062,17.1286
107,3119,3111,0,3062,3062,17.2813
108,3122,3100,0,3062,3062,17.4301
109,3062,3062,1,3062,3062,17.5166
110,3168,3102,0,3062,3062,17.6554
111,3108,3102,0,3062,3062,17.8132
112,3074,3070,0,3062,3062,17.9241
113,3062,3062,1,3062,3062,18.0114
114,3141,3112,0,3062,3062,18.1635
115,3092,3083,0,3062,3062,18.3404
116,3098,3092,0,3062,3062,18.4554
117,3232,3167,0,3062,3062,18.5941
118,3075,3062,1,3062,3062,18.7388
119,3121,3094,0,3062,3062,18.9142
120,3160,3089,0,3062,3062,19.1485
121,3124,3069,0,3062,3062,19.3694
122,3124,3078,0,3062,3062,19.5415
123,3125,3110,0,3062,3062,19.7166
124,3071,3063,1,3063,3062,19.8294
125,3172,3151,0,3063,3062,19.9961
126,3105,3099,0,3063,3062,20.0898
127,3097,3086,0,3063,3062,20.2712
128,3187,3135,0,3063,3062,20.5259
129,3149,3071,0,3063,3062,20.7115
130,3063,3063,1,3063,3062,20.814
131,3087,3063,1,3063,3062,20.9092
132,3074,3074,0,3063,3062,20.9994
133,3084,3072,0,3063,3062,21.1098
134,3175,3147,0,3063,3062,21.2986
135,3138,3091,0,3063,3062,21.4884
136,3137,3085,0,3063,3062,21.6217
137,3120,3120,0,3063,3062,21.7096
138,3070,3063,1,3063,3062,21.824
139,3136,3063,1,3063,3062,21.989
140,3140,3112,0,3063,3062,22.179
141,3134,3099,0,3063,3062,22.3271
142,3063,3062,1,3062,3062,22.4236
143,3144,3105,0,3062,3062,22.6112
144,3163,3097,0,3062,3062,22.7996
145,3154,3104,0,3062,3062,22.9863
146,3088,3084,0,3062,3062,23.0991
147,3062,3062,1,3062,3062,23.1871
148,3148,3062,1,3062,3062,23.3697
149,3110,3097,0,3062,3062,23.6126
150,3082,3062,1,3062,3062,23.7234
151,3128,3095,0,3062,3062,23.8512
152,3149,3076,0,3062,3062,24.1444
153,3170,3116,0,3062,3062,24.2847
154,3083,3076,0,3062,3062,24.4189
155,3062,3062,1,3062,3062,24.5069
156,3153,3102,0,3062,3062,24.6466
157,3085,3078,0,3062,3062,24.8056
158,3143,3121,0,3062,3062,24.993
159,3196,3108,0,3062,3062,25.2141
160,3179,3139,0,3062,3062,25.333
161,3071,3063,1,3063,3062,25.4287
162,3115,3107,0,3063,3062,25.5474
163,3094,3094,0,3063,3062,25.6363
164,3099,3074,0,3063,3062,25.8232
165,3091,3091,0,3063,3062,25.9115
166,3132,3063,1,3063,3062,26.1325
167,3169,3115,0,3063,3062,26.2858
168,3135,3096,0,3063,3062,26.4543
169,3132,3063,1,3063,3062,26.5446
170,3124,3124,0,3063,3062,26.6369
171,3116,3069,0,3063,3062,26.8229
172,3112,3091,0,3063,3062,26.9416
173,3099,3077,0,3063,3062,27.1088
174,3126,3095,0,3063,3062,27.2499
175,3115,3115,0,3063,3062,27.3404
176,3063,3063,1,3063,3062,27.4282
177,3145,3115,0,3063,3062,27.5506
178,3080,3078,0,3063,3062,27.7014
179,3144,3089,0,3063,3062,28.0165
180,3063,3063,1,3063,3062,28.1038
181,3119,3085,0,3063,3062,28.2094
182,3164,3083,0,3063,3062,28.353
183,3124,3088,0,3063,3062,28.5011
184,3090,3085,0,3063,3062,28.6154
185,3151,3103,0,3063,3062,28.7736
186,3130,3092,0,3063,3062,29.0685
187,3088,3088,0,3063,3062,29.1588
188,3106,3106,0,3063,3062,29.2469
189,3133,3108,0,3063,3062,29.4053
190,3112,3076,0,3063,3062,29.6493
191,3130,3096,0,3063,3062,29.7959
192,3109,3081,0,3063,3062,29.9438
193,3063,3063,1,3063,3062,30.0309
194,3109,3096,0,3063,3062,30.182
195,3106,3088,0,3063,3062,30.2858
196,3118,3094,0,3063,3062,30.5555
197,3102,3070,0,3063,3062,30.8328
198,3063,3063,1,3063,3062,30.9211
199,3063,3063,1,3063,3062,31.0091
200,3109,3089,0,3063,3062,31.1244
201,3141,3131,0,3063,3062,31.234
202,3110,3109,0,3063,3062,31.3304
203,3111,3071,0,3063,3062,31.4555
204,3129,3102,0,3063,3062,31.6155
205,3165,3089,0,3063,3062,31.8688
206,3165,3147,0,3063,3062,32.0154
207,3115,3063,1,3063,3062,32.1634
208,3074,3074,0,3063,3062,32.2542
209,3063,3063,1,3063,3062,32.3383
210,3133,3106,0,3063,3062,32.4847
211,3100,3099,0,3063,3062,32.5915
212,3128,3101,0,3063,3062,32.851
213,3136,3097,0,3063,3062,32.9963
214,3161,3109,0,3063,3062,33.1657
215,3121,3063,1,3063,3062,33.3138
216,3163,3121,0,3063,3062,33.5802
217,3186,3179,0,3063,3062,33.7243
218,3094,3070,0,3063,3062,33.9134
219,3109,3063,1,3063,3062,34.0774
220,3084,3084,0,3063,3062,34.169
221,3201,3129,0,3063,3062,34.3952
222,3109,3087,0,3063,3062,34.5758
223,3063,3063,1,3063,3062,34.662
224,3092,3092,0,3063,3062,34.7547
225,3141,3119,0,3063,3062,34.9411
226,3120,3063,1,3063,3062,35.0921
227,3119,3085,0,3063,3062,35.197
228,3105,3100,0,3063,3062,35.3449
229,3164,3114,0,3063,3062,35.4954
230,3078,3078,0,3063,3062,35.5839
231,3103,3063,1,3063,3062,35.7006
232,3159,3145,0,3063,3062,35.8605
233,3063,3063,1,3063,3062,35.9477
234,3071,3063,1,3063,3062,36.0411
235,3143,3089,0,3063,3062,36.2321
236,3131,3073,0,3063,3062,36.4545
237,3158,3145,0,3063,3062,36.603
238,3084,3063,1,3063,3062,36.7225
239,3144,3109,0,3063,3062,36.8489
240,3092,3063,1,3063,3062,36.9603
241,3075,3063,1,3063,3062,37.1248
242,3101,3101,0,3063,3062,37.2178
243,3079,3063,1,3063,3062,37.367
244,3155,3128,0,3063,3062,37.4968
245,3142,3063,1,3063,3062,37.6179
246,3175,3134,0,3063,3062,37.7856
247,3075,3063,1,3063,3062,37.9498
248,3091,3084,0,3063,3062,38.0988
249,3092,3092,0,3063,3062,38.1886
250,3111,3063,1,3063,3062,38.3159
251,3109,3099,0,3063,3062,38.4153
252,3119,3109,0,3063,3062,38.5757
253,3124,3111,0,3063,3062,38.7307
254,3118,3091,0,3063,3062,38.9486
255,3118,3075,0,3063,3062,39.093
256,3117,3094,0,3063,3062,39.2415
257,3120,3063,1,3063,3062,39.3741
258,3114,3111,0,3063,3062,39.538
259,3129,3120,0,3063,3062,39.7001
260,3171,3143,0,3063,3062,39.9034
261,3113,3113,0,3063,3062,39.9963
262,3124,3079,0,3063,3062,40.2566
263,3063,3063,1,3063,3062,40.3437
264,3102,3063,1,3063,3062,40.4907
265,3059,3059,1,3059,3059,40.5789
266,3194,3101,0,3059,3059,40.8472
267,3153,3144,0,3059,3059,40.9653
268,3127,3059,1,3059,3059,41.1288
269,3133,3095,0,3059,3059,41.3126
270,3111,3081,0,3059,3059,41.437
271,3151,3091,0,3059,3059,41.5764
272,3059,3059,1,3059,3059,41.6631
273,3059,3059,1,3059,3059,41.7506
274,3167,3076,0,3059,3059,41.9329
275,3145,3100,0,3059,3059,42.1106
276,3168,3151,0,3059,3059,42.2666
277,3119,3111,0,3059,3059,42.418
278,3126,3077,0,3059,3059,42.6776
279,3109,3109,0,3059,3059,42.7672
280,3113,3109,0,3059,3059,42.9261
281,3117,3074,0,3059,3059,43.0805
282,3090,3059,1,3059,3059,43.1978
283,3130,3122,0,3059,3059,43.3903
284,3112,3107,0,3059,3059,43.5497
285,3083,3059,1,3059,3059,43.7129
286,3140,3114,0,3059,3059,43.9471
287,3175,3147,0,3059,3059,44.1398
288,3080,3059,1,3059,3059,44.2577
289,3107,3059,1,3059,3059,44.3885
290,3141,3141,0,3059,3059,44.4813
291,3124,3122,0,3059,3059,44.5801
292,3154,3082,0,3059,3059,44.8352
293,3080,3070,0,3059,3059,44.9616
294,3163,3137,0,3059,3059,45.1341
295,3150,3110,0,3059,3059,45.2731
296,3144,3082,0,3059,3059,45.448
297,3145,3062,0,3059,3059,45.6471
298,3110,3079,0,3059,3059,45.7957
299,3119,3119,0,3059,3059,45.8843
300,3070,3059,1,3059,3059,46.026
301,3085,3058,1,3058,3058,46.1392
302,3166,3132,0,3058,3058,46.3868
303,3122,3122,0,3058,3058,46.4765
304,3127,3122,0,3058,3058,46.6362
305,3105,3105,0,3058,3058,46.7255
306,3146,3136,0,3058,3058,46.9069
