call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,7413,7318,1,7318,7318,0.52044
2,7378,7305,1,7305,7305,1.03925
3,7317,7280,1,7280,7280,1.55705
4,7303,7258,1,7258,7258,2.06301
5,7308,7256,1,7256,7256,2.5736
6,7282,7260,1,7260,7256,3.08593
7,7262,7257,1,7257,7256,3.60177
8,7306,7253,1,7253,7253,4.11276
9,7288,7258,0,7253,7253,4.62986
10,7272,7259,0,7253,7253,5.14289
11,7289,7246,1,7246,7246,5.65615
12,7246,7245,1,7245,7245,6.16791
13,7282,7244,1,7244,7244,6.68584
14,7263,7240,1,7240,7240,7.18791
15,7273,7250,0,7240,7240,7.70285
16,7292,7262,0,7240,7240,8.20086
17,7296,7252,0,7240,7240,8.7127
18,7328,7257,0,7240,7240,9.21664
19,7250,7240,1,7240,7240,9.72046
20,7271,7241,1,7241,7240,10.2219
21,7241,7222,1,7222,7222,10.7237
22,7281,7261,0,7222,7222,11.2776
23,7222,7220,1,7220,7220,11.8061
24,7257,7238,0,7220,7220,12.3175
25,7225,7210,1,7210,7210,12.8192
26,7214,7199,1,7199,7199,13.3256
27,7232,7204,0,7199,7199,13.8404
28,7210,7201,0,7199,7199,14.3421
29,7245,7188,1,7188,7188,14.8458
30,7261,7235,0,7188,7188,15.3495
31,7212,7202,0,7188,7188,15.8478
32,7247,7220,0,7188,7188,16.3553
33,7245,7191,1,7191,7188,16.8565
34,7207,7194,0,7191,7188,17.3653
35,7264,7242,0,7191,7188,17.8707
36,7213,7202,0,7191,7188,18.3755
37,7243,7208,0,7191,7188,18.8856
38,7207,7201,0,7191,7188,19.3951
39,7249,7210,0,7191,7188,19.8948
40,7226,7206,0,7191,7188,20.3948
41,7193,7187,1,7187,7187,20.8969
42,7268,7228,0,7187,7187,21.4141
43,7187,7187,1,7187,7187,21.914
44,7223,7214,0,7187,7187,22.4281
45,7190,7187,1,7187,7187,22.9294
46,7248,7223,0,7187,7187,23.4399
47,7209,7209,0,7187,7187,23.9365
48,7211,7194,0,7187,7187,24.4452
49,7215,7200,0,7187,7187,24.9554
50,7250,7218,0,7187,7187,25.4703
51,7225,7202,0,7187,7187,25.978
52,7265,7221,0,7187,7187,26.4816
53,7187,7187,1,7187,7187,26.9778
54,7219,7207,0,7187,7187,27.485
55,7255,7199,0,7187,7187,27.9862
56,7246,7184,1,7184,7184,28.4929
57,7196,7185,1,7185,7184,28.9969
58,7219,7205,0,7185,7184,29.5171
59,7209,7188,1,7188,7184,30.0196
60,7225,7197,1,7197,7184,30.5226
61,7268,7243,0,7197,7184,31.0282
62,7197,7197,1,7197,7184,31.5254
63,7210,7207,0,7197,7184,32.0268
64,7216,7204,0,7197,7184,32.522
65,7232,7226,0,7197,7184,33.0162
66,7211,7206,0,7197,7184,33.5156
67,7197,7197,1,7197,7184,34.0069
68,7222,7196,1,7196,7184,34.5164
69,7217,7210,0,7196,7184,35.0154
70,7245,7221,0,7196,7184,35.5222
71,7225,7185,1,7185,7184,36.0206
72,7221,7211,0,7185,7184,36.5124
73,7286,7264,0,7185,7184,37.0161
74,7189,7181,1,7181,7181,37.5172
75,7222,7181,1,7181,7181,38.019
76,7245,7221,0,7181,7181,38.5281
77,7242,7229,0,7181,7181,39.0303
78,7222,7185,0,7181,7181,39.5323
79,7238,7205,0,7181,7181,40.0319
80,7243,7222,0,7181,7181,40.5283
81,7219,7192,0,7181,7181,41.0292
82,7222,7205,0,7181,7181,41.5371
83,7239,7181,1,7181,7181,42.0289
84,7200,7200,0,7181,7181,42.5247
