call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,12808,12651,1,12651,12651,1.24752
2,12669,12593,1,12593,12593,2.50768
3,12629,12504,1,12504,12504,3.77836
4,12512,12483,1,12483,12483,5.04139
5,12527,12493,0,12483,12483,6.27754
6,12511,12476,1,12476,12476,7.51071
7,12514,12496,0,12476,12476,8.77076
8,12498,12458,1,12458,12458,9.99035
9,12503,12447,1,12447,12447,11.2366
10,12470,12421,1,12421,12421,12.4771
11,12504,12489,0,12421,12421,13.7239
12,12431,12424,0,12421,12421,14.9434
13,12465,12451,0,12421,12421,16.1907
14,12421,12421,1,12421,12421,17.4119
15,12427,12421,1,12421,12421,18.6398
16,12421,12421,1,12421,12421,19.8675
17,12455,12432,0,12421,12421,21.1004
18,12433,12433,0,12421,12421,22.3212
19,12434,12383,1,12383,12383,23.5396
20,12435,12402,0,12383,12383,24.7799
21,12436,12423,0,12383,12383,25.9843
22,12404,12404,0,12383,12383,27.1953
23,12394,12394,0,12383,12383,28.4061
24,12392,12392,0,12383,12383,29.6217
25,12399,12381,1,12381,12381,30.8301
26,12427,12390,0,12381,12381,32.0537
27,12401,12400,0,12381,12381,33.2661
28,12424,12413,0,12381,12381,34.4755
29,12411,12381,1,12381,12381,35.6869
30,12395,12382,1,12382,12381,36.8993
31,12382,12382,1,12382,12381,38.0973
32,12403,12403,0,12382,12381,39.301
33,12471,12421,0,12382,12381,40.5314
34,12434,12391,0,12382,12381,41.7602
35,12418,12400,0,12382,12381,42.9648
36,12423,12386,0,12382,12381,44.1852
37,12412,12397,0,12382,12381,45.3983
38,12382,12382,1,12382,12381,46.597
39,12446,12423,0,12382,12381,47.8348
40,12382,12382,1,12382,12381,49.038
41,12383,12382,1,12382,12381,50.251
42,12413,12408,0,12382,12381,51.4701
43,12430,12415,0,12382,12381,52.6817
44,12372,12371,1,12371,12371,53.8909
45,12413,12409,0,12371,12371,55.1164
46,12436,12384,0,12371,12371,56.3231
47,12371,12371,1,12371,12371,57.5383
48,12481,12422,0,12371,12371,58.787
49,12371,12371,1,12371,12371,60.0048
50,12371,12371,1,12371,12371,61.2309
51,12399,12399,0,12371,12371,62.4588
52,12388,12382,0,12371,12371,63.6741
53,12390,12377,0,12371,12371,64.8977
54,12371,12371,1,12371,12371,66.1082
55,12371,12371,1,12371,12371,67.3255
56,12383,12383,0,12371,12371,68.5467
57,12438,12430,0,12371,12371,69.7785
58,12398,12384,0,12371,12371,70.9781
59,12395,12371,1,12371,12371,72.1922
60,12435,12403,0,12371,12371,73.4274
61,12371,12371,1,12371,12371,74.6357
62,12411,12385,0,12371,12371,75.9009
63,12371,12371,1,12371,12371,77.116
64,12399,12399,0,12371,12371,78.3334
65,12386,12383,0,12371,12371,79.5519
66,12426,12383,0,12371,12371,80.783
67,12389,12377,0,12371,12371,81.9901
68,12381,12381,0,12371,12371,83.1961
