call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,3774,3750,1,3750,3750,0.737663
2,3804,3778,0,3750,3750,1.47586
3,3823,3781,0,3750,3750,2.21374
4,3771,3746,1,3746,3746,2.9487
5,3789,3750,0,3746,3746,3.69
6,3798,3791,0,3746,3746,4.42452
7,3768,3752,1,3752,3746,5.16005
8,3784,3773,0,3752,3746,5.89893
9,3797,3785,0,3752,3746,6.63314
10,3764,3757,0,3752,3746,7.36555
11,3781,3775,0,3752,3746,8.10122
12,3778,3760,0,3752,3746,8.83673
13,3805,3792,0,3752,3746,9.57248
14,3785,3764,0,3752,3746,10.3038
15,3813,3795,0,3752,3746,11.0394
16,3778,3766,0,3752,3746,11.775
17,3797,3776,0,3752,3746,12.5062
18,3768,3755,1,3755,3746,13.2442
19,3782,3732,1,3732,3732,14.0273
20,3765,3763,0,3732,3732,14.7691
21,3746,3746,0,3732,3732,15.5023
22,3749,3735,0,3732,3732,16.2394
23,3754,3741,0,3732,3732,16.9745
24,3772,3759,0,3732,3732,17.7108
25,3749,3731,1,3731,3731,18.444
26,3777,3753,0,3731,3731,19.1845
27,3786,3772,0,3731,3731,19.9218
28,3747,3738,0,3731,3731,20.661
29,3737,3732,1,3732,3731,21.3958
30,3817,3790,0,3732,3731,22.1343
31,3755,3746,0,3732,3731,22.8718
32,3765,3752,0,3732,3731,23.6105
33,3753,3728,1,3728,3728,24.3409
34,3784,3780,0,3728,3728,25.0812
35,3748,3747,0,3728,3728,25.8177
36,3772,3758,0,3728,3728,26.549
37,3760,3742,0,3728,3728,27.2837
38,3786,3767,0,3728,3728,28.0189
39,3784,3783,0,3728,3728,28.7542
40,3759,3756,0,3728,3728,29.4853
41,3747,3738,0,3728,3728,30.2225
42,3749,3728,1,3728,3728,30.9577
43,3728,3728,1,3728,3728,31.6987
44,3753,3753,0,3728,3728,32.4337
45,3760,3738,0,3728,3728,33.169
46,3786,3772,0,3728,3728,33.9052
47,3821,3788,0,3728,3728,34.6422
48,3766,3766,0,3728,3728,35.3747
49,3774,3765,0,3728,3728,36.111
50,3728,3728,1,3728,3728,36.8476
51,3875,3800,0,3728,3728,37.5949
52,3768,3766,0,3728,3728,38.3348
53,3778,3757,0,3728,3728,39.0792
54,3810,3779,0,3728,3728,39.8219
55,3744,3742,0,3728,3728,40.5643
56,3768,3745,0,3728,3728,41.3038
57,3762,3753,0,3728,3728,42.0692
58,3775,3752,0,3728,3728,42.8138
59,3765,3749,0,3728,3728,43.5546
60,3801,3780,0,3728,3728,44.2992
61,3782,3772,0,3728,3728,45.0418
62,3769,3762,0,3728,3728,45.7844
63,3728,3728,1,3728,3728,46.5225
64,3731,3721,1,3721,3721,47.2639
65,3760,3718,1,3718,3718,48.0061
66,3718,3714,1,3714,3714,48.7477
67,3735,3718,0,3714,3714,49.4858
68,3827,3769,0,3714,3714,50.2224
69,3740,3740,0,3714,3714,50.9568
70,3726,3714,1,3714,3714,51.6925
71,3722,3722,0,3714,3714,52.4275
72,3759,3732,0,3714,3714,53.1624
73,3761,3755,0,3714,3714,53.8984
74,3793,3739,0,3714,3714,54.6343
75,3766,3724,0,3714,3714,55.3669
76,3731,3713,1,3713,3713,56.102
77,3729,3717,0,3713,3713,56.8419
78,3721,3711,1,3711,3711,57.5791
79,3800,3770,0,3711,3711,58.317
80,3739,3728,0,3711,3711,59.0553
81,3751,3736,0,3711,3711,59.7912
82,3778,3769,0,3711,3711,60.525
83,3760,3749,0,3711,3711,61.2611
84,3778,3778,0,3711,3711,61.996
85,3778,3770,0,3711,3711,62.7328
86,3730,3721,0,3711,3711,63.4649
87,3718,3711,1,3711,3711,64.2011
88,3738,3728,0,3711,3711,64.9412
89,3772,3717,0,3711,3711,65.6769
90,3732,3728,0,3711,3711,66.4089
91,3763,3714,1,3714,3711,67.1441
92,3731,3719,0,3714,3711,67.8834
93,3799,3762,0,3714,3711,68.6199
94,3744,3732,0,3714,3711,69.352
95,3744,3742,0,3714,3711,70.0873
96,3722,3713,1,3713,3711,70.8225
97,3713,3713,1,3713,3711,71.559
98,3735,3732,0,3713,3711,72.2951
99,3768,3748,0,3713,3711,73.0321
100,3777,3770,0,3713,3711,73.7717
101,3766,3743,0,3713,3711,74.5032
102,3794,3751,0,3713,3711,75.2372
103,3751,3729,0,3713,3711,75.9721
104,3758,3733,0,3713,3711,76.7079
105,3732,3713,1,3713,3711,77.4385
106,3763,3750,0,3713,3711,78.1802
107,3774,3750,0,3713,3711,78.9166
108,3713,3713,1,3713,3711,79.6509
