call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,8232,8112,1,8112,8112,20.1101
2,8113,8070,1,8070,8070,40.2093
3,8092,8082,0,8070,8070,60.3285
4,8122,8105,0,8070,8070,80.4362
5,8088,8088,0,8070,8070,100.53
6,8088,8068,1,8068,8068,120.644
7,8079,8046,1,8046,8046,140.749
8,8054,8054,0,8046,8046,160.86
9,8064,8044,1,8044,8044,180.972
10,8052,8044,1,8044,8044,201.097
11,8081,8075,0,8044,8044,221.207
12,8069,8051,0,8044,8044,241.313
13,8077,8077,0,8044,8044,261.403
14,8059,8057,0,8044,8044,281.507
15,8056,8056,0,8044,8044,301.607
16,8067,8067,0,8044,8044,321.704
17,8051,8039,1,8039,8039,341.797
18,8062,8054,0,8039,8039,361.906
19,8068,8068,0,8039,8039,382.013
20,8055,8042,0,8039,8039,402.133
21,8066,8057,0,8039,8039,422.226
22,8039,8035,1,8035,8035,442.323
23,8068,8063,0,8035,8035,462.444
24,8082,8053,0,8035,8035,482.562
25,8054,8045,0,8035,8035,502.684
26,8051,8032,1,8032,8032,522.788
27,8059,8059,0,8032,8032,542.917
28,8099,8077,0,8032,8032,563.029
29,8064,8042,0,8032,8032,583.143
30,8060,8059,0,8032,8032,603.233
31,8065,8050,0,8032,8032,623.33
32,8062,8062,0,8032,8032,643.432
33,8055,8055,0,8032,8032,663.533
34,8097,8081,0,8032,8032,683.643
35,8088,8075,0,8032,8032,703.743
36,8036,8036,0,8032,8032,723.856
37,8075,8069,0,8032,8032,743.948
38,8098,8062,0,8032,8032,764.052
39,8112,8055,0,8032,8032,784.161
40,8082,8058,0,8032,8032,804.273
41,8102,8098,0,8032,8032,824.37
42,8075,8066,0,8032,8032,844.486
43,8064,8048,0,8032,8032,864.583
44,8066,8039,0,8032,8032,884.674
45,8084,8075,0,8032,8032,904.77
46,8076,8076,0,8032,8032,924.876
47,8064,8064,0,8032,8032,944.979
48,8054,8038,1,8038,8032,965.069
49,8044,8022,1,8022,8022,985.187
50,8096,8054,0,8022,8022,1005.31
51,8056,8056,0,8022,8022,1025.41
52,8076,8075,0,8022,8022,1045.52
53,8063,8063,0,8022,8022,1065.64
54,8052,8052,0,8022,8022,1085.73
55,8070,8047,0,8022,8022,1105.83
56,8048,8003,1,8003,8003,1125.95
57,8021,8017,0,8003,8003,1146.05
58,8030,8006,1,8006,8003,1166.15
59,8019,8019,0,8006,8003,1186.27
60,8055,8034,0,8006,8003,1206.37
61,8053,8011,0,8006,8003,1226.46
62,8039,8024,0,8006,8003,1246.56
63,8033,8002,1,8002,8002,1266.67
64,8056,8041,0,8002,8002,1286.8
65,8047,8036,0,8002,8002,1306.91
66,8004,8004,0,8002,8002,1327
67,8061,8060,0,8002,8002,1347.1
68,8014,8014,0,8002,8002,1367.19
69,8031,8022,0,8002,8002,1387.29
70,8012,7997,1,7997,7997,1407.39
71,8018,8014,0,7997,7997,1427.5
72,8034,8034,0,7997,7997,1447.62
73,8088,8054,0,7997,7997,1467.73
74,8033,8029,0,7997,7997,1487.83
75,8020,7968,1,7968,7968,1507.92
76,7986,7986,0,7968,7968,1528.05
77,7999,7982,0,7968,7968,1548.15
78,8017,8017,0,7968,7968,1568.25
79,8031,8015,0,7968,7968,1588.34
80,7968,7968,1,7968,7968,1608.45
81,8033,8012,0,7968,7968,1628.55
82,8013,7996,0,7968,7968,1648.65
83,8009,8004,0,7968,7968,1668.75
84,8036,8034,0,7968,7968,1688.86
85,7991,7991,0,7968,7968,1708.98
86,7977,7977,0,7968,7968,1729.07
87,7974,7954,1,7954,7954,1749.18
88,8035,8031,0,7954,7954,1769.29
89,7990,7990,0,7954,7954,1789.39
90,8039,8001,0,7954,7954,1809.49
91,7997,7993,0,7954,7954,1829.59
92,8033,8028,0,7954,7954,1849.68
93,8011,8011,0,7954,7954,1869.8
94,8074,8037,0,7954,7954,1889.9
95,7986,7986,0,7954,7954,1910.01
96,8021,7988,0,7954,7954,1930.11
97,7986,7980,0,7954,7954,1950.22
98,7971,7971,0,7954,7954,1970.31
99,7994,7994,0,7954,7954,1990.41
100,7980,7973,0,7954,7954,2010.52
