call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,15526,15247,1,15247,15247,98.3639
2,15269,15240,1,15240,15240,185.443
3,15257,15189,1,15189,15189,277.147
4,15216,15162,1,15162,15162,369.331
5,15213,15195,0,15162,15162,454.378
6,15234,15171,0,15162,15162,540.468
7,15199,15181,0,15162,15162,623.307
8,15207,15156,1,15156,15156,712.412
9,15156,15156,1,15156,15156,788.506
10,15175,15156,1,15156,15156,867.859
11,15213,15198,0,15156,15156,949.424
12,15262,15227,0,15156,15156,1031.34
13,15190,15187,0,15156,15156,1111.1
14,15182,15169,0,15156,15156,1194.13
15,15198,15157,1,15157,15156,1279.98
16,15194,15140,1,15140,15140,1366.59
17,15218,15158,0,15140,15140,1451.15
18,15186,15159,0,15140,15140,1537.22
19,15188,15148,0,15140,15140,1627.08
20,15164,15139,1,15139,15139,1712
21,15169,15150,0,15139,15139,1797.01
22,15160,15141,0,15139,15139,1884.87
23,15162,15120,1,15120,15120,1971.67
24,15150,15120,0,15120,15120,2056.85
