call_index,cost_before_ls,cost_after_ls,accepted,current_cost,best_cost,elapsed_ms
1,7413,7206,1,7206,7206,154.165
2,7223,7177,1,7177,7177,184.582
3,7243,7162,1,7162,7162,263.642
4,7265,7176,0,7162,7162,297.501
5,7208,7154,1,7154,7154,334.799
6,7248,7172,0,7154,7154,392.084
7,7202,7130,1,7130,7130,442.11
8,7130,7130,1,7130,7130,446.676
9,7169,7130,1,7130,7130,488.961
10,7178,7161,0,7130,7130,497.521
11,7175,7130,1,7130,7130,518.587
12,7179,7145,0,7130,7130,544.519
13,7130,7130,1,7130,7130,549.064
14,7130,7130,1,7130,7130,553.637
15,7180,7147,0,7130,7130,587.118
16,7130,7130,1,7130,7130,591.632
17,7191,7146,0,7130,7130,629.109
18,7153,7130,1,7130,7130,653.867
19,7204,7167,0,7130,7130,699.445
20,7193,7134,0,7130,7130,745.558
21,7176,7132,1,7132,7130,774.149
22,7211,7118,1,7118,7118,815.51
23,7186,7163,0,7118,7118,828.193
24,7140,7118,1,7118,7118,836.761
25,7118,7118,1,7118,7118,841.333
26,7118,7118,1,7118,7118,845.881
27,7149,7142,0,7118,7118,863.202
28,7159,7132,0,7118,7118,886.013
29,7151,7105,1,7105,7105,927.75
30,7148,7100,1,7100,7100,966.085
31,7197,7117,0,7100,7100,991.399
32,7123,7109,0,7100,7100,1008
33,7142,7114,0,7100,7100,1033.27
34,7184,7132,0,7100,7100,1057.82
35,7149,7091,1,7091,7091,1099.67
36,7141,7106,0,7091,7091,1121.09
37,7145,7114,0,7091,7091,1146.38
38,7148,7097,0,7091,7091,1171.95
39,7098,7091,1,7091,7091,1180.65
40,7127,7091,1,7091,7091,1197.93
41,7135,7114,0,7091,7091,1215.33
42,7130,7107,0,7091,7091,1229.17
43,7091,7091,1,7091,7091,1233.71
44,7091,7091,1,7091,7091,1238.24
45,7210,7118,0,7091,7091,1272.67
46,7129,7104,0,7091,7091,1289.19
47,7128,7102,0,7091,7091,1306.38
48,7124,7114,0,7091,7091,1314.91
49,7091,7091,1,7091,7091,1319.46
50,7124,7097,0,7091,7091,1337.35
51,7186,7111,0,7091,7091,1375.34
52,7133,7121,0,7091,7091,1384.57
53,7180,7129,0,7091,7091,1417.93
54,7105,7091,1,7091,7091,1426.42
55,7208,7091,1,7091,7091,1451.43
56,7146,7121,0,7091,7091,1480.89
57,7125,7100,0,7091,7091,1497.66
58,7091,7091,1,7091,7091,1502.19
59,7170,7112,0,7091,7091,1515.8
60,7091,7091,1,7091,7091,1520.32
61,7149,7093,0,7091,7091,1541.31
62,7190,7115,0,7091,7091,1612.11
63,7101,7101,0,7091,7091,1616.64
64,7091,7091,1,7091,7091,1621.41
65,7136,7084,1,7084,7084,1672.61
66,7183,7089,0,7084,7084,1718.31
67,7084,7084,1,7084,7084,1722.81
68,7084,7084,1,7084,7084,1727.35
69,7131,7113,0,7084,7084,1744.55
70,7120,7084,1,7084,7084,1770.18
71,7152,7091,1,7091,7084,1803.53
72,7118,7104,0,7091,7084,1825.14
73,7152,7085,1,7085,7084,1842.66
74,7169,7104,0,7085,7084,1880.08
75,7157,7085,1,7085,7084,1909.46
76,7111,7090,0,7085,7084,1922.02
77,7115,7094,0,7085,7084,1938.51
78,7130,7094,0,7085,7084,1955.59
79,7181,7105,0,7085,7084,1992.61
80,7085,7085,1,7085,7084,1997.16
81,7157,7094,0,7085,7084,2033.84
