instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1449,379,20.733,0.313671,2000,passes=14
J20M5N1,2,1828,1449,379,20.733,0.302853,2000,passes=14
J20M5N1,3,1828,1449,379,20.733,0.378338,2000,passes=14
J20M5N1,4,1828,1449,379,20.733,0.493235,2000,passes=14
J20M5N1,5,1828,1449,379,20.733,0.514135,2000,passes=14
J20M10N1,1,2140,1774,366,17.1028,0.540404,2000,passes=14
J20M10N1,2,2140,1774,366,17.1028,0.496832,2000,passes=14
J20M10N1,3,2140,1774,366,17.1028,0.53605,2000,passes=14
J20M10N1,4,2140,1774,366,17.1028,0.496823,2000,passes=14
J20M10N1,5,2140,1774,366,17.1028,0.525659,2000,passes=14
J20M20N1,1,2974,2543,431,14.4923,2.3152,2000,passes=17
J20M20N1,2,2974,2543,431,14.4923,2.28905,2000,passes=17
J20M20N1,3,2974,2543,431,14.4923,2.27227,2000,passes=17
J20M20N1,4,2974,2543,431,14.4923,2.29729,2000,passes=17
J20M20N1,5,2974,2543,431,14.4923,2.13545,2000,passes=17
J50M5N1,1,3975,3202,773,19.4465,13.3616,2000,passes=34
J50M5N1,2,3975,3202,773,19.4465,9.83236,2000,passes=34
J50M5N1,3,3975,3202,773,19.4465,9.86703,2000,passes=34
J50M5N1,4,3975,3202,773,19.4465,9.86418,2000,passes=34
J50M5N1,5,3975,3202,773,19.4465,9.89389,2000,passes=34
J50M10N1,1,4711,3878,833,17.682,23.8619,2000,passes=44
J50M10N1,2,4711,3878,833,17.682,23.893,2000,passes=44
J50M10N1,3,4711,3878,833,17.682,23.8481,2000,passes=44
J50M10N1,4,4711,3878,833,17.682,23.903,2000,passes=44
J50M10N1,5,4711,3878,833,17.682,23.8104,2000,passes=44
J50M20N1,1,5504,4863,641,11.6461,17.0315,2000,passes=16
J50M20N1,2,5504,4863,641,11.6461,16.9061,2000,passes=16
J50M20N1,3,5504,4863,641,11.6461,16.8966,2000,passes=16
J50M20N1,4,5504,4863,641,11.6461,18.3351,2000,passes=16
J50M20N1,5,5504,4863,641,11.6461,17.3716,2000,passes=16
J100M5N1,1,8059,6450,1609,19.9653,168.137,2000,passes=75
J100M5N1,2,8059,6450,1609,19.9653,167.872,2000,passes=75
J100M5N1,3,8059,6450,1609,19.9653,167.155,2000,passes=75
J100M5N1,4,8059,6450,1609,19.9653,168.112,2000,passes=75
J100M5N1,5,8059,6450,1609,19.9653,167.015,2000,passes=75
J100M10N1,1,8854,7523,1331,15.0328,316.995,2000,passes=69
J100M10N1,2,8854,7523,1331,15.0328,288.752,2000,passes=69
J100M10N1,3,8854,7523,1331,15.0328,319.48,2000,passes=69
J100M10N1,4,8854,7523,1331,15.0328,288.952,2000,passes=69
J100M10N1,5,8854,7523,1331,15.0328,288.785,2000,passes=69
J100M20N1,1,9596,8269,1327,13.8287,632.499,2000,passes=67
J100M20N1,2,9596,8269,1327,13.8287,631.705,2000,passes=67
J100M20N1,3,9596,8269,1327,13.8287,630.317,2000,passes=67
J100M20N1,4,9596,8269,1327,13.8287,630.726,2000,passes=67
J100M20N1,5,9596,8269,1327,13.8287,630.505,2000,passes=67
J200M5N1,1,15790,12744,3046,19.2907,2006.6,2000,passes=104
J200M5N1,2,15790,12753,3037,19.2337,2013.82,2000,passes=103
J200M5N1,3,15790,12753,3037,19.2337,2004.32,2000,passes=103
J200M5N1,4,15790,12744,3046,19.2907,2013.76,2000,passes=104
J200M5N1,5,15790,12753,3037,19.2337,2013.73,2000,passes=103
J200M10N1,1,16855,14939,1916,11.3675,2012.04,2000,passes=50
J200M10N1,2,16855,14939,1916,11.3675,2010.44,2000,passes=50
J200M10N1,3,16855,14939,1916,11.3675,2013.37,2000,passes=50
J200M10N1,4,16855,14939,1916,11.3675,2023.89,2000,passes=50
J200M10N1,5,16855,14939,1916,11.3675,2009.51,2000,passes=50
J200M20N1,1,17521,16363,1158,6.60921,2021.07,2000,passes=28
J200M20N1,2,17521,16363,1158,6.60921,2018.37,2000,passes=28
J200M20N1,3,17521,16363,1158,6.60921,2021.89,2000,passes=28
J200M20N1,4,17521,16363,1158,6.60921,2025.18,2000,passes=28
J200M20N1,5,17521,16363,1158,6.60921,2018.38,2000,passes=28
J500M5N1,1,38991,38228,763,1.95686,2007.82,2000,passes=6
J500M5N1,2,38991,38228,763,1.95686,2002.26,2000,passes=6
J500M5N1,3,38991,38228,763,1.95686,2011.91,2000,passes=6
J500M5N1,4,38991,38228,763,1.95686,2002.88,2000,passes=6
J500M5N1,5,38991,38122,869,2.22872,2331.15,2000,passes=7
J500M10N1,1,41294,40806,488,1.18177,2467.35,2000,passes=4
J500M10N1,2,41294,40806,488,1.18177,2466.24,2000,passes=4
J500M10N1,3,41294,40806,488,1.18177,2460.4,2000,passes=4
J500M10N1,4,41294,40806,488,1.18177,2464.33,2000,passes=4
J500M10N1,5,41294,40806,488,1.18177,2469.62,2000,passes=4
J500M20N1,1,43146,42803,343,0.794975,2677.95,2000,passes=2
J500M20N1,2,43146,42803,343,0.794975,2678.09,2000,passes=2
J500M20N1,3,43146,42803,343,0.794975,2685.46,2000,passes=2
J500M20N1,4,43146,42803,343,0.794975,2678.73,2000,passes=2
J500M20N1,5,43146,42803,343,0.794975,2676.31,2000,passes=2
