instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1828,0,0,0.020664,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M5N1,2,1828,1828,0,0,0.020164,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M5N1,3,1828,1828,0,0,0.019782,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M5N1,4,1828,1828,0,0,0.019767,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M5N1,5,1828,1828,0,0,0.01957,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M10N1,1,2140,2140,0,0,0.035724,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M10N1,2,2140,2140,0,0,0.035529,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M10N1,3,2140,2140,0,0,0.035219,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M10N1,4,2140,2140,0,0,0.035287,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M10N1,5,2140,2140,0,0,0.035288,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M20N1,1,2974,2974,0,0,0.130798,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M20N1,2,2974,2974,0,0,0.130696,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M20N1,3,2974,2974,0,0,0.130335,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M20N1,4,2974,2974,0,0,0.140626,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J20M20N1,5,2974,2974,0,0,0.149112,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M5N1,1,3975,3975,0,0,0.49431,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M5N1,2,3975,3975,0,0,0.525218,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M5N1,3,3975,3975,0,0,0.495984,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M5N1,4,3975,3975,0,0,0.5237,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M5N1,5,3975,3975,0,0,0.496701,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M10N1,1,4711,4711,0,0,0.537535,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M10N1,2,4711,4711,0,0,0.540848,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M10N1,3,4711,4711,0,0,0.537367,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M10N1,4,4711,4711,0,0,0.541306,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M10N1,5,4711,4711,0,0,0.537222,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M20N1,1,5504,5504,0,0,1.05741,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M20N1,2,5504,5504,0,0,1.05352,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M20N1,3,5504,5504,0,0,1.0569,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M20N1,4,5504,5504,0,0,1.05614,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J50M20N1,5,5504,5504,0,0,1.05515,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M5N1,1,8059,8059,0,0,2.2207,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M5N1,2,8059,8059,0,0,2.22159,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M5N1,3,8059,8059,0,0,2.22291,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M5N1,4,8059,8059,0,0,2.23485,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M5N1,5,8059,8059,0,0,2.2358,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M10N1,1,8854,8854,0,0,4.18315,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M10N1,2,8854,8854,0,0,4.18274,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M10N1,3,8854,8854,0,0,4.16962,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M10N1,4,8854,8854,0,0,4.18191,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M10N1,5,8854,8854,0,0,4.16984,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M20N1,1,9596,9596,0,0,9.42088,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M20N1,2,9596,9596,0,0,9.41696,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M20N1,3,9596,9596,0,0,9.40093,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M20N1,4,9596,9596,0,0,9.41929,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J100M20N1,5,9596,9596,0,0,9.41004,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M5N1,1,15790,15790,0,0,19.7624,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M5N1,2,15790,15790,0,0,19.6791,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M5N1,3,15790,15790,0,0,19.7509,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M5N1,4,15790,15790,0,0,19.179,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M5N1,5,15790,15790,0,0,19.1816,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M10N1,1,16855,16855,0,0,39.7812,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M10N1,2,16855,16855,0,0,39.902,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M10N1,3,16855,16855,0,0,39.9118,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M10N1,4,16855,16855,0,0,39.815,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M10N1,5,16855,16855,0,0,40.3387,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M20N1,1,17521,17521,0,0,72.5429,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M20N1,2,17521,17521,0,0,72.6397,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M20N1,3,17521,17521,0,0,72.3893,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M20N1,4,17521,17521,0,0,72.3434,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J200M20N1,5,17521,17521,0,0,72.2657,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M5N1,1,38991,38991,0,0,333.157,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M5N1,2,38991,38991,0,0,333.082,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M5N1,3,38991,38991,0,0,332.935,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M5N1,4,38991,38991,0,0,333.551,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M5N1,5,38991,38991,0,0,334.731,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M10N1,1,41294,41294,0,0,614.072,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M10N1,2,41294,41294,0,0,614.225,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M10N1,3,41294,41294,0,0,618.932,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M10N1,4,41294,41294,0,0,616.295,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M10N1,5,41294,41294,0,0,614.193,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M20N1,1,43146,43146,0,0,1338.92,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M20N1,2,43146,43146,0,0,1333.11,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M20N1,3,43146,43146,0,0,1332.38,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M20N1,4,43146,43146,0,0,1332.51,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
J500M20N1,5,43146,43146,0,0,1330.17,2000,comparison bug reproduced faithfully: always a no-op, see README; passes=1
