instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1441,387,21.1707,0.145661,2000,passes=12
J20M5N1,2,1828,1441,387,21.1707,0.14271,2000,passes=12
J20M5N1,3,1828,1441,387,21.1707,0.141863,2000,passes=12
J20M5N1,4,1828,1441,387,21.1707,0.141427,2000,passes=12
J20M5N1,5,1828,1441,387,21.1707,0.17059,2000,passes=12
J20M10N1,1,2140,1861,279,13.0374,0.226875,2000,passes=11
J20M10N1,2,2140,1861,279,13.0374,0.224432,2000,passes=11
J20M10N1,3,2140,1861,279,13.0374,0.224056,2000,passes=11
J20M10N1,4,2140,1861,279,13.0374,0.231916,2000,passes=11
J20M10N1,5,2140,1861,279,13.0374,0.223476,2000,passes=11
J20M20N1,1,2974,2541,433,14.5595,0.328091,2000,passes=8
J20M20N1,2,2974,2541,433,14.5595,0.330619,2000,passes=8
J20M20N1,3,2974,2541,433,14.5595,0.340649,2000,passes=8
J20M20N1,4,2974,2541,433,14.5595,0.325372,2000,passes=8
J20M20N1,5,2974,2541,433,14.5595,0.329985,2000,passes=8
J50M5N1,1,3975,3276,699,17.5849,2.10975,2000,passes=26
J50M5N1,2,3975,3276,699,17.5849,2.10108,2000,passes=26
J50M5N1,3,3975,3276,699,17.5849,2.10197,2000,passes=26
J50M5N1,4,3975,3276,699,17.5849,2.09648,2000,passes=26
J50M5N1,5,3975,3276,699,17.5849,2.10267,2000,passes=26
J50M10N1,1,4711,4010,701,14.8801,3.00778,2000,passes=21
J50M10N1,2,4711,4010,701,14.8801,3.00476,2000,passes=21
J50M10N1,3,4711,4010,701,14.8801,3.02087,2000,passes=21
J50M10N1,4,4711,4010,701,14.8801,3.02573,2000,passes=21
J50M10N1,5,4711,4010,701,14.8801,3.0033,2000,passes=21
J50M20N1,1,5504,5011,493,8.95712,4.16197,2000,passes=15
J50M20N1,2,5504,5011,493,8.95712,4.16613,2000,passes=15
J50M20N1,3,5504,5011,493,8.95712,4.17276,2000,passes=15
J50M20N1,4,5504,5011,493,8.95712,4.15772,2000,passes=15
J50M20N1,5,5504,5011,493,8.95712,4.15745,2000,passes=15
J100M5N1,1,8059,6785,1274,15.8084,14.1005,2000,passes=43
J100M5N1,2,8059,6785,1274,15.8084,14.098,2000,passes=43
J100M5N1,3,8059,6785,1274,15.8084,14.105,2000,passes=43
J100M5N1,4,8059,6785,1274,15.8084,14.0982,2000,passes=43
J100M5N1,5,8059,6785,1274,15.8084,14.1239,2000,passes=43
J100M10N1,1,8854,7522,1332,15.044,29.8677,2000,passes=50
J100M10N1,2,8854,7522,1332,15.044,29.8453,2000,passes=50
J100M10N1,3,8854,7522,1332,15.044,29.8437,2000,passes=50
J100M10N1,4,8854,7522,1332,15.044,29.8864,2000,passes=50
J100M10N1,5,8854,7522,1332,15.044,29.8303,2000,passes=50
J100M20N1,1,9596,8480,1116,11.6298,43.5317,2000,passes=33
J100M20N1,2,9596,8480,1116,11.6298,43.6317,2000,passes=33
J100M20N1,3,9596,8480,1116,11.6298,43.4998,2000,passes=33
J100M20N1,4,9596,8480,1116,11.6298,43.5975,2000,passes=33
J100M20N1,5,9596,8480,1116,11.6298,43.5066,2000,passes=33
J200M5N1,1,15790,13032,2758,17.4668,148.875,2000,passes=97
J200M5N1,2,15790,13032,2758,17.4668,148.822,2000,passes=97
J200M5N1,3,15790,13032,2758,17.4668,148.953,2000,passes=97
J200M5N1,4,15790,13032,2758,17.4668,148.787,2000,passes=97
J200M5N1,5,15790,13032,2758,17.4668,148.91,2000,passes=97
J200M10N1,1,16855,14427,2428,14.4052,238.834,2000,passes=97
J200M10N1,2,16855,14427,2428,14.4052,239.422,2000,passes=97
J200M10N1,3,16855,14427,2428,14.4052,238.871,2000,passes=97
J200M10N1,4,16855,14427,2428,14.4052,238.766,2000,passes=97
J200M10N1,5,16855,14427,2428,14.4052,238.767,2000,passes=97
J200M20N1,1,17521,15815,1706,9.73689,325.038,2000,passes=68
J200M20N1,2,17521,15815,1706,9.73689,325.565,2000,passes=68
J200M20N1,3,17521,15815,1706,9.73689,325.472,2000,passes=68
J200M20N1,4,17521,15815,1706,9.73689,326.835,2000,passes=68
J200M20N1,5,17521,15815,1706,9.73689,324.796,2000,passes=68
J500M5N1,1,38991,31799,7192,18.4453,2001.28,2000,passes=227
J500M5N1,2,38991,31789,7202,18.4709,2008.08,2000,passes=228
J500M5N1,3,38991,31789,7202,18.4709,2005.95,2000,passes=228
J500M5N1,4,38991,31789,7202,18.4709,2008.01,2000,passes=228
J500M5N1,5,38991,31799,7192,18.4453,2004.03,2000,passes=227
J500M10N1,1,41294,36539,4755,11.515,2001.85,2000,passes=121
J500M10N1,2,41294,36539,4755,11.515,2002.44,2000,passes=121
J500M10N1,3,41294,36539,4755,11.515,2000.66,2000,passes=121
J500M10N1,4,41294,36539,4755,11.515,2000.97,2000,passes=121
J500M10N1,5,41294,36539,4755,11.515,2008.5,2000,passes=121
J500M20N1,1,43146,39897,3249,7.53025,2011.12,2000,passes=65
J500M20N1,2,43146,39897,3249,7.53025,2007.75,2000,passes=65
J500M20N1,3,43146,39897,3249,7.53025,2008.99,2000,passes=65
J500M20N1,4,43146,39897,3249,7.53025,2007.18,2000,passes=65
J500M20N1,5,43146,39897,3249,7.53025,2009.42,2000,passes=65
