instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1566,262,14.3326,0.102405,2000,passes=7
J20M5N1,2,1828,1566,262,14.3326,0.086355,2000,passes=7
J20M5N1,3,1828,1566,262,14.3326,0.072816,2000,passes=7
J20M5N1,4,1828,1566,262,14.3326,0.071061,2000,passes=7
J20M5N1,5,1828,1566,262,14.3326,0.070011,2000,passes=7
J20M10N1,1,2140,2003,137,6.40187,0.059849,2000,passes=3
J20M10N1,2,2140,2003,137,6.40187,0.089154,2000,passes=3
J20M10N1,3,2140,2003,137,6.40187,0.051374,2000,passes=3
J20M10N1,4,2140,2003,137,6.40187,0.049658,2000,passes=3
J20M10N1,5,2140,2003,137,6.40187,0.049117,2000,passes=3
J20M20N1,1,2974,2899,75,2.52186,0.070764,2000,passes=2
J20M20N1,2,2974,2899,75,2.52186,0.065224,2000,passes=2
J20M20N1,3,2974,2899,75,2.52186,0.063044,2000,passes=2
J20M20N1,4,2974,2899,75,2.52186,0.061877,2000,passes=2
J20M20N1,5,2974,2899,75,2.52186,0.061414,2000,passes=2
J50M5N1,1,3975,3895,80,2.01258,0.213562,2000,passes=3
J50M5N1,2,3975,3895,80,2.01258,0.198159,2000,passes=3
J50M5N1,3,3975,3895,80,2.01258,0.195402,2000,passes=3
J50M5N1,4,3975,3895,80,2.01258,0.193082,2000,passes=3
J50M5N1,5,3975,3895,80,2.01258,0.19098,2000,passes=3
J50M10N1,1,4711,4338,373,7.91764,0.677678,2000,passes=6
J50M10N1,2,4711,4338,373,7.91764,0.674195,2000,passes=6
J50M10N1,3,4711,4338,373,7.91764,0.671736,2000,passes=6
J50M10N1,4,4711,4338,373,7.91764,0.669029,2000,passes=6
J50M10N1,5,4711,4338,373,7.91764,0.672116,2000,passes=6
J50M20N1,1,5504,5179,325,5.9048,0.86385,2000,passes=4
J50M20N1,2,5504,5179,325,5.9048,0.855486,2000,passes=4
J50M20N1,3,5504,5179,325,5.9048,0.853998,2000,passes=4
J50M20N1,4,5504,5179,325,5.9048,0.850476,2000,passes=4
J50M20N1,5,5504,5179,325,5.9048,0.854231,2000,passes=4
J100M5N1,1,8059,7744,315,3.90867,1.3855,2000,passes=5
J100M5N1,2,8059,7744,315,3.90867,1.37609,2000,passes=5
J100M5N1,3,8059,7744,315,3.90867,1.38171,2000,passes=5
J100M5N1,4,8059,7744,315,3.90867,1.3738,2000,passes=5
J100M5N1,5,8059,7744,315,3.90867,1.37699,2000,passes=5
J100M10N1,1,8854,8074,780,8.80958,7.62797,2000,passes=16
J100M10N1,2,8854,8074,780,8.80958,7.62496,2000,passes=16
J100M10N1,3,8854,8074,780,8.80958,7.64321,2000,passes=16
J100M10N1,4,8854,8074,780,8.80958,7.61978,2000,passes=16
J100M10N1,5,8854,8074,780,8.80958,7.66145,2000,passes=16
J100M20N1,1,9596,8781,815,8.49312,12.8535,2000,passes=14
J100M20N1,2,9596,8781,815,8.49312,12.6662,2000,passes=14
J100M20N1,3,9596,8781,815,8.49312,12.6654,2000,passes=14
J100M20N1,4,9596,8781,815,8.49312,12.688,2000,passes=14
J100M20N1,5,9596,8781,815,8.49312,12.6992,2000,passes=14
J200M5N1,1,15790,14604,1186,7.51108,28.042,2000,passes=22
J200M5N1,2,15790,14604,1186,7.51108,28.0274,2000,passes=22
J200M5N1,3,15790,14604,1186,7.51108,28.0087,2000,passes=22
J200M5N1,4,15790,14604,1186,7.51108,27.993,2000,passes=22
J200M5N1,5,15790,14604,1186,7.51108,28.0377,2000,passes=22
J200M10N1,1,16855,15929,926,5.49392,26.6907,2000,passes=14
J200M10N1,2,16855,15929,926,5.49392,26.6888,2000,passes=14
J200M10N1,3,16855,15929,926,5.49392,26.7081,2000,passes=14
J200M10N1,4,16855,15929,926,5.49392,26.6991,2000,passes=14
J200M10N1,5,16855,15929,926,5.49392,26.7096,2000,passes=14
J200M20N1,1,17521,16944,577,3.29319,32.5915,2000,passes=9
J200M20N1,2,17521,16944,577,3.29319,32.5871,2000,passes=9
J200M20N1,3,17521,16944,577,3.29319,32.5344,2000,passes=9
J200M20N1,4,17521,16944,577,3.29319,32.51,2000,passes=9
J200M20N1,5,17521,16944,577,3.29319,32.674,2000,passes=9
J500M5N1,1,38991,36991,2000,5.12939,244.586,2000,passes=33
J500M5N1,2,38991,36991,2000,5.12939,244.265,2000,passes=33
J500M5N1,3,38991,36991,2000,5.12939,245.126,2000,passes=33
J500M5N1,4,38991,36991,2000,5.12939,244.545,2000,passes=33
J500M5N1,5,38991,36991,2000,5.12939,246.551,2000,passes=33
J500M10N1,1,41294,40492,802,1.94217,129.73,2000,passes=10
J500M10N1,2,41294,40492,802,1.94217,130.754,2000,passes=10
J500M10N1,3,41294,40492,802,1.94217,129.79,2000,passes=10
J500M10N1,4,41294,40492,802,1.94217,129.291,2000,passes=10
J500M10N1,5,41294,40492,802,1.94217,129.689,2000,passes=10
J500M20N1,1,43146,41700,1446,3.35141,460.933,2000,passes=20
J500M20N1,2,43146,41700,1446,3.35141,461.571,2000,passes=20
J500M20N1,3,43146,41700,1446,3.35141,463.244,2000,passes=20
J500M20N1,4,43146,41700,1446,3.35141,461.278,2000,passes=20
J500M20N1,5,43146,41700,1446,3.35141,460.5,2000,passes=20
