instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1449,379,20.733,0.266695,2000,passes=14
J20M5N1,2,1828,1449,379,20.733,0.26496,2000,passes=14
J20M5N1,3,1828,1449,379,20.733,0.26414,2000,passes=14
J20M5N1,4,1828,1449,379,20.733,0.294218,2000,passes=14
J20M5N1,5,1828,1449,379,20.733,0.264375,2000,passes=14
J20M10N1,1,2140,1877,263,12.2897,0.365959,2000,passes=11
J20M10N1,2,2140,1877,263,12.2897,0.394599,2000,passes=11
J20M10N1,3,2140,1877,263,12.2897,0.37539,2000,passes=11
J20M10N1,4,2140,1877,263,12.2897,0.3652,2000,passes=11
J20M10N1,5,2140,1877,263,12.2897,0.442445,2000,passes=11
J20M20N1,1,2974,2550,424,14.2569,1.25877,2000,passes=18
J20M20N1,2,2974,2550,424,14.2569,1.25729,2000,passes=18
J20M20N1,3,2974,2550,424,14.2569,1.25631,2000,passes=18
J20M20N1,4,2974,2550,424,14.2569,1.26057,2000,passes=18
J20M20N1,5,2974,2550,424,14.2569,1.257,2000,passes=18
J50M5N1,1,3975,3201,774,19.4717,8.71376,2000,passes=30
J50M5N1,2,3975,3201,774,19.4717,8.72402,2000,passes=30
J50M5N1,3,3975,3201,774,19.4717,8.71745,2000,passes=30
J50M5N1,4,3975,3201,774,19.4717,8.71813,2000,passes=30
J50M5N1,5,3975,3201,774,19.4717,8.74188,2000,passes=30
J50M10N1,1,4711,3858,853,18.1066,17.8311,2000,passes=34
J50M10N1,2,4711,3858,853,18.1066,17.8859,2000,passes=34
J50M10N1,3,4711,3858,853,18.1066,17.8304,2000,passes=34
J50M10N1,4,4711,3858,853,18.1066,17.8547,2000,passes=34
J50M10N1,5,4711,3858,853,18.1066,17.8369,2000,passes=34
J50M20N1,1,5504,4863,641,11.6461,16.4429,2000,passes=16
J50M20N1,2,5504,4863,641,11.6461,16.4469,2000,passes=16
J50M20N1,3,5504,4863,641,11.6461,16.4385,2000,passes=16
J50M20N1,4,5504,4863,641,11.6461,16.4819,2000,passes=16
J50M20N1,5,5504,4863,641,11.6461,16.4391,2000,passes=16
J100M5N1,1,8059,6400,1659,20.5857,196.223,2000,passes=88
J100M5N1,2,8059,6400,1659,20.5857,196.597,2000,passes=88
J100M5N1,3,8059,6400,1659,20.5857,196.855,2000,passes=88
J100M5N1,4,8059,6400,1659,20.5857,196.242,2000,passes=88
J100M5N1,5,8059,6400,1659,20.5857,197.555,2000,passes=88
J100M10N1,1,8854,7452,1402,15.8347,259.51,2000,passes=63
J100M10N1,2,8854,7452,1402,15.8347,259.341,2000,passes=63
J100M10N1,3,8854,7452,1402,15.8347,259.646,2000,passes=63
J100M10N1,4,8854,7452,1402,15.8347,259.214,2000,passes=63
J100M10N1,5,8854,7452,1402,15.8347,259.595,2000,passes=63
J100M20N1,1,9596,8337,1259,13.1201,603.064,2000,passes=64
J100M20N1,2,9596,8337,1259,13.1201,599.333,2000,passes=64
J100M20N1,3,9596,8337,1259,13.1201,599.172,2000,passes=64
J100M20N1,4,9596,8337,1259,13.1201,597.199,2000,passes=64
J100M20N1,5,9596,8337,1259,13.1201,596.521,2000,passes=64
J200M5N1,1,15790,12751,3039,19.2464,2019.17,2000,passes=104
J200M5N1,2,15790,12751,3039,19.2464,2018.11,2000,passes=104
J200M5N1,3,15790,12763,3027,19.1704,2002.02,2000,passes=103
J200M5N1,4,15790,12763,3027,19.1704,2000.75,2000,passes=103
J200M5N1,5,15790,12763,3027,19.1704,2002.25,2000,passes=103
J200M10N1,1,16855,14807,2048,12.1507,2033.51,2000,passes=58
J200M10N1,2,16855,14807,2048,12.1507,2033.98,2000,passes=58
J200M10N1,3,16855,14807,2048,12.1507,2030.77,2000,passes=58
J200M10N1,4,16855,14820,2035,12.0736,2000.08,2000,passes=57
J200M10N1,5,16855,14820,2035,12.0736,2001.01,2000,passes=57
J200M20N1,1,17521,16266,1255,7.16283,2067.81,2000,passes=29
J200M20N1,2,17521,16282,1239,7.07151,2012.61,2000,passes=28
J200M20N1,3,17521,16282,1239,7.07151,2000.97,2000,passes=28
J200M20N1,4,17521,16266,1255,7.16283,2070.31,2000,passes=29
J200M20N1,5,17521,16282,1239,7.07151,2001.83,2000,passes=28
J500M5N1,1,38991,38224,767,1.96712,2010.23,2000,passes=6
J500M5N1,2,38991,38224,767,1.96712,2004.22,2000,passes=6
J500M5N1,3,38991,38224,767,1.96712,2004.33,2000,passes=6
J500M5N1,4,38991,38224,767,1.96712,2001.97,2000,passes=6
J500M5N1,5,38991,38224,767,1.96712,2005.81,2000,passes=6
J500M10N1,1,41294,40806,488,1.18177,2444.39,2000,passes=4
J500M10N1,2,41294,40806,488,1.18177,2447.85,2000,passes=4
J500M10N1,3,41294,40806,488,1.18177,2450.62,2000,passes=4
J500M10N1,4,41294,40806,488,1.18177,2450.33,2000,passes=4
J500M10N1,5,41294,40806,488,1.18177,2445.78,2000,passes=4
J500M20N1,1,43146,42803,343,0.794975,2459.15,2000,passes=2
J500M20N1,2,43146,42803,343,0.794975,2457.34,2000,passes=2
J500M20N1,3,43146,42803,343,0.794975,2461.09,2000,passes=2
J500M20N1,4,43146,42803,343,0.794975,2460.81,2000,passes=2
J500M20N1,5,43146,42803,343,0.794975,2464.22,2000,passes=2
