instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1403,425,23.2495,2.74569,2000,final_T=10.123424 current_cost=1408
J20M5N1,2,1828,1403,425,23.2495,2.77608,2000,final_T=10.123424 current_cost=1408
J20M5N1,3,1828,1403,425,23.2495,2.74861,2000,final_T=10.123424 current_cost=1408
J20M5N1,4,1828,1403,425,23.2495,2.76411,2000,final_T=10.123424 current_cost=1408
J20M5N1,5,1828,1403,425,23.2495,2.84429,2000,final_T=10.123424 current_cost=1408
J20M10N1,1,2140,1720,420,19.6262,3.01851,2000,final_T=10.201481 current_cost=1730
J20M10N1,2,2140,1720,420,19.6262,3.00379,2000,final_T=10.201481 current_cost=1730
J20M10N1,3,2140,1720,420,19.6262,2.97638,2000,final_T=10.201481 current_cost=1730
J20M10N1,4,2140,1720,420,19.6262,3.00075,2000,final_T=10.201481 current_cost=1730
J20M10N1,5,2140,1720,420,19.6262,2.98448,2000,final_T=10.201481 current_cost=1730
J20M20N1,1,2974,2458,516,17.3504,5.14462,2000,final_T=10.022692 current_cost=2513
J20M20N1,2,2974,2458,516,17.3504,5.1637,2000,final_T=10.022692 current_cost=2513
J20M20N1,3,2974,2458,516,17.3504,5.11984,2000,final_T=10.022692 current_cost=2513
J20M20N1,4,2974,2458,516,17.3504,5.13298,2000,final_T=10.022692 current_cost=2513
J20M20N1,5,2974,2458,516,17.3504,5.15263,2000,final_T=10.022692 current_cost=2513
J50M5N1,1,3975,3131,844,21.2327,51.4064,2000,final_T=8.485583 current_cost=3193
J50M5N1,2,3975,3131,844,21.2327,51.5585,2000,final_T=8.485583 current_cost=3193
J50M5N1,3,3975,3131,844,21.2327,51.5091,2000,final_T=8.485583 current_cost=3193
J50M5N1,4,3975,3131,844,21.2327,51.6328,2000,final_T=8.485583 current_cost=3193
J50M5N1,5,3975,3131,844,21.2327,51.6436,2000,final_T=8.485583 current_cost=3193
J50M10N1,1,4711,3720,991,21.0359,152.187,2000,final_T=8.082955 current_cost=3794
J50M10N1,2,4711,3720,991,21.0359,152.634,2000,final_T=8.082955 current_cost=3794
