instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1377,451,24.6718,6.03214,2000,final_T=9.927992 current_cost=1417
J20M5N1,2,1828,1377,451,24.6718,5.65191,2000,final_T=9.927992 current_cost=1417
J20M5N1,3,1828,1377,451,24.6718,5.48328,2000,final_T=9.927992 current_cost=1417
J20M5N1,4,1828,1377,451,24.6718,6.19423,2000,final_T=9.927992 current_cost=1417
J20M5N1,5,1828,1377,451,24.6718,5.65478,2000,final_T=9.927992 current_cost=1417
J20M10N1,1,2140,1706,434,20.2804,9.6423,2000,final_T=9.899937 current_cost=1761
J20M10N1,2,2140,1706,434,20.2804,9.6452,2000,final_T=9.899937 current_cost=1761
J20M10N1,3,2140,1706,434,20.2804,10.8952,2000,final_T=9.899937 current_cost=1761
J20M10N1,4,2140,1706,434,20.2804,9.56983,2000,final_T=9.899937 current_cost=1761
J20M10N1,5,2140,1706,434,20.2804,9.52893,2000,final_T=9.899937 current_cost=1761
J20M20N1,1,2974,2452,522,17.5521,9.19822,2000,final_T=9.911654 current_cost=2455
J20M20N1,2,2974,2452,522,17.5521,9.17608,2000,final_T=9.911654 current_cost=2455
J20M20N1,3,2974,2452,522,17.5521,9.19123,2000,final_T=9.911654 current_cost=2455
J20M20N1,4,2974,2452,522,17.5521,9.17974,2000,final_T=9.911654 current_cost=2455
J20M20N1,5,2974,2452,522,17.5521,9.19749,2000,final_T=9.911654 current_cost=2455
J50M5N1,1,3975,3042,933,23.4717,208.09,2000,final_T=5.974129 current_cost=3042
J50M5N1,2,3975,3042,933,23.4717,209.431,2000,final_T=5.974129 current_cost=3042
J50M5N1,3,3975,3042,933,23.4717,208.259,2000,final_T=5.974129 current_cost=3042
J50M5N1,4,3975,3042,933,23.4717,209.924,2000,final_T=5.974129 current_cost=3042
J50M5N1,5,3975,3042,933,23.4717,209.716,2000,final_T=5.974129 current_cost=3042
J50M10N1,1,4711,3686,1025,21.7576,383.538,2000,final_T=5.869886 current_cost=3791
J50M10N1,2,4711,3686,1025,21.7576,384.39,2000,final_T=5.869886 current_cost=3791
J50M10N1,3,4711,3686,1025,21.7576,385.966,2000,final_T=5.869886 current_cost=3791
J50M10N1,4,4711,3686,1025,21.7576,387.738,2000,final_T=5.869886 current_cost=3791
J50M10N1,5,4711,3686,1025,21.7576,387.991,2000,final_T=5.869886 current_cost=3791
J50M20N1,1,5504,4557,947,17.2057,816.46,2000,final_T=5.569715 current_cost=4567
J50M20N1,2,5504,4557,947,17.2057,834.646,2000,final_T=5.569715 current_cost=4567
J50M20N1,3,5504,4557,947,17.2057,817.085,2000,final_T=5.569715 current_cost=4567
J50M20N1,4,5504,4557,947,17.2057,808.797,2000,final_T=5.569715 current_cost=4567
J50M20N1,5,5504,4557,947,17.2057,811.419,2000,final_T=5.569715 current_cost=4567
