instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1381,447,24.453,0.471683,2000,
J20M5N1,2,1828,1381,447,24.453,0.504726,2000,
J20M5N1,3,1828,1381,447,24.453,0.468445,2000,
J20M5N1,4,1828,1381,447,24.453,0.500771,2000,
J20M5N1,5,1828,1381,447,24.453,0.477536,2000,
J20M10N1,1,2140,1731,409,19.1121,0.614535,2000,
J20M10N1,2,2140,1731,409,19.1121,0.648602,2000,
J20M10N1,3,2140,1731,409,19.1121,0.623546,2000,
J20M10N1,4,2140,1731,409,19.1121,0.611698,2000,
J20M10N1,5,2140,1731,409,19.1121,0.644187,2000,
J20M20N1,1,2974,2479,495,16.6443,0.744757,2000,
J20M20N1,2,2974,2479,495,16.6443,0.74096,2000,
J20M20N1,3,2974,2479,495,16.6443,0.746141,2000,
J20M20N1,4,2974,2479,495,16.6443,0.743991,2000,
J20M20N1,5,2974,2479,495,16.6443,0.744371,2000,
J50M5N1,1,3975,3158,817,20.5535,6.37604,2000,
J50M5N1,2,3975,3158,817,20.5535,6.39279,2000,
J50M5N1,3,3975,3158,817,20.5535,6.46258,2000,
J50M5N1,4,3975,3158,817,20.5535,6.37836,2000,
J50M5N1,5,3975,3158,817,20.5535,6.4203,2000,
J50M10N1,1,4711,3861,850,18.0429,6.11853,2000,
J50M10N1,2,4711,3861,850,18.0429,6.09366,2000,
J50M10N1,3,4711,3861,850,18.0429,6.10643,2000,
J50M10N1,4,4711,3861,850,18.0429,6.10133,2000,
J50M10N1,5,4711,3861,850,18.0429,6.09789,2000,
J50M20N1,1,5504,4830,674,12.2456,19.7751,2000,
J50M20N1,2,5504,4830,674,12.2456,19.753,2000,
J50M20N1,3,5504,4830,674,12.2456,19.7594,2000,
J50M20N1,4,5504,4830,674,12.2456,20.5206,2000,
J50M20N1,5,5504,4830,674,12.2456,19.8189,2000,
J100M5N1,1,8059,6342,1717,21.3054,151.838,2000,
J100M5N1,2,8059,6342,1717,21.3054,150.98,2000,
J100M5N1,3,8059,6342,1717,21.3054,151.402,2000,
J100M5N1,4,8059,6342,1717,21.3054,151.997,2000,
J100M5N1,5,8059,6342,1717,21.3054,152.09,2000,
J100M10N1,1,8854,7326,1528,17.2577,156.555,2000,
J100M10N1,2,8854,7326,1528,17.2577,156.267,2000,
J100M10N1,3,8854,7326,1528,17.2577,156.489,2000,
J100M10N1,4,8854,7326,1528,17.2577,156.794,2000,
J100M10N1,5,8854,7326,1528,17.2577,155.984,2000,
J100M20N1,1,9596,8235,1361,14.183,226.879,2000,
J100M20N1,2,9596,8235,1361,14.183,229.095,2000,
J100M20N1,3,9596,8235,1361,14.183,226.592,2000,
J100M20N1,4,9596,8235,1361,14.183,226.543,2000,
J100M20N1,5,9596,8235,1361,14.183,226.882,2000,
J200M5N1,1,15790,12166,3624,22.9512,2005.99,2000,
J200M5N1,2,15790,12163,3627,22.9702,2013.96,2000,
J200M5N1,3,15790,12165,3625,22.9576,2001.45,2000,
J200M5N1,4,15790,12165,3625,22.9576,2002.16,2000,
J200M5N1,5,15790,12165,3625,22.9576,2002.62,2000,
J200M10N1,1,16855,14056,2799,16.6063,1672.81,2000,
J200M10N1,2,16855,14056,2799,16.6063,1670.9,2000,
J200M10N1,3,16855,14056,2799,16.6063,1671.85,2000,
J200M10N1,4,16855,14056,2799,16.6063,1669.37,2000,
J200M10N1,5,16855,14056,2799,16.6063,1666.03,2000,
J200M20N1,1,17521,15523,1998,11.4035,2028.45,2000,
J200M20N1,2,17521,15523,1998,11.4035,2028.17,2000,
J200M20N1,3,17521,15523,1998,11.4035,2034.11,2000,
J200M20N1,4,17521,15523,1998,11.4035,2032.5,2000,
J200M20N1,5,17521,15523,1998,11.4035,2033.71,2000,
J500M5N1,1,38991,32750,6241,16.0063,2006.92,2000,
J500M5N1,2,38991,32763,6228,15.9729,2006.14,2000,
J500M5N1,3,38991,32763,6228,15.9729,2003.58,2000,
J500M5N1,4,38991,32750,6241,16.0063,2007.87,2000,
J500M5N1,5,38991,32750,6241,16.0063,2006.82,2000,
J500M10N1,1,41294,36834,4460,10.8006,2007.33,2000,
J500M10N1,2,41294,36834,4460,10.8006,2015.78,2000,
J500M10N1,3,41294,36834,4460,10.8006,2015.67,2000,
J500M10N1,4,41294,36834,4460,10.8006,2012.1,2000,
J500M10N1,5,41294,36855,4439,10.7497,2001.42,2000,
J500M20N1,1,43146,40477,2669,6.18597,2005.32,2000,
J500M20N1,2,43146,40477,2669,6.18597,2005.93,2000,
J500M20N1,3,43146,40477,2669,6.18597,2005.54,2000,
J500M20N1,4,43146,40477,2669,6.18597,2008.76,2000,
J500M20N1,5,43146,40477,2669,6.18597,2007.43,2000,
