instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1444,384,21.0066,0.050025,2000,jp=0.001000 passes=2
J20M5N1,2,1828,1444,384,21.0066,0.043127,2000,jp=0.001000 passes=2
J20M5N1,3,1828,1444,384,21.0066,0.041716,2000,jp=0.001000 passes=2
J20M5N1,4,1828,1444,384,21.0066,0.041398,2000,jp=0.001000 passes=2
J20M5N1,5,1828,1444,384,21.0066,0.039665,2000,jp=0.001000 passes=2
J20M10N1,1,2140,1704,436,20.3738,0.114387,2000,jp=0.001000 passes=2
J20M10N1,2,2140,1704,436,20.3738,0.109415,2000,jp=0.001000 passes=2
J20M10N1,3,2140,1704,436,20.3738,0.107032,2000,jp=0.001000 passes=2
J20M10N1,4,2140,1704,436,20.3738,0.106354,2000,jp=0.001000 passes=2
J20M10N1,5,2140,1704,436,20.3738,0.105459,2000,jp=0.001000 passes=2
J20M20N1,1,2974,2582,392,13.1809,0.132206,2000,jp=0.001000 passes=3
J20M20N1,2,2974,2582,392,13.1809,0.127016,2000,jp=0.001000 passes=3
J20M20N1,3,2974,2582,392,13.1809,0.12461,2000,jp=0.001000 passes=3
J20M20N1,4,2974,2582,392,13.1809,0.127902,2000,jp=0.001000 passes=3
J20M20N1,5,2974,2582,392,13.1809,0.122821,2000,jp=0.001000 passes=3
J50M5N1,1,3975,3223,752,18.9182,0.410566,2000,jp=0.001000 passes=2
J50M5N1,2,3975,3223,752,18.9182,0.401814,2000,jp=0.001000 passes=2
J50M5N1,3,3975,3223,752,18.9182,0.403333,2000,jp=0.001000 passes=2
J50M5N1,4,3975,3223,752,18.9182,0.397107,2000,jp=0.001000 passes=2
J50M5N1,5,3975,3223,752,18.9182,0.397593,2000,jp=0.001000 passes=2
J50M10N1,1,4711,3867,844,17.9155,0.596589,2000,jp=0.001000 passes=2
J50M10N1,2,4711,3867,844,17.9155,0.584964,2000,jp=0.001000 passes=2
J50M10N1,3,4711,3867,844,17.9155,0.587174,2000,jp=0.001000 passes=2
J50M10N1,4,4711,3867,844,17.9155,0.596298,2000,jp=0.001000 passes=2
