instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1419,409,22.3742,0.061073,2000,passes=2
J20M5N1,2,1828,1419,409,22.3742,0.089055,2000,passes=2
J20M5N1,3,1828,1419,409,22.3742,0.053612,2000,passes=2
J20M5N1,4,1828,1419,409,22.3742,0.052567,2000,passes=2
J20M5N1,5,1828,1419,409,22.3742,0.051792,2000,passes=2
J20M10N1,1,2140,1719,421,19.6729,0.095326,2000,passes=2
J20M10N1,2,2140,1719,421,19.6729,0.088801,2000,passes=2
J20M10N1,3,2140,1719,421,19.6729,0.087157,2000,passes=2
J20M10N1,4,2140,1719,421,19.6729,0.085513,2000,passes=2
J20M10N1,5,2140,1719,421,19.6729,0.084896,2000,passes=2
J20M20N1,1,2974,2480,494,16.6106,0.333422,2000,passes=2
J20M20N1,2,2974,2480,494,16.6106,0.269203,2000,passes=2
J20M20N1,3,2974,2480,494,16.6106,0.237186,2000,passes=2
J20M20N1,4,2974,2480,494,16.6106,0.261733,2000,passes=2
J20M20N1,5,2974,2480,494,16.6106,0.246929,2000,passes=2
J50M5N1,1,3975,3181,794,19.9748,0.630304,2000,passes=2
J50M5N1,2,3975,3181,794,19.9748,0.624179,2000,passes=2
J50M5N1,3,3975,3181,794,19.9748,0.646752,2000,passes=2
J50M5N1,4,3975,3181,794,19.9748,0.594164,2000,passes=2
J50M5N1,5,3975,3181,794,19.9748,0.622901,2000,passes=2
J50M10N1,1,4711,3822,889,18.8707,0.894789,2000,passes=3
J50M10N1,2,4711,3822,889,18.8707,0.889532,2000,passes=3
J50M10N1,3,4711,3822,889,18.8707,0.889516,2000,passes=3
J50M10N1,4,4711,3822,889,18.8707,0.888102,2000,passes=3
J50M10N1,5,4711,3822,889,18.8707,0.89017,2000,passes=3
J50M20N1,1,5504,4775,729,13.2449,2.09414,2000,passes=3
J50M20N1,2,5504,4775,729,13.2449,2.07661,2000,passes=3
J50M20N1,3,5504,4775,729,13.2449,2.07516,2000,passes=3
J50M20N1,4,5504,4775,729,13.2449,2.07415,2000,passes=3
J50M20N1,5,5504,4775,729,13.2449,2.08768,2000,passes=3
J100M5N1,1,8059,6506,1553,19.2704,2.56474,2000,passes=4
J100M5N1,2,8059,6506,1553,19.2704,2.54943,2000,passes=4
J100M5N1,3,8059,6506,1553,19.2704,2.55207,2000,passes=4
J100M5N1,4,8059,6506,1553,19.2704,2.54541,2000,passes=4
J100M5N1,5,8059,6506,1553,19.2704,2.55505,2000,passes=4
J100M10N1,1,8854,7355,1499,16.9302,5.2135,2000,passes=2
J100M10N1,2,8854,7355,1499,16.9302,5.23662,2000,passes=2
J100M10N1,3,8854,7355,1499,16.9302,5.22306,2000,passes=2
J100M10N1,4,8854,7355,1499,16.9302,5.28329,2000,passes=2
J100M10N1,5,8854,7355,1499,16.9302,5.21801,2000,passes=2
J100M20N1,1,9596,8245,1351,14.0788,8.12367,2000,passes=3
J100M20N1,2,9596,8245,1351,14.0788,8.11374,2000,passes=3
J100M20N1,3,9596,8245,1351,14.0788,8.12476,2000,passes=3
J100M20N1,4,9596,8245,1351,14.0788,8.12101,2000,passes=3
J100M20N1,5,9596,8245,1351,14.0788,8.1159,2000,passes=3
J200M5N1,1,15790,12718,3072,19.4554,13.3996,2000,passes=2
J200M5N1,2,15790,12718,3072,19.4554,13.4101,2000,passes=2
J200M5N1,3,15790,12718,3072,19.4554,13.38,2000,passes=2
J200M5N1,4,15790,12718,3072,19.4554,13.3708,2000,passes=2
J200M5N1,5,15790,12718,3072,19.4554,13.3711,2000,passes=2
J200M10N1,1,16855,14388,2467,14.6366,13.8709,2000,passes=2
J200M10N1,2,16855,14388,2467,14.6366,13.8439,2000,passes=2
J200M10N1,3,16855,14388,2467,14.6366,13.8376,2000,passes=2
J200M10N1,4,16855,14388,2467,14.6366,13.943,2000,passes=2
J200M10N1,5,16855,14388,2467,14.6366,13.8868,2000,passes=2
J200M20N1,1,17521,15349,2172,12.3966,42.7732,2000,passes=2
J200M20N1,2,17521,15349,2172,12.3966,42.8332,2000,passes=2
J200M20N1,3,17521,15349,2172,12.3966,43.2312,2000,passes=2
J200M20N1,4,17521,15349,2172,12.3966,42.934,2000,passes=2
J200M20N1,5,17521,15349,2172,12.3966,42.9207,2000,passes=2
J500M5N1,1,38991,30942,8049,20.6432,87.336,2000,passes=2
J500M5N1,2,38991,30942,8049,20.6432,87.1922,2000,passes=2
J500M5N1,3,38991,30942,8049,20.6432,86.9047,2000,passes=2
J500M5N1,4,38991,30942,8049,20.6432,86.8628,2000,passes=2
J500M5N1,5,38991,30942,8049,20.6432,86.8678,2000,passes=2
J500M10N1,1,41294,35043,6251,15.1378,118.635,2000,passes=2
J500M10N1,2,41294,35043,6251,15.1378,118.02,2000,passes=2
J500M10N1,3,41294,35043,6251,15.1378,119.126,2000,passes=2
J500M10N1,4,41294,35043,6251,15.1378,118.461,2000,passes=2
J500M10N1,5,41294,35043,6251,15.1378,119.173,2000,passes=2
J500M20N1,1,43146,37974,5172,11.9872,204.271,2000,passes=2
J500M20N1,2,43146,37974,5172,11.9872,204.3,2000,passes=2
J500M20N1,3,43146,37974,5172,11.9872,203.703,2000,passes=2
J500M20N1,4,43146,37974,5172,11.9872,204.252,2000,passes=2
J500M20N1,5,43146,37974,5172,11.9872,204.078,2000,passes=2
