instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1444,384,21.0066,0.054136,2000,passes=4
J20M5N1,2,1828,1444,384,21.0066,0.049373,2000,passes=4
J20M5N1,3,1828,1444,384,21.0066,0.04713,2000,passes=4
J20M5N1,4,1828,1444,384,21.0066,0.046023,2000,passes=4
J20M5N1,5,1828,1444,384,21.0066,0.045468,2000,passes=4
J20M10N1,1,2140,1730,410,19.1589,0.117747,2000,passes=6
J20M10N1,2,2140,1730,410,19.1589,0.113022,2000,passes=6
J20M10N1,3,2140,1730,410,19.1589,0.110312,2000,passes=6
J20M10N1,4,2140,1730,410,19.1589,0.108905,2000,passes=6
J20M10N1,5,2140,1730,410,19.1589,0.14915,2000,passes=6
J20M20N1,1,2974,2449,525,17.653,0.238402,2000,passes=4
J20M20N1,2,2974,2449,525,17.653,0.236564,2000,passes=4
J20M20N1,3,2974,2449,525,17.653,0.221605,2000,passes=4
J20M20N1,4,2974,2449,525,17.653,0.235283,2000,passes=4
J20M20N1,5,2974,2449,525,17.653,0.201606,2000,passes=4
J50M5N1,1,3975,3230,745,18.7421,1.02391,2000,passes=9
J50M5N1,2,3975,3230,745,18.7421,1.03817,2000,passes=9
J50M5N1,3,3975,3230,745,18.7421,1.07086,2000,passes=9
J50M5N1,4,3975,3230,745,18.7421,1.05372,2000,passes=9
J50M5N1,5,3975,3230,745,18.7421,1.02289,2000,passes=9
J50M10N1,1,4711,3833,878,18.6372,0.745883,2000,passes=6
J50M10N1,2,4711,3833,878,18.6372,0.742575,2000,passes=6
J50M10N1,3,4711,3833,878,18.6372,0.729489,2000,passes=6
J50M10N1,4,4711,3833,878,18.6372,0.717789,2000,passes=6
J50M10N1,5,4711,3833,878,18.6372,0.733758,2000,passes=6
J50M20N1,1,5504,4820,684,12.4273,0.809481,2000,passes=4
J50M20N1,2,5504,4820,684,12.4273,0.792699,2000,passes=4
J50M20N1,3,5504,4820,684,12.4273,0.787867,2000,passes=4
J50M20N1,4,5504,4820,684,12.4273,0.790215,2000,passes=4
J50M20N1,5,5504,4820,684,12.4273,0.787748,2000,passes=4
J100M5N1,1,8059,6568,1491,18.5011,1.52265,2000,passes=5
J100M5N1,2,8059,6568,1491,18.5011,1.52327,2000,passes=5
J100M5N1,3,8059,6568,1491,18.5011,1.51875,2000,passes=5
J100M5N1,4,8059,6568,1491,18.5011,1.52014,2000,passes=5
J100M5N1,5,8059,6568,1491,18.5011,1.51173,2000,passes=5
J100M10N1,1,8854,7431,1423,16.0718,3.69439,2000,passes=8
J100M10N1,2,8854,7431,1423,16.0718,3.67823,2000,passes=8
J100M10N1,3,8854,7431,1423,16.0718,3.67525,2000,passes=8
J100M10N1,4,8854,7431,1423,16.0718,3.67049,2000,passes=8
J100M10N1,5,8854,7431,1423,16.0718,3.67618,2000,passes=8
J100M20N1,1,9596,8124,1472,15.3397,6.15407,2000,passes=7
J100M20N1,2,9596,8124,1472,15.3397,6.14924,2000,passes=7
J100M20N1,3,9596,8124,1472,15.3397,6.13989,2000,passes=7
J100M20N1,4,9596,8124,1472,15.3397,6.12192,2000,passes=7
J100M20N1,5,9596,8124,1472,15.3397,6.22676,2000,passes=7
J200M5N1,1,15790,12668,3122,19.772,6.60616,2000,passes=5
J200M5N1,2,15790,12668,3122,19.772,6.62519,2000,passes=5
J200M5N1,3,15790,12668,3122,19.772,6.64628,2000,passes=5
J200M5N1,4,15790,12668,3122,19.772,6.60169,2000,passes=5
J200M5N1,5,15790,12668,3122,19.772,6.63003,2000,passes=5
J200M10N1,1,16855,14183,2672,15.8529,12.6972,2000,passes=6
J200M10N1,2,16855,14183,2672,15.8529,12.7157,2000,passes=6
J200M10N1,3,16855,14183,2672,15.8529,12.6637,2000,passes=6
J200M10N1,4,16855,14183,2672,15.8529,12.7231,2000,passes=6
J200M10N1,5,16855,14183,2672,15.8529,12.7237,2000,passes=6
J200M20N1,1,17521,15461,2060,11.7573,25.2672,2000,passes=8
J200M20N1,2,17521,15461,2060,11.7573,25.3144,2000,passes=8
J200M20N1,3,17521,15461,2060,11.7573,25.2813,2000,passes=8
J200M20N1,4,17521,15461,2060,11.7573,25.3219,2000,passes=8
J200M20N1,5,17521,15461,2060,11.7573,25.2842,2000,passes=8
J500M5N1,1,38991,30926,8065,20.6843,77.3256,2000,passes=10
J500M5N1,2,38991,30926,8065,20.6843,77.6488,2000,passes=10
J500M5N1,3,38991,30926,8065,20.6843,77.6625,2000,passes=10
J500M5N1,4,38991,30926,8065,20.6843,77.6265,2000,passes=10
J500M5N1,5,38991,30926,8065,20.6843,78.5661,2000,passes=10
J500M10N1,1,41294,34694,6600,15.983,161.442,2000,passes=13
J500M10N1,2,41294,34694,6600,15.983,161.053,2000,passes=13
J500M10N1,3,41294,34694,6600,15.983,160.966,2000,passes=13
J500M10N1,4,41294,34694,6600,15.983,162.069,2000,passes=13
J500M10N1,5,41294,34694,6600,15.983,160.861,2000,passes=13
J500M20N1,1,43146,37778,5368,12.4415,377.312,2000,passes=17
J500M20N1,2,43146,37778,5368,12.4415,376.094,2000,passes=17
J500M20N1,3,43146,37778,5368,12.4415,376.946,2000,passes=17
J500M20N1,4,43146,37778,5368,12.4415,377.173,2000,passes=17
J500M20N1,5,43146,37778,5368,12.4415,376.554,2000,passes=17
