instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1419,409,22.3742,0.101206,2000,passes=2
J20M5N1,2,1828,1419,409,22.3742,0.092813,2000,passes=2
J20M5N1,3,1828,1419,409,22.3742,0.090345,2000,passes=2
J20M5N1,4,1828,1419,409,22.3742,0.089048,2000,passes=2
J20M5N1,5,1828,1419,409,22.3742,0.089333,2000,passes=2
J20M10N1,1,2140,1702,438,20.4673,0.176492,2000,passes=2
J20M10N1,2,2140,1702,438,20.4673,0.166213,2000,passes=2
J20M10N1,3,2140,1702,438,20.4673,0.19517,2000,passes=2
J20M10N1,4,2140,1702,438,20.4673,0.162337,2000,passes=2
J20M10N1,5,2140,1702,438,20.4673,0.161747,2000,passes=2
J20M20N1,1,2974,2536,438,14.7276,0.234988,2000,passes=2
J20M20N1,2,2974,2536,438,14.7276,0.23703,2000,passes=2
J20M20N1,3,2974,2536,438,14.7276,0.211736,2000,passes=2
J20M20N1,4,2974,2536,438,14.7276,0.21297,2000,passes=2
J20M20N1,5,2974,2536,438,14.7276,0.212552,2000,passes=2
J50M5N1,1,3975,3231,744,18.717,0.75923,2000,passes=2
J50M5N1,2,3975,3231,744,18.717,0.708434,2000,passes=2
J50M5N1,3,3975,3231,744,18.717,0.733195,2000,passes=2
J50M5N1,4,3975,3231,744,18.717,0.693537,2000,passes=2
J50M5N1,5,3975,3231,744,18.717,0.633517,2000,passes=2
J50M10N1,1,4711,3880,831,17.6396,0.844107,2000,passes=2
J50M10N1,2,4711,3880,831,17.6396,0.813778,2000,passes=2
J50M10N1,3,4711,3880,831,17.6396,0.922278,2000,passes=2
J50M10N1,4,4711,3880,831,17.6396,0.788218,2000,passes=2
J50M10N1,5,4711,3880,831,17.6396,0.760118,2000,passes=2
J50M20N1,1,5504,4653,851,15.4615,1.72061,2000,passes=2
J50M20N1,2,5504,4653,851,15.4615,1.71173,2000,passes=2
J50M20N1,3,5504,4653,851,15.4615,1.7365,2000,passes=2
J50M20N1,4,5504,4653,851,15.4615,1.65885,2000,passes=2
J50M20N1,5,5504,4653,851,15.4615,1.67351,2000,passes=2
J100M5N1,1,8059,6536,1523,18.8981,1.91456,2000,passes=2
J100M5N1,2,8059,6536,1523,18.8981,1.88281,2000,passes=2
J100M5N1,3,8059,6536,1523,18.8981,1.9219,2000,passes=2
J100M5N1,4,8059,6536,1523,18.8981,1.89978,2000,passes=2
J100M5N1,5,8059,6536,1523,18.8981,1.88465,2000,passes=2
J100M10N1,1,8854,7409,1445,16.3203,4.04937,2000,passes=2
J100M10N1,2,8854,7409,1445,16.3203,4.12266,2000,passes=2
J100M10N1,3,8854,7409,1445,16.3203,4.04274,2000,passes=2
J100M10N1,4,8854,7409,1445,16.3203,4.03844,2000,passes=2
J100M10N1,5,8854,7409,1445,16.3203,4.04526,2000,passes=2
J100M20N1,1,9596,8179,1417,14.7666,8.63695,2000,passes=2
J100M20N1,2,9596,8179,1417,14.7666,8.6387,2000,passes=2
J100M20N1,3,9596,8179,1417,14.7666,8.65037,2000,passes=2
J100M20N1,4,9596,8179,1417,14.7666,8.60627,2000,passes=2
J100M20N1,5,9596,8179,1417,14.7666,8.64109,2000,passes=2
J200M5N1,1,15790,12687,3103,19.6517,9.82928,2000,passes=2
J200M5N1,2,15790,12687,3103,19.6517,9.82446,2000,passes=2
J200M5N1,3,15790,12687,3103,19.6517,9.73095,2000,passes=2
J200M5N1,4,15790,12687,3103,19.6517,9.7644,2000,passes=2
J200M5N1,5,15790,12687,3103,19.6517,9.76511,2000,passes=2
J200M10N1,1,16855,14376,2479,14.7078,23.1192,2000,passes=2
J200M10N1,2,16855,14376,2479,14.7078,23.2617,2000,passes=2
J200M10N1,3,16855,14376,2479,14.7078,23.1694,2000,passes=2
J200M10N1,4,16855,14376,2479,14.7078,23.1607,2000,passes=2
J200M10N1,5,16855,14376,2479,14.7078,23.1576,2000,passes=2
J200M20N1,1,17521,15383,2138,12.2025,50.6158,2000,passes=2
J200M20N1,2,17521,15383,2138,12.2025,50.6784,2000,passes=2
J200M20N1,3,17521,15383,2138,12.2025,50.6243,2000,passes=2
J200M20N1,4,17521,15383,2138,12.2025,50.7203,2000,passes=2
J200M20N1,5,17521,15383,2138,12.2025,50.6172,2000,passes=2
J500M5N1,1,38991,31419,7572,19.4199,65.4665,2000,passes=2
J500M5N1,2,38991,31419,7572,19.4199,66.7673,2000,passes=2
J500M5N1,3,38991,31419,7572,19.4199,65.5932,2000,passes=2
J500M5N1,4,38991,31419,7572,19.4199,65.7123,2000,passes=2
J500M5N1,5,38991,31419,7572,19.4199,65.7102,2000,passes=2
J500M10N1,1,41294,34598,6696,16.2154,161.59,2000,passes=2
J500M10N1,2,41294,34598,6696,16.2154,160.407,2000,passes=2
J500M10N1,3,41294,34598,6696,16.2154,160.118,2000,passes=2
J500M10N1,4,41294,34598,6696,16.2154,160.251,2000,passes=2
J500M10N1,5,41294,34598,6696,16.2154,161.664,2000,passes=2
J500M20N1,1,43146,38113,5033,11.665,303.962,2000,passes=2
J500M20N1,2,43146,38113,5033,11.665,305.633,2000,passes=2
J500M20N1,3,43146,38113,5033,11.665,304.856,2000,passes=2
J500M20N1,4,43146,38113,5033,11.665,305.267,2000,passes=2
J500M20N1,5,43146,38113,5033,11.665,304.377,2000,passes=2
