instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1419,409,22.3742,0.076258,2000,passes=2
J20M5N1,2,1828,1419,409,22.3742,0.053437,2000,passes=2
J20M5N1,3,1828,1419,409,22.3742,0.078738,2000,passes=2
J20M5N1,4,1828,1419,409,22.3742,0.064143,2000,passes=2
J20M5N1,5,1828,1419,409,22.3742,0.061156,2000,passes=2
J20M10N1,1,2140,1719,421,19.6729,0.093618,2000,passes=2
J20M10N1,2,2140,1719,421,19.6729,0.084255,2000,passes=2
J20M10N1,3,2140,1719,421,19.6729,0.080608,2000,passes=2
J20M10N1,4,2140,1719,421,19.6729,0.079789,2000,passes=2
J20M10N1,5,2140,1719,421,19.6729,0.078949,2000,passes=2
J20M20N1,1,2974,2498,476,16.0054,0.261928,2000,passes=2
J20M20N1,2,2974,2498,476,16.0054,0.252875,2000,passes=2
J20M20N1,3,2974,2498,476,16.0054,0.279773,2000,passes=2
J20M20N1,4,2974,2498,476,16.0054,0.252853,2000,passes=2
J20M20N1,5,2974,2498,476,16.0054,0.259654,2000,passes=2
J50M5N1,1,3975,3203,772,19.4214,0.445083,2000,passes=2
J50M5N1,2,3975,3203,772,19.4214,0.432442,2000,passes=2
J50M5N1,3,3975,3203,772,19.4214,0.45325,2000,passes=2
J50M5N1,4,3975,3203,772,19.4214,0.457713,2000,passes=2
J50M5N1,5,3975,3203,772,19.4214,0.465557,2000,passes=2
J50M10N1,1,4711,3878,833,17.682,0.480324,2000,passes=2
J50M10N1,2,4711,3878,833,17.682,0.498496,2000,passes=2
J50M10N1,3,4711,3878,833,17.682,0.465032,2000,passes=2
J50M10N1,4,4711,3878,833,17.682,0.480045,2000,passes=2
J50M10N1,5,4711,3878,833,17.682,0.479085,2000,passes=2
J50M20N1,1,5504,4811,693,12.5908,1.01527,2000,passes=2
J50M20N1,2,5504,4811,693,12.5908,1.05037,2000,passes=2
J50M20N1,3,5504,4811,693,12.5908,1.00112,2000,passes=2
J50M20N1,4,5504,4811,693,12.5908,1.09458,2000,passes=2
J50M20N1,5,5504,4811,693,12.5908,1.08197,2000,passes=2
J100M5N1,1,8059,6507,1552,19.258,1.786,2000,passes=2
J100M5N1,2,8059,6507,1552,19.258,1.84252,2000,passes=2
J100M5N1,3,8059,6507,1552,19.258,1.91954,2000,passes=2
J100M5N1,4,8059,6507,1552,19.258,1.80153,2000,passes=2
J100M5N1,5,8059,6507,1552,19.258,1.75152,2000,passes=2
J100M10N1,1,8854,7444,1410,15.925,2.95745,2000,passes=2
J100M10N1,2,8854,7444,1410,15.925,3.20509,2000,passes=2
J100M10N1,3,8854,7444,1410,15.925,2.93432,2000,passes=2
J100M10N1,4,8854,7444,1410,15.925,2.96011,2000,passes=2
J100M10N1,5,8854,7444,1410,15.925,2.90986,2000,passes=2
J100M20N1,1,9596,8169,1427,14.8708,8.44357,2000,passes=2
J100M20N1,2,9596,8169,1427,14.8708,8.04925,2000,passes=2
J100M20N1,3,9596,8169,1427,14.8708,8.01239,2000,passes=2
J100M20N1,4,9596,8169,1427,14.8708,7.99902,2000,passes=2
J100M20N1,5,9596,8169,1427,14.8708,7.89201,2000,passes=2
J200M5N1,1,15790,12781,3009,19.0564,9.00247,2000,passes=2
J200M5N1,2,15790,12781,3009,19.0564,8.68332,2000,passes=2
J200M5N1,3,15790,12781,3009,19.0564,8.62824,2000,passes=2
J200M5N1,4,15790,12781,3009,19.0564,8.4276,2000,passes=2
J200M5N1,5,15790,12781,3009,19.0564,8.51407,2000,passes=2
J200M10N1,1,16855,14203,2652,15.7342,17.8883,2000,passes=2
J200M10N1,2,16855,14203,2652,15.7342,17.3985,2000,passes=2
J200M10N1,3,16855,14203,2652,15.7342,17.1566,2000,passes=2
J200M10N1,4,16855,14203,2652,15.7342,17.26,2000,passes=2
J200M10N1,5,16855,14203,2652,15.7342,17.1865,2000,passes=2
J200M20N1,1,17521,15511,2010,11.4719,24.9755,2000,passes=2
J200M20N1,2,17521,15511,2010,11.4719,24.3987,2000,passes=2
J200M20N1,3,17521,15511,2010,11.4719,24.4961,2000,passes=2
J200M20N1,4,17521,15511,2010,11.4719,24.3981,2000,passes=2
J200M20N1,5,17521,15511,2010,11.4719,24.3869,2000,passes=2
J500M5N1,1,38991,30782,8209,21.0536,97.436,2000,passes=2
J500M5N1,2,38991,30782,8209,21.0536,96.4805,2000,passes=2
J500M5N1,3,38991,30782,8209,21.0536,96.636,2000,passes=2
J500M5N1,4,38991,30782,8209,21.0536,96.6658,2000,passes=2
J500M5N1,5,38991,30782,8209,21.0536,96.1653,2000,passes=2
J500M10N1,1,41294,34984,6310,15.2807,98.4994,2000,passes=2
J500M10N1,2,41294,34984,6310,15.2807,97.6,2000,passes=2
J500M10N1,3,41294,34984,6310,15.2807,97.6456,2000,passes=2
J500M10N1,4,41294,34984,6310,15.2807,97.4075,2000,passes=2
J500M10N1,5,41294,34984,6310,15.2807,97.5768,2000,passes=2
J500M20N1,1,43146,37914,5232,12.1263,261.433,2000,passes=2
J500M20N1,2,43146,37914,5232,12.1263,261.369,2000,passes=2
J500M20N1,3,43146,37914,5232,12.1263,262.488,2000,passes=2
J500M20N1,4,43146,37914,5232,12.1263,262.268,2000,passes=2
J500M20N1,5,43146,37914,5232,12.1263,263.836,2000,passes=2
