instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1466,362,19.8031,0.040937,2000,passes=3
J20M5N1,2,1828,1466,362,19.8031,0.036744,2000,passes=3
J20M5N1,3,1828,1466,362,19.8031,0.034961,2000,passes=3
J20M5N1,4,1828,1466,362,19.8031,0.034338,2000,passes=3
J20M5N1,5,1828,1466,362,19.8031,0.033874,2000,passes=3
J20M10N1,1,2140,1727,413,19.2991,0.09728,2000,passes=5
J20M10N1,2,2140,1727,413,19.2991,0.094084,2000,passes=5
J20M10N1,3,2140,1727,413,19.2991,0.107817,2000,passes=5
J20M10N1,4,2140,1727,413,19.2991,0.104353,2000,passes=5
J20M10N1,5,2140,1727,413,19.2991,0.090638,2000,passes=5
J20M20N1,1,2974,2509,465,15.6355,0.10361,2000,passes=3
J20M20N1,2,2974,2509,465,15.6355,0.099875,2000,passes=3
J20M20N1,3,2974,2509,465,15.6355,0.098201,2000,passes=3
J20M20N1,4,2974,2509,465,15.6355,0.100625,2000,passes=3
J20M20N1,5,2974,2509,465,15.6355,0.095791,2000,passes=3
J50M5N1,1,3975,3200,775,19.4969,0.648952,2000,passes=8
J50M5N1,2,3975,3200,775,19.4969,0.638079,2000,passes=8
J50M5N1,3,3975,3200,775,19.4969,0.648994,2000,passes=8
J50M5N1,4,3975,3200,775,19.4969,0.638614,2000,passes=8
J50M5N1,5,3975,3200,775,19.4969,0.635644,2000,passes=8
J50M10N1,1,4711,3897,814,17.2787,0.490866,2000,passes=4
J50M10N1,2,4711,3897,814,17.2787,0.484306,2000,passes=4
J50M10N1,3,4711,3897,814,17.2787,0.485671,2000,passes=4
J50M10N1,4,4711,3897,814,17.2787,0.482004,2000,passes=4
J50M10N1,5,4711,3897,814,17.2787,0.485152,2000,passes=4
J50M20N1,1,5504,4794,710,12.8997,1.1883,2000,passes=6
J50M20N1,2,5504,4794,710,12.8997,1.18268,2000,passes=6
J50M20N1,3,5504,4794,710,12.8997,1.18441,2000,passes=6
J50M20N1,4,5504,4794,710,12.8997,1.18288,2000,passes=6
J50M20N1,5,5504,4794,710,12.8997,1.19314,2000,passes=6
J100M5N1,1,8059,6507,1552,19.258,1.53548,2000,passes=5
J100M5N1,2,8059,6507,1552,19.258,1.53963,2000,passes=5
J100M5N1,3,8059,6507,1552,19.258,1.52645,2000,passes=5
J100M5N1,4,8059,6507,1552,19.258,1.53577,2000,passes=5
J100M5N1,5,8059,6507,1552,19.258,1.5269,2000,passes=5
J100M10N1,1,8854,7462,1392,15.7217,3.23657,2000,passes=7
J100M10N1,2,8854,7462,1392,15.7217,3.22658,2000,passes=7
J100M10N1,3,8854,7462,1392,15.7217,3.21909,2000,passes=7
J100M10N1,4,8854,7462,1392,15.7217,3.22107,2000,passes=7
J100M10N1,5,8854,7462,1392,15.7217,3.22283,2000,passes=7
J100M20N1,1,9596,8123,1473,15.3501,4.55517,2000,passes=5
J100M20N1,2,9596,8123,1473,15.3501,4.46613,2000,passes=5
J100M20N1,3,9596,8123,1473,15.3501,4.47708,2000,passes=5
J100M20N1,4,9596,8123,1473,15.3501,4.47771,2000,passes=5
J100M20N1,5,9596,8123,1473,15.3501,4.47119,2000,passes=5
J200M5N1,1,15790,12541,3249,20.5763,10.6482,2000,passes=8
J200M5N1,2,15790,12541,3249,20.5763,10.6135,2000,passes=8
J200M5N1,3,15790,12541,3249,20.5763,10.6702,2000,passes=8
J200M5N1,4,15790,12541,3249,20.5763,10.6282,2000,passes=8
J200M5N1,5,15790,12541,3249,20.5763,10.7977,2000,passes=8
J200M10N1,1,16855,14123,2732,16.2088,22.7069,2000,passes=12
J200M10N1,2,16855,14123,2732,16.2088,22.5971,2000,passes=12
J200M10N1,3,16855,14123,2732,16.2088,22.5966,2000,passes=12
J200M10N1,4,16855,14123,2732,16.2088,22.611,2000,passes=12
J200M10N1,5,16855,14123,2732,16.2088,22.6041,2000,passes=12
J200M20N1,1,17521,15591,1930,11.0154,16.0475,2000,passes=5
J200M20N1,2,17521,15591,1930,11.0154,16.0578,2000,passes=5
J200M20N1,3,17521,15591,1930,11.0154,16.0822,2000,passes=5
J200M20N1,4,17521,15591,1930,11.0154,16.0788,2000,passes=5
J200M20N1,5,17521,15591,1930,11.0154,16.0401,2000,passes=5
J500M5N1,1,38991,31257,7734,19.8353,54.4958,2000,passes=7
J500M5N1,2,38991,31257,7734,19.8353,54.683,2000,passes=7
J500M5N1,3,38991,31257,7734,19.8353,54.5456,2000,passes=7
J500M5N1,4,38991,31257,7734,19.8353,54.7653,2000,passes=7
J500M5N1,5,38991,31257,7734,19.8353,54.93,2000,passes=7
J500M10N1,1,41294,34610,6684,16.1864,225.858,2000,passes=18
J500M10N1,2,41294,34610,6684,16.1864,227.126,2000,passes=18
J500M10N1,3,41294,34610,6684,16.1864,225.914,2000,passes=18
J500M10N1,4,41294,34610,6684,16.1864,226.396,2000,passes=18
J500M10N1,5,41294,34610,6684,16.1864,226.777,2000,passes=18
J500M20N1,1,43146,37645,5501,12.7497,270.649,2000,passes=13
J500M20N1,2,43146,37645,5501,12.7497,270.642,2000,passes=13
J500M20N1,3,43146,37645,5501,12.7497,271.803,2000,passes=13
J500M20N1,4,43146,37645,5501,12.7497,271.813,2000,passes=13
J500M20N1,5,43146,37645,5501,12.7497,271.097,2000,passes=13
