instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1407,421,23.0306,0.092153,2000,passes=5
J20M5N1,2,1828,1407,421,23.0306,0.090802,2000,passes=5
J20M5N1,3,1828,1407,421,23.0306,0.090689,2000,passes=5
J20M5N1,4,1828,1407,421,23.0306,0.090386,2000,passes=5
J20M5N1,5,1828,1407,421,23.0306,0.090198,2000,passes=5
J20M10N1,1,2140,1834,306,14.2991,0.129906,2000,passes=4
J20M10N1,2,2140,1834,306,14.2991,0.129319,2000,passes=4
J20M10N1,3,2140,1834,306,14.2991,0.158546,2000,passes=4
J20M10N1,4,2140,1834,306,14.2991,0.12935,2000,passes=4
J20M10N1,5,2140,1834,306,14.2991,0.12919,2000,passes=4
J20M20N1,1,2974,2524,450,15.1311,0.397053,2000,passes=6
J20M20N1,2,2974,2524,450,15.1311,0.400042,2000,passes=6
J20M20N1,3,2974,2524,450,15.1311,0.396688,2000,passes=6
J20M20N1,4,2974,2524,450,15.1311,0.399737,2000,passes=6
J20M20N1,5,2974,2524,450,15.1311,0.402239,2000,passes=6
J50M5N1,1,3975,3186,789,19.8491,2.87491,2000,passes=10
J50M5N1,2,3975,3186,789,19.8491,2.81783,2000,passes=10
J50M5N1,3,3975,3186,789,19.8491,2.81847,2000,passes=10
J50M5N1,4,3975,3186,789,19.8491,2.83513,2000,passes=10
J50M5N1,5,3975,3186,789,19.8491,2.82384,2000,passes=10
J50M10N1,1,4711,3812,899,19.083,6.29136,2000,passes=12
J50M10N1,2,4711,3812,899,19.083,6.28785,2000,passes=12
J50M10N1,3,4711,3812,899,19.083,6.29461,2000,passes=12
J50M10N1,4,4711,3812,899,19.083,6.29096,2000,passes=12
J50M10N1,5,4711,3812,899,19.083,6.28859,2000,passes=12
J50M20N1,1,5504,4784,720,13.0814,4.11302,2000,passes=4
J50M20N1,2,5504,4784,720,13.0814,4.11434,2000,passes=4
J50M20N1,3,5504,4784,720,13.0814,4.16753,2000,passes=4
J50M20N1,4,5504,4784,720,13.0814,4.11237,2000,passes=4
J50M20N1,5,5504,4784,720,13.0814,4.1114,2000,passes=4
J100M5N1,1,8059,6479,1580,19.6054,21.7152,2000,passes=10
J100M5N1,2,8059,6479,1580,19.6054,22.305,2000,passes=10
J100M5N1,3,8059,6479,1580,19.6054,21.8293,2000,passes=10
J100M5N1,4,8059,6479,1580,19.6054,21.7352,2000,passes=10
J100M5N1,5,8059,6479,1580,19.6054,21.7947,2000,passes=10
J100M10N1,1,8854,7328,1526,17.2351,37.3108,2000,passes=9
J100M10N1,2,8854,7328,1526,17.2351,37.1329,2000,passes=9
J100M10N1,3,8854,7328,1526,17.2351,37.1348,2000,passes=9
J100M10N1,4,8854,7328,1526,17.2351,37.2566,2000,passes=9
J100M10N1,5,8854,7328,1526,17.2351,37.2434,2000,passes=9
J100M20N1,1,9596,8373,1223,12.7449,66.4661,2000,passes=7
J100M20N1,2,9596,8373,1223,12.7449,66.4056,2000,passes=7
J100M20N1,3,9596,8373,1223,12.7449,66.5843,2000,passes=7
J100M20N1,4,9596,8373,1223,12.7449,67.238,2000,passes=7
J100M20N1,5,9596,8373,1223,12.7449,66.2695,2000,passes=7
J200M5N1,1,15790,12210,3580,22.6726,214.049,2000,passes=11
J200M5N1,2,15790,12210,3580,22.6726,214.091,2000,passes=11
J200M5N1,3,15790,12210,3580,22.6726,213.829,2000,passes=11
J200M5N1,4,15790,12210,3580,22.6726,213.902,2000,passes=11
J200M5N1,5,15790,12210,3580,22.6726,214.075,2000,passes=11
J200M10N1,1,16855,13978,2877,17.0691,419.532,2000,passes=12
J200M10N1,2,16855,13978,2877,17.0691,419.278,2000,passes=12
J200M10N1,3,16855,13978,2877,17.0691,420.215,2000,passes=12
J200M10N1,4,16855,13978,2877,17.0691,419.515,2000,passes=12
J200M10N1,5,16855,13978,2877,17.0691,420.634,2000,passes=12
J200M20N1,1,17521,15492,2029,11.5804,789.324,2000,passes=11
J200M20N1,2,17521,15492,2029,11.5804,788.6,2000,passes=11
J200M20N1,3,17521,15492,2029,11.5804,790.21,2000,passes=11
J200M20N1,4,17521,15492,2029,11.5804,791.841,2000,passes=11
J200M20N1,5,17521,15492,2029,11.5804,792.091,2000,passes=11
J500M5N1,1,38991,29629,9362,24.0107,2007.53,2000,passes=6
J500M5N1,2,38991,29629,9362,24.0107,2005,2000,passes=6
J500M5N1,3,38991,29629,9362,24.0107,2004.51,2000,passes=6
J500M5N1,4,38991,29629,9362,24.0107,2005.01,2000,passes=6
J500M5N1,5,38991,29629,9362,24.0107,2008.12,2000,passes=6
J500M10N1,1,41294,34170,7124,17.2519,2458.77,2000,passes=4
J500M10N1,2,41294,34170,7124,17.2519,2466.66,2000,passes=4
J500M10N1,3,41294,34170,7124,17.2519,2451.49,2000,passes=4
J500M10N1,4,41294,34170,7124,17.2519,2457.19,2000,passes=4
J500M10N1,5,41294,34170,7124,17.2519,2451.31,2000,passes=4
J500M20N1,1,43146,38314,4832,11.1992,2441.47,2000,passes=2
J500M20N1,2,43146,38314,4832,11.1992,2440.28,2000,passes=2
J500M20N1,3,43146,38314,4832,11.1992,2439.73,2000,passes=2
J500M20N1,4,43146,38314,4832,11.1992,2438.29,2000,passes=2
J500M20N1,5,43146,38314,4832,11.1992,2439.49,2000,passes=2
