instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1426,402,21.9912,0.083476,2000,passes=4
J20M5N1,2,1828,1426,402,21.9912,0.053268,2000,passes=4
J20M5N1,3,1828,1426,402,21.9912,0.051031,2000,passes=4
J20M5N1,4,1828,1426,402,21.9912,0.050348,2000,passes=4
J20M5N1,5,1828,1426,402,21.9912,0.048826,2000,passes=4
J20M10N1,1,2140,1736,404,18.8785,0.060779,2000,passes=3
J20M10N1,2,2140,1736,404,18.8785,0.056806,2000,passes=3
J20M10N1,3,2140,1736,404,18.8785,0.055331,2000,passes=3
J20M10N1,4,2140,1736,404,18.8785,0.054199,2000,passes=3
J20M10N1,5,2140,1736,404,18.8785,0.053405,2000,passes=3
J20M20N1,1,2974,2497,477,16.039,0.142439,2000,passes=4
J20M20N1,2,2974,2497,477,16.039,0.132901,2000,passes=4
J20M20N1,3,2974,2497,477,16.039,0.130864,2000,passes=4
J20M20N1,4,2974,2497,477,16.039,0.12988,2000,passes=4
J20M20N1,5,2974,2497,477,16.039,0.129823,2000,passes=4
J50M5N1,1,3975,3256,719,18.0881,0.350191,2000,passes=4
J50M5N1,2,3975,3256,719,18.0881,0.331055,2000,passes=4
J50M5N1,3,3975,3256,719,18.0881,0.329787,2000,passes=4
J50M5N1,4,3975,3256,719,18.0881,0.336688,2000,passes=4
J50M5N1,5,3975,3256,719,18.0881,0.330174,2000,passes=4
J50M10N1,1,4711,3844,867,18.4037,0.748815,2000,passes=6
J50M10N1,2,4711,3844,867,18.4037,0.74235,2000,passes=6
J50M10N1,3,4711,3844,867,18.4037,0.74327,2000,passes=6
J50M10N1,4,4711,3844,867,18.4037,0.743101,2000,passes=6
J50M10N1,5,4711,3844,867,18.4037,0.743092,2000,passes=6
J50M20N1,1,5504,4816,688,12.5,1.01926,2000,passes=5
J50M20N1,2,5504,4816,688,12.5,1.01614,2000,passes=5
J50M20N1,3,5504,4816,688,12.5,1.01393,2000,passes=5
J50M20N1,4,5504,4816,688,12.5,1.01357,2000,passes=5
J50M20N1,5,5504,4816,688,12.5,1.01531,2000,passes=5
J100M5N1,1,8059,6597,1462,18.1412,1.57408,2000,passes=5
J100M5N1,2,8059,6597,1462,18.1412,1.56063,2000,passes=5
J100M5N1,3,8059,6597,1462,18.1412,1.57588,2000,passes=5
J100M5N1,4,8059,6597,1462,18.1412,1.57534,2000,passes=5
J100M5N1,5,8059,6597,1462,18.1412,1.5653,2000,passes=5
J100M10N1,1,8854,7508,1346,15.2022,1.94471,2000,passes=4
J100M10N1,2,8854,7508,1346,15.2022,2.02151,2000,passes=4
J100M10N1,3,8854,7508,1346,15.2022,1.96868,2000,passes=4
J100M10N1,4,8854,7508,1346,15.2022,1.9505,2000,passes=4
J100M10N1,5,8854,7508,1346,15.2022,1.96363,2000,passes=4
J100M20N1,1,9596,8231,1365,14.2247,6.23266,2000,passes=7
J100M20N1,2,9596,8231,1365,14.2247,6.22389,2000,passes=7
J100M20N1,3,9596,8231,1365,14.2247,6.23266,2000,passes=7
J100M20N1,4,9596,8231,1365,14.2247,6.21421,2000,passes=7
J100M20N1,5,9596,8231,1365,14.2247,6.24248,2000,passes=7
J200M5N1,1,15790,12590,3200,20.266,10.9052,2000,passes=8
J200M5N1,2,15790,12590,3200,20.266,10.8231,2000,passes=8
J200M5N1,3,15790,12590,3200,20.266,10.9245,2000,passes=8
J200M5N1,4,15790,12590,3200,20.266,10.9261,2000,passes=8
J200M5N1,5,15790,12590,3200,20.266,10.869,2000,passes=8
J200M10N1,1,16855,14095,2760,16.375,15.2507,2000,passes=8
J200M10N1,2,16855,14095,2760,16.375,15.2645,2000,passes=8
J200M10N1,3,16855,14095,2760,16.375,15.2458,2000,passes=8
J200M10N1,4,16855,14095,2760,16.375,15.2444,2000,passes=8
J200M10N1,5,16855,14095,2760,16.375,15.2247,2000,passes=8
J200M20N1,1,17521,15521,2000,11.4149,31.8095,2000,passes=10
J200M20N1,2,17521,15521,2000,11.4149,31.9067,2000,passes=10
J200M20N1,3,17521,15521,2000,11.4149,31.8334,2000,passes=10
J200M20N1,4,17521,15521,2000,11.4149,31.8289,2000,passes=10
J200M20N1,5,17521,15521,2000,11.4149,31.8884,2000,passes=10
J500M5N1,1,38991,31186,7805,20.0174,55.2625,2000,passes=7
J500M5N1,2,38991,31186,7805,20.0174,55.1899,2000,passes=7
J500M5N1,3,38991,31186,7805,20.0174,55.2325,2000,passes=7
J500M5N1,4,38991,31186,7805,20.0174,55.336,2000,passes=7
J500M5N1,5,38991,31186,7805,20.0174,55.0792,2000,passes=7
J500M10N1,1,41294,34806,6488,15.7117,151.124,2000,passes=12
J500M10N1,2,41294,34806,6488,15.7117,151.044,2000,passes=12
J500M10N1,3,41294,34806,6488,15.7117,151.245,2000,passes=12
J500M10N1,4,41294,34806,6488,15.7117,151.113,2000,passes=12
J500M10N1,5,41294,34806,6488,15.7117,151.047,2000,passes=12
J500M20N1,1,43146,38304,4842,11.2224,187.701,2000,passes=9
J500M20N1,2,43146,38304,4842,11.2224,187.323,2000,passes=9
J500M20N1,3,43146,38304,4842,11.2224,187.757,2000,passes=9
J500M20N1,4,43146,38304,4842,11.2224,187.116,2000,passes=9
J500M20N1,5,43146,38304,4842,11.2224,187.838,2000,passes=9
