instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1447,381,20.8425,0.092891,2000,passes=4
J20M5N1,2,1828,1447,381,20.8425,0.108192,2000,passes=4
J20M5N1,3,1828,1447,381,20.8425,0.10681,2000,passes=4
J20M5N1,4,1828,1447,381,20.8425,0.092447,2000,passes=4
J20M5N1,5,1828,1447,381,20.8425,0.092698,2000,passes=4
J20M10N1,1,2140,1931,209,9.76636,0.121673,2000,passes=3
J20M10N1,2,2140,1931,209,9.76636,0.1698,2000,passes=3
J20M10N1,3,2140,1931,209,9.76636,0.120991,2000,passes=3
J20M10N1,4,2140,1931,209,9.76636,0.121007,2000,passes=3
J20M10N1,5,2140,1931,209,9.76636,0.120932,2000,passes=3
J20M20N1,1,2974,2553,421,14.156,0.331311,2000,passes=4
J20M20N1,2,2974,2553,421,14.156,0.331226,2000,passes=4
J20M20N1,3,2974,2553,421,14.156,0.35564,2000,passes=4
J20M20N1,4,2974,2553,421,14.156,0.330691,2000,passes=4
J20M20N1,5,2974,2553,421,14.156,0.330862,2000,passes=4
J50M5N1,1,3975,3141,834,20.9811,3.15153,2000,passes=8
J50M5N1,2,3975,3141,834,20.9811,3.14791,2000,passes=8
J50M5N1,3,3975,3141,834,20.9811,3.1495,2000,passes=8
J50M5N1,4,3975,3141,834,20.9811,3.14318,2000,passes=8
J50M5N1,5,3975,3141,834,20.9811,3.14766,2000,passes=8
J50M10N1,1,4711,3996,715,15.1772,3.57432,2000,passes=5
J50M10N1,2,4711,3996,715,15.1772,3.55714,2000,passes=5
J50M10N1,3,4711,3996,715,15.1772,3.55716,2000,passes=5
J50M10N1,4,4711,3996,715,15.1772,3.55242,2000,passes=5
J50M10N1,5,4711,3996,715,15.1772,3.55995,2000,passes=5
J50M20N1,1,5504,4782,722,13.1177,11.0712,2000,passes=8
J50M20N1,2,5504,4782,722,13.1177,11.0719,2000,passes=8
J50M20N1,3,5504,4782,722,13.1177,11.0769,2000,passes=8
J50M20N1,4,5504,4782,722,13.1177,11.0877,2000,passes=8
J50M20N1,5,5504,4782,722,13.1177,11.0699,2000,passes=8
J100M5N1,1,8059,6386,1673,20.7594,37.4264,2000,passes=12
J100M5N1,2,8059,6386,1673,20.7594,37.6864,2000,passes=12
J100M5N1,3,8059,6386,1673,20.7594,37.4519,2000,passes=12
J100M5N1,4,8059,6386,1673,20.7594,37.4374,2000,passes=12
J100M5N1,5,8059,6386,1673,20.7594,37.4431,2000,passes=12
J100M10N1,1,8854,7334,1520,17.1674,51.5462,2000,passes=9
J100M10N1,2,8854,7334,1520,17.1674,51.5642,2000,passes=9
J100M10N1,3,8854,7334,1520,17.1674,51.9743,2000,passes=9
J100M10N1,4,8854,7334,1520,17.1674,51.5165,2000,passes=9
J100M10N1,5,8854,7334,1520,17.1674,51.5742,2000,passes=9
J100M20N1,1,9596,8360,1236,12.8804,123.694,2000,passes=9
J100M20N1,2,9596,8360,1236,12.8804,123.694,2000,passes=9
J100M20N1,3,9596,8360,1236,12.8804,124.205,2000,passes=9
J100M20N1,4,9596,8360,1236,12.8804,132.237,2000,passes=9
J100M20N1,5,9596,8360,1236,12.8804,124.364,2000,passes=9
J200M5N1,1,15790,12228,3562,22.5586,380.032,2000,passes=13
J200M5N1,2,15790,12228,3562,22.5586,380.205,2000,passes=13
J200M5N1,3,15790,12228,3562,22.5586,381.161,2000,passes=13
J200M5N1,4,15790,12228,3562,22.5586,381.575,2000,passes=13
J200M5N1,5,15790,12228,3562,22.5586,380.177,2000,passes=13
J200M10N1,1,16855,13967,2888,17.1344,585.46,2000,passes=11
J200M10N1,2,16855,13967,2888,17.1344,584.947,2000,passes=11
J200M10N1,3,16855,13967,2888,17.1344,585.3,2000,passes=11
J200M10N1,4,16855,13967,2888,17.1344,584.245,2000,passes=11
J200M10N1,5,16855,13967,2888,17.1344,584.463,2000,passes=11
J200M20N1,1,17521,15350,2171,12.3908,1833.72,2000,passes=17
J200M20N1,2,17521,15350,2171,12.3908,1832.75,2000,passes=17
J200M20N1,3,17521,15350,2171,12.3908,1831.92,2000,passes=17
J200M20N1,4,17521,15350,2171,12.3908,1830.84,2000,passes=17
J200M20N1,5,17521,15350,2171,12.3908,1827.57,2000,passes=17
J500M5N1,1,38991,29798,9193,23.5772,2490.12,2000,passes=5
J500M5N1,2,38991,29798,9193,23.5772,2486.42,2000,passes=5
J500M5N1,3,38991,29798,9193,23.5772,2491.14,2000,passes=5
J500M5N1,4,38991,29798,9193,23.5772,2487.1,2000,passes=5
J500M5N1,5,38991,29798,9193,23.5772,2485.67,2000,passes=5
J500M10N1,1,41294,34442,6852,16.5932,2754.22,2000,passes=3
J500M10N1,2,41294,34442,6852,16.5932,2745.56,2000,passes=3
J500M10N1,3,41294,34442,6852,16.5932,2747.07,2000,passes=3
J500M10N1,4,41294,34442,6852,16.5932,2748.03,2000,passes=3
J500M10N1,5,41294,34442,6852,16.5932,2749.52,2000,passes=3
J500M20N1,1,43146,38298,4848,11.2363,3756.39,2000,passes=2
J500M20N1,2,43146,38298,4848,11.2363,3758.09,2000,passes=2
J500M20N1,3,43146,38298,4848,11.2363,3757.25,2000,passes=2
J500M20N1,4,43146,38298,4848,11.2363,3758.06,2000,passes=2
J500M20N1,5,43146,38298,4848,11.2363,3755.93,2000,passes=2
