instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1511,317,17.3414,0.107598,2000,passes=2
J20M5N1,2,1828,1511,317,17.3414,0.097928,2000,passes=2
J20M5N1,3,1828,1511,317,17.3414,0.105691,2000,passes=2
J20M5N1,4,1828,1511,317,17.3414,0.103262,2000,passes=2
J20M5N1,5,1828,1511,317,17.3414,0.084827,2000,passes=2
J20M10N1,1,2140,1821,319,14.9065,0.136631,2000,passes=2
J20M10N1,2,2140,1821,319,14.9065,0.136143,2000,passes=2
J20M10N1,3,2140,1821,319,14.9065,0.135911,2000,passes=2
J20M10N1,4,2140,1821,319,14.9065,0.136288,2000,passes=2
J20M10N1,5,2140,1821,319,14.9065,0.165602,2000,passes=2
J20M20N1,1,2974,2515,459,15.4338,0.278914,2000,passes=2
J20M20N1,2,2974,2515,459,15.4338,0.277425,2000,passes=2
J20M20N1,3,2974,2515,459,15.4338,0.289424,2000,passes=2
J20M20N1,4,2974,2515,459,15.4338,0.277285,2000,passes=2
J20M20N1,5,2974,2515,459,15.4338,0.277168,2000,passes=2
J50M5N1,1,3975,3218,757,19.044,1.44565,2000,passes=2
J50M5N1,2,3975,3218,757,19.044,1.44616,2000,passes=2
J50M5N1,3,3975,3218,757,19.044,1.46193,2000,passes=2
J50M5N1,4,3975,3218,757,19.044,1.44727,2000,passes=2
J50M5N1,5,3975,3218,757,19.044,1.44648,2000,passes=2
J50M10N1,1,4711,3805,906,19.2316,5.26857,2000,passes=2
J50M10N1,2,4711,3805,906,19.2316,5.2557,2000,passes=2
J50M10N1,3,4711,3805,906,19.2316,5.25336,2000,passes=2
J50M10N1,4,4711,3805,906,19.2316,5.30745,2000,passes=2
J50M10N1,5,4711,3805,906,19.2316,5.25125,2000,passes=2
J50M20N1,1,5504,4852,652,11.8459,6.19983,2000,passes=2
J50M20N1,2,5504,4852,652,11.8459,6.204,2000,passes=2
J50M20N1,3,5504,4852,652,11.8459,6.19122,2000,passes=2
J50M20N1,4,5504,4852,652,11.8459,6.20179,2000,passes=2
J50M20N1,5,5504,4852,652,11.8459,6.18885,2000,passes=2
J100M5N1,1,8059,6490,1569,19.4689,13.3228,2000,passes=2
J100M5N1,2,8059,6490,1569,19.4689,13.3071,2000,passes=2
J100M5N1,3,8059,6490,1569,19.4689,13.3025,2000,passes=2
J100M5N1,4,8059,6490,1569,19.4689,13.5201,2000,passes=2
J100M5N1,5,8059,6490,1569,19.4689,13.323,2000,passes=2
J100M10N1,1,8854,7489,1365,15.4168,33.1883,2000,passes=2
J100M10N1,2,8854,7489,1365,15.4168,33.1059,2000,passes=2
J100M10N1,3,8854,7489,1365,15.4168,33.1137,2000,passes=2
J100M10N1,4,8854,7489,1365,15.4168,33.1434,2000,passes=2
J100M10N1,5,8854,7489,1365,15.4168,33.1053,2000,passes=2
J100M20N1,1,9596,8321,1275,13.2868,65.1282,2000,passes=2
J100M20N1,2,9596,8321,1275,13.2868,64.9943,2000,passes=2
J100M20N1,3,9596,8321,1275,13.2868,65.0836,2000,passes=2
J100M20N1,4,9596,8321,1275,13.2868,65.7714,2000,passes=2
J100M20N1,5,9596,8321,1275,13.2868,65.0368,2000,passes=2
J200M5N1,1,15790,12355,3435,21.7543,174.913,2000,passes=2
J200M5N1,2,15790,12355,3435,21.7543,174.604,2000,passes=2
J200M5N1,3,15790,12355,3435,21.7543,175.317,2000,passes=2
J200M5N1,4,15790,12355,3435,21.7543,174.87,2000,passes=2
J200M5N1,5,15790,12355,3435,21.7543,175.373,2000,passes=2
J200M10N1,1,16855,13892,2963,17.5794,479.83,2000,passes=2
J200M10N1,2,16855,13892,2963,17.5794,477.247,2000,passes=2
J200M10N1,3,16855,13892,2963,17.5794,477.211,2000,passes=2
J200M10N1,4,16855,13892,2963,17.5794,477.286,2000,passes=2
J200M10N1,5,16855,13892,2963,17.5794,476.762,2000,passes=2
J200M20N1,1,17521,15375,2146,12.2482,793.662,2000,passes=2
J200M20N1,2,17521,15375,2146,12.2482,793.214,2000,passes=2
J200M20N1,3,17521,15375,2146,12.2482,796.33,2000,passes=2
J200M20N1,4,17521,15375,2146,12.2482,796.023,2000,passes=2
J200M20N1,5,17521,15375,2146,12.2482,795.519,2000,passes=2
J500M5N1,1,38991,29576,9415,24.1466,2668.96,2000,passes=1
J500M5N1,2,38991,29576,9415,24.1466,2672.19,2000,passes=1
J500M5N1,3,38991,29576,9415,24.1466,2672.23,2000,passes=1
J500M5N1,4,38991,29576,9415,24.1466,2676.27,2000,passes=1
J500M5N1,5,38991,29576,9415,24.1466,2672.19,2000,passes=1
J500M10N1,1,41294,33352,7942,19.2328,11055.9,2000,passes=1
J500M10N1,2,41294,33352,7942,19.2328,11011.2,2000,passes=1
J500M10N1,3,41294,33352,7942,19.2328,11017,2000,passes=1
J500M10N1,4,41294,33352,7942,19.2328,10993.7,2000,passes=1
J500M10N1,5,41294,33352,7942,19.2328,11005.6,2000,passes=1
J500M20N1,1,43146,37135,6011,13.9318,21321.6,2000,passes=1
J500M20N1,2,43146,37135,6011,13.9318,21385.7,2000,passes=1
J500M20N1,3,43146,37135,6011,13.9318,21341.6,2000,passes=1
J500M20N1,4,43146,37135,6011,13.9318,20764.5,2000,passes=1
J500M20N1,5,43146,37135,6011,13.9318,19916.5,2000,passes=1
