instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1374,454,24.8359,2000,2000,iters=760334 final_T=2.090073 current_cost=1374
J20M5N1,2,1828,1374,454,24.8359,2000.01,2000,iters=772275 final_T=2.064229 current_cost=1381
J20M5N1,3,1828,1374,454,24.8359,2000.01,2000,iters=765240 final_T=2.079377 current_cost=1379
J20M5N1,4,1828,1374,454,24.8359,2000.01,2000,iters=754413 final_T=2.103129 current_cost=1374
J20M5N1,5,1828,1374,454,24.8359,2000,2000,iters=743213 final_T=2.128278 current_cost=1374
J20M10N1,1,2140,1698,442,20.6542,2000,2000,iters=655624 final_T=2.348591 current_cost=1701
J20M10N1,2,2140,1698,442,20.6542,2000.01,2000,iters=599489 final_T=2.514962 current_cost=1713
J20M10N1,3,2140,1698,442,20.6542,2000.01,2000,iters=602717 final_T=2.504759 current_cost=1701
J20M10N1,4,2140,1698,442,20.6542,2000,2000,iters=608310 final_T=2.487275 current_cost=1701
J20M10N1,5,2140,1698,442,20.6542,2000.01,2000,iters=606570 final_T=2.492688 current_cost=1705
J20M20N1,1,2974,2436,538,18.0901,2000.01,2000,iters=354379 final_T=3.621770 current_cost=2449
J20M20N1,2,2974,2436,538,18.0901,2000.01,2000,iters=362286 final_T=3.570568 current_cost=2442
J20M20N1,3,2974,2436,538,18.0901,2000.01,2000,iters=362640 final_T=3.568309 current_cost=2445
J20M20N1,4,2974,2436,538,18.0901,2000.01,2000,iters=361368 final_T=3.576438 current_cost=2442
J20M20N1,5,2974,2436,538,18.0901,2000.01,2000,iters=364688 final_T=3.555299 current_cost=2463
J50M5N1,1,3975,3030,945,23.7736,2000.02,2000,iters=195300 final_T=4.980760 current_cost=3074
J50M5N1,2,3975,3030,945,23.7736,2000.02,2000,iters=199955 final_T=4.923901 current_cost=3102
J50M5N1,3,3975,3030,945,23.7736,2000.02,2000,iters=204704 final_T=4.867216 current_cost=3095
J50M5N1,4,3975,3030,945,23.7736,2000.02,2000,iters=197738 final_T=4.950818 current_cost=3102
J50M5N1,5,3975,3030,945,23.7736,2000.02,2000,iters=198089 final_T=4.946537 current_cost=3094
J50M10N1,1,4711,3682,1029,21.8425,2000.02,2000,iters=174815 final_T=5.346226 current_cost=3747
J50M10N1,2,4711,3682,1029,21.8425,2000.02,2000,iters=182932 final_T=5.232640 current_cost=3770
J50M10N1,3,4711,3682,1029,21.8425,2000.02,2000,iters=181339 final_T=5.254549 current_cost=3732
J50M10N1,4,4711,3682,1029,21.8425,2000.02,2000,iters=179902 final_T=5.274471 current_cost=3768
J50M10N1,5,4711,3682,1029,21.8425,2000.02,2000,iters=182000 final_T=5.245436 current_cost=3791
J50M20N1,1,5504,4560,944,17.1512,2000.01,2000,iters=145438 final_T=5.905447 current_cost=4643
J50M20N1,2,5504,4560,944,17.1512,2000.03,2000,iters=146811 final_T=5.881506 current_cost=4631
J50M20N1,3,5504,4560,944,17.1512,2000.03,2000,iters=146322 final_T=5.890010 current_cost=4600
J50M20N1,4,5504,4560,944,17.1512,2000.03,2000,iters=147934 final_T=5.862067 current_cost=4642
J50M20N1,5,5504,4560,944,17.1512,2000.03,2000,iters=147247 final_T=5.873943 current_cost=4649
J100M5N1,1,8059,6335,1724,21.3922,2000.03,2000,iters=100342 final_T=6.790999 current_cost=6500
J100M5N1,2,8059,6335,1724,21.3922,2000.03,2000,iters=104435 final_T=6.697597 current_cost=6448
J100M5N1,3,8059,6335,1724,21.3922,2000.04,2000,iters=104557 final_T=6.694853 current_cost=6494
J100M5N1,4,8059,6335,1724,21.3922,2000.04,2000,iters=104140 final_T=6.704243 current_cost=6463
J100M5N1,5,8059,6335,1724,21.3922,2000.03,2000,iters=103151 final_T=6.726620 current_cost=6485
J100M10N1,1,8854,7245,1609,18.1726,2000.03,2000,iters=80546 final_T=7.312269 current_cost=7317
J100M10N1,2,8854,7245,1609,18.1726,2000.05,2000,iters=81164 final_T=7.295717 current_cost=7350
J100M10N1,3,8854,7245,1609,18.1726,2000.04,2000,iters=81237 final_T=7.293767 current_cost=7329
J100M10N1,4,8854,7245,1609,18.1726,2000.05,2000,iters=81540 final_T=7.285683 current_cost=7301
J100M10N1,5,8854,7245,1609,18.1726,2000.05,2000,iters=81672 final_T=7.282167 current_cost=7334
J100M20N1,1,9596,8031,1565,16.3089,2000.03,2000,iters=64418 final_T=7.495481 current_cost=8110
J100M20N1,2,9596,8031,1565,16.3089,2000.04,2000,iters=64523 final_T=7.492537 current_cost=8108
J100M20N1,3,9596,8031,1565,16.3089,2000.04,2000,iters=64875 final_T=7.482683 current_cost=8188
J100M20N1,4,9596,8031,1565,16.3089,2000.05,2000,iters=64408 final_T=7.495761 current_cost=8118
J100M20N1,5,9596,8031,1565,16.3089,2000.05,2000,iters=64802 final_T=7.484724 current_cost=8137
J200M5N1,1,15790,12475,3315,20.9943,2000.06,2000,iters=47556 final_T=8.200110 current_cost=12634
J200M5N1,2,15790,12475,3315,20.9943,2000.05,2000,iters=47587 final_T=8.199066 current_cost=12632
J200M5N1,3,15790,12475,3315,20.9943,2000.09,2000,iters=46848 final_T=8.224033 current_cost=12699
J200M5N1,4,15790,12475,3315,20.9943,2000.07,2000,iters=47117 final_T=8.214928 current_cost=12705
J200M5N1,5,15790,12475,3315,20.9943,2000.05,2000,iters=47143 final_T=8.214048 current_cost=12669
J200M10N1,1,16855,13942,2913,17.2827,2000.06,2000,iters=47068 final_T=8.120696 current_cost=14113
J200M10N1,2,16855,13942,2913,17.2827,2000.06,2000,iters=48166 final_T=8.084636 current_cost=14191
J200M10N1,3,16855,13942,2913,17.2827,2000.07,2000,iters=47688 final_T=8.100295 current_cost=14262
J200M10N1,4,16855,13942,2913,17.2827,2000.07,2000,iters=45930 final_T=8.158410 current_cost=14214
J200M10N1,5,16855,13942,2913,17.2827,2000.07,2000,iters=48178 final_T=8.084244 current_cost=14209
J200M20N1,1,17521,15314,2207,12.5963,2000.05,2000,iters=36454 final_T=8.311493 current_cost=15513
J200M20N1,2,17521,15314,2207,12.5963,2000.07,2000,iters=36386 final_T=8.313837 current_cost=15437
J200M20N1,3,17521,15314,2207,12.5963,2000.1,2000,iters=36195 final_T=8.320427 current_cost=15426
J200M20N1,4,17521,15314,2207,12.5963,2000.08,2000,iters=36162 final_T=8.321567 current_cost=15443
J200M20N1,5,17521,15314,2207,12.5963,2000.1,2000,iters=35413 final_T=8.347520 current_cost=15429
J500M5N1,1,38991,30800,8191,21.0074,2000.16,2000,iters=21460 final_T=9.060877 current_cost=31091
J500M5N1,2,38991,30800,8191,21.0074,2000.12,2000,iters=22180 final_T=9.031406 current_cost=31060
J500M5N1,3,38991,30800,8191,21.0074,2000.12,2000,iters=21895 final_T=9.043049 current_cost=31177
J500M5N1,4,38991,30800,8191,21.0074,2000.11,2000,iters=21851 final_T=9.044849 current_cost=31101
J500M5N1,5,38991,30800,8191,21.0074,2000.19,2000,iters=21906 final_T=9.042599 current_cost=31174
J500M10N1,1,41294,34451,6843,16.5714,2000.08,2000,iters=17789 final_T=9.161886 current_cost=34777
J500M10N1,2,41294,34451,6843,16.5714,2000.12,2000,iters=18381 final_T=9.137114 current_cost=34671
J500M10N1,3,41294,34451,6843,16.5714,2000.16,2000,iters=18325 final_T=9.139452 current_cost=34626
J500M10N1,4,41294,34451,6843,16.5714,2000.21,2000,iters=18388 final_T=9.136822 current_cost=34673
J500M10N1,5,41294,34451,6843,16.5714,2000.13,2000,iters=18403 final_T=9.136196 current_cost=34667
J500M20N1,1,43146,37648,5498,12.7428,2000.17,2000,iters=14447 final_T=9.262257 current_cost=37844
J500M20N1,2,43146,37770,5376,12.46,2000.25,2000,iters=10965 final_T=9.413936 current_cost=37930
J500M20N1,3,43146,37770,5376,12.46,2000.31,2000,iters=10937 final_T=9.415176 current_cost=37926
J500M20N1,4,43146,37770,5376,12.46,2000.26,2000,iters=10913 final_T=9.416239 current_cost=37906
J500M20N1,5,43146,37770,5376,12.46,2000.15,2000,iters=10930 final_T=9.415486 current_cost=37902
