instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1444,384,21.0066,0.193937,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M5N1,2,1828,1444,384,21.0066,0.135195,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M5N1,3,1828,1444,384,21.0066,0.130713,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M5N1,4,1828,1444,384,21.0066,0.131152,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M5N1,5,1828,1444,384,21.0066,0.132174,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M10N1,1,2140,1704,436,20.3738,0.205903,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M10N1,2,2140,1704,436,20.3738,0.199266,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M10N1,3,2140,1704,436,20.3738,0.197268,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M10N1,4,2140,1704,436,20.3738,0.195817,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M10N1,5,2140,1704,436,20.3738,0.225474,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M20N1,1,2974,2582,392,13.1809,0.319943,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M20N1,2,2974,2582,392,13.1809,0.307856,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M20N1,3,2974,2582,392,13.1809,0.304389,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M20N1,4,2974,2582,392,13.1809,0.311763,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J20M20N1,5,2974,2582,392,13.1809,0.304135,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M5N1,1,3975,3223,752,18.9182,1.0898,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M5N1,2,3975,3223,752,18.9182,1.08116,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M5N1,3,3975,3223,752,18.9182,1.07405,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M5N1,4,3975,3223,752,18.9182,1.07689,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M5N1,5,3975,3223,752,18.9182,1.06806,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M10N1,1,4711,3867,844,17.9155,1.80312,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M10N1,2,4711,3867,844,17.9155,1.79734,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M10N1,3,4711,3867,844,17.9155,1.79099,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M10N1,4,4711,3867,844,17.9155,1.79177,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M10N1,5,4711,3867,844,17.9155,1.78728,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M20N1,1,5504,4794,710,12.8997,3.2895,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M20N1,2,5504,4794,710,12.8997,3.27826,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M20N1,3,5504,4794,710,12.8997,3.27369,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M20N1,4,5504,4794,710,12.8997,3.25688,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J50M20N1,5,5504,4794,710,12.8997,3.25794,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M5N1,1,8059,6536,1523,18.8981,6.52918,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M5N1,2,8059,6536,1523,18.8981,6.51038,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M5N1,3,8059,6536,1523,18.8981,6.52066,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M5N1,4,8059,6536,1523,18.8981,6.49181,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M5N1,5,8059,6536,1523,18.8981,6.48774,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M10N1,1,8854,7412,1442,16.2864,12.2322,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M10N1,2,8854,7412,1442,16.2864,12.2103,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M10N1,3,8854,7412,1442,16.2864,13.1795,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M10N1,4,8854,7412,1442,16.2864,12.3889,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M10N1,5,8854,7412,1442,16.2864,12.192,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M20N1,1,9596,8314,1282,13.3597,24.8282,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M20N1,2,9596,8314,1282,13.3597,24.7526,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M20N1,3,9596,8314,1282,13.3597,24.7186,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M20N1,4,9596,8314,1282,13.3597,24.7267,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J100M20N1,5,9596,8314,1282,13.3597,24.7647,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M5N1,1,15790,12749,3041,19.259,48.4024,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M5N1,2,15790,12749,3041,19.259,47.8078,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M5N1,3,15790,12749,3041,19.259,47.8584,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M5N1,4,15790,12749,3041,19.259,47.905,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M5N1,5,15790,12749,3041,19.259,47.5982,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M10N1,1,16855,14180,2675,15.8707,98.9443,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M10N1,2,16855,14180,2675,15.8707,98.8603,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M10N1,3,16855,14180,2675,15.8707,99.003,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M10N1,4,16855,14180,2675,15.8707,98.8806,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M10N1,5,16855,14180,2675,15.8707,98.3772,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J200M20N1,1,17521,15380,2141,12.2196,347.051,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=4
J200M20N1,2,17521,15380,2141,12.2196,347.385,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=4
J200M20N1,3,17521,15380,2141,12.2196,346.582,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=4
J200M20N1,4,17521,15380,2141,12.2196,347.389,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=4
J200M20N1,5,17521,15380,2141,12.2196,347.096,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=4
J500M5N1,1,38991,31073,7918,20.3073,735.897,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M5N1,2,38991,31073,7918,20.3073,736.545,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M5N1,3,38991,31073,7918,20.3073,736.767,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M5N1,4,38991,31073,7918,20.3073,738.722,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M5N1,5,38991,31073,7918,20.3073,736.089,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M10N1,1,41294,35274,6020,14.5784,1331.27,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M10N1,2,41294,35274,6020,14.5784,1332.73,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M10N1,3,41294,35274,6020,14.5784,1330.25,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M10N1,4,41294,35274,6020,14.5784,1337.36,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M10N1,5,41294,35274,6020,14.5784,1332.24,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M20N1,1,43146,38172,4974,11.5283,2698.43,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M20N1,2,43146,38172,4974,11.5283,2699.58,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M20N1,3,43146,38172,4974,11.5283,2711.96,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M20N1,4,43146,38172,4974,11.5283,2703.97,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
J500M20N1,5,43146,38172,4974,11.5283,2674.2,2000,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug; passes=2
