instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1400,428,23.4136,0.470421,2000,passes=2
J20M5N1,2,1828,1400,428,23.4136,0.576559,2000,passes=2
J20M5N1,3,1828,1400,428,23.4136,0.493611,2000,passes=2
J20M5N1,4,1828,1400,428,23.4136,0.425891,2000,passes=2
J20M5N1,5,1828,1400,428,23.4136,0.461556,2000,passes=2
J20M10N1,1,2140,1731,409,19.1121,0.686939,2000,passes=2
J20M10N1,2,2140,1731,409,19.1121,0.680084,2000,passes=2
J20M10N1,3,2140,1731,409,19.1121,0.651931,2000,passes=2
J20M10N1,4,2140,1731,409,19.1121,0.680221,2000,passes=2
J20M10N1,5,2140,1731,409,19.1121,0.683844,2000,passes=2
J20M20N1,1,2974,2523,451,15.1648,1.53117,2000,passes=2
J20M20N1,2,2974,2523,451,15.1648,1.51327,2000,passes=2
J20M20N1,3,2974,2523,451,15.1648,1.50592,2000,passes=2
J20M20N1,4,2974,2523,451,15.1648,1.50806,2000,passes=2
J20M20N1,5,2974,2523,451,15.1648,1.50181,2000,passes=2
J50M5N1,1,3975,3095,880,22.1384,13.6973,2000,passes=2
J50M5N1,2,3975,3095,880,22.1384,13.9334,2000,passes=2
J50M5N1,3,3975,3095,880,22.1384,13.6081,2000,passes=2
J50M5N1,4,3975,3095,880,22.1384,13.5996,2000,passes=2
J50M5N1,5,3975,3095,880,22.1384,13.6056,2000,passes=2
J50M10N1,1,4711,3810,901,19.1255,28.238,2000,passes=2
J50M10N1,2,4711,3810,901,19.1255,28.1662,2000,passes=2
J50M10N1,3,4711,3810,901,19.1255,28.464,2000,passes=2
J50M10N1,4,4711,3810,901,19.1255,28.2518,2000,passes=2
J50M10N1,5,4711,3810,901,19.1255,28.218,2000,passes=2
J50M20N1,1,5504,4792,712,12.936,20.9021,2000,passes=2
J50M20N1,2,5504,4792,712,12.936,20.8984,2000,passes=2
J50M20N1,3,5504,4792,712,12.936,20.9186,2000,passes=2
J50M20N1,4,5504,4792,712,12.936,20.9656,2000,passes=2
J50M20N1,5,5504,4792,712,12.936,20.8911,2000,passes=2
J100M5N1,1,8059,6375,1684,20.8959,175.679,2000,passes=2
J100M5N1,2,8059,6375,1684,20.8959,175.148,2000,passes=2
J100M5N1,3,8059,6375,1684,20.8959,175.649,2000,passes=2
J100M5N1,4,8059,6375,1684,20.8959,175.155,2000,passes=2
J100M5N1,5,8059,6375,1684,20.8959,174.936,2000,passes=2
J100M10N1,1,8854,7254,1600,18.0709,381.07,2000,passes=2
J100M10N1,2,8854,7254,1600,18.0709,371.362,2000,passes=2
J100M10N1,3,8854,7254,1600,18.0709,371.794,2000,passes=2
J100M10N1,4,8854,7254,1600,18.0709,372.078,2000,passes=2
J100M10N1,5,8854,7254,1600,18.0709,371.494,2000,passes=2
J100M20N1,1,9596,8146,1450,15.1105,704.577,2000,passes=2
J100M20N1,2,9596,8146,1450,15.1105,710.972,2000,passes=2
J100M20N1,3,9596,8146,1450,15.1105,710.674,2000,passes=2
J100M20N1,4,9596,8146,1450,15.1105,711.406,2000,passes=2
J100M20N1,5,9596,8146,1450,15.1105,709.258,2000,passes=2
J200M5N1,1,15790,12227,3563,22.5649,3783.12,2000,passes=1
J200M5N1,2,15790,12227,3563,22.5649,3811.87,2000,passes=1
J200M5N1,3,15790,12227,3563,22.5649,3819.14,2000,passes=1
J200M5N1,4,15790,12227,3563,22.5649,3823.59,2000,passes=1
J200M5N1,5,15790,12227,3563,22.5649,3801.52,2000,passes=1
J200M10N1,1,16855,13951,2904,17.2293,7156.01,2000,passes=1
J200M10N1,2,16855,13951,2904,17.2293,7116.68,2000,passes=1
J200M10N1,3,16855,13951,2904,17.2293,6387.84,2000,passes=1
J200M10N1,4,16855,13951,2904,17.2293,6222.32,2000,passes=1
J200M10N1,5,16855,13951,2904,17.2293,6214.45,2000,passes=1
J200M20N1,1,17521,15296,2225,12.699,10685.4,2000,passes=1
J200M20N1,2,17521,15296,2225,12.699,10665,2000,passes=1
J200M20N1,3,17521,15296,2225,12.699,10667.8,2000,passes=1
J200M20N1,4,17521,15296,2225,12.699,10659.4,2000,passes=1
J200M20N1,5,17521,15296,2225,12.699,10659,2000,passes=1
J500M5N1,1,38991,29540,9451,24.2389,196344,2000,passes=1
J500M5N1,2,38991,29540,9451,24.2389,196734,2000,passes=1
J500M5N1,3,38991,29540,9451,24.2389,196524,2000,passes=1
J500M5N1,4,38991,29540,9451,24.2389,196719,2000,passes=1
J500M5N1,5,38991,29540,9451,24.2389,196627,2000,passes=1
J500M10N1,1,41294,33542,7752,18.7727,334504,2000,passes=1
J500M10N1,2,41294,33542,7752,18.7727,333818,2000,passes=1
J500M10N1,3,41294,33542,7752,18.7727,335294,2000,passes=1
J500M10N1,4,41294,33542,7752,18.7727,334590,2000,passes=1
J500M10N1,5,41294,33542,7752,18.7727,334274,2000,passes=1
J500M20N1,1,43146,37184,5962,13.8182,542371,2000,passes=1
J500M20N1,2,43146,37184,5962,13.8182,552210,2000,passes=1
J500M20N1,3,43146,37184,5962,13.8182,560593,2000,passes=1
J500M20N1,4,43146,37184,5962,13.8182,540049,2000,passes=1
J500M20N1,5,43146,37184,5962,13.8182,547231,2000,passes=1
