instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J20M5N1,1,1828,1444,384,21.0066,0.158565,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M5N1,2,1828,1444,384,21.0066,0.167993,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M5N1,3,1828,1444,384,21.0066,0.195338,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M5N1,4,1828,1444,384,21.0066,0.183144,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M5N1,5,1828,1444,384,21.0066,0.137465,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M10N1,1,2140,1704,436,20.3738,0.232315,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M10N1,2,2140,1704,436,20.3738,0.258231,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M10N1,3,2140,1704,436,20.3738,0.230517,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M10N1,4,2140,1704,436,20.3738,0.260788,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M10N1,5,2140,1704,436,20.3738,0.36736,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M20N1,1,2974,2582,392,13.1809,0.451308,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M20N1,2,2974,2582,392,13.1809,0.531325,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M20N1,3,2974,2582,392,13.1809,0.449585,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M20N1,4,2974,2582,392,13.1809,0.457143,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J20M20N1,5,2974,2582,392,13.1809,0.465119,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J50M5N1,1,3975,3223,752,18.9182,1.36816,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J50M5N1,2,3975,3223,752,18.9182,1.38239,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J50M5N1,3,3975,3223,752,18.9182,1.36198,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J50M5N1,4,3975,3223,752,18.9182,1.35863,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J50M5N1,5,3975,3223,752,18.9182,1.37309,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
