instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1710,118,6.45514,0.022666,
J20M5N1,2,1828,1710,118,6.45514,0.021916,
J20M5N1,3,1828,1710,118,6.45514,0.02146,
J20M5N1,4,1828,1710,118,6.45514,0.021303,
J20M5N1,5,1828,1710,118,6.45514,0.021249,
J20M10N1,1,2140,2036,104,4.85981,0.067056,
J20M10N1,2,2140,2036,104,4.85981,0.066249,
J20M10N1,3,2140,2036,104,4.85981,0.06692,
J20M10N1,4,2140,2036,104,4.85981,0.067911,
J20M10N1,5,2140,2036,104,4.85981,0.066983,
J20M20N1,1,2974,2858,116,3.90047,0.150329,
J20M20N1,2,2974,2858,116,3.90047,0.14948,
J20M20N1,3,2974,2858,116,3.90047,0.145926,
J20M20N1,4,2974,2858,116,3.90047,0.143945,
J20M20N1,5,2974,2858,116,3.90047,0.159648,
J50M5N1,1,3975,3868,107,2.69182,0.358409,
J50M5N1,2,3975,3868,107,2.69182,0.339966,
J50M5N1,3,3975,3868,107,2.69182,0.290407,
J50M5N1,4,3975,3868,107,2.69182,0.28991,
J50M5N1,5,3975,3868,107,2.69182,0.300367,
J50M10N1,1,4711,4549,162,3.43876,0.539864,
J50M10N1,2,4711,4549,162,3.43876,0.529639,
J50M10N1,3,4711,4549,162,3.43876,0.596559,
J50M10N1,4,4711,4549,162,3.43876,0.660022,
J50M10N1,5,4711,4549,162,3.43876,0.555028,
J50M20N1,1,5504,5370,134,2.43459,1.04117,
J50M20N1,2,5504,5370,134,2.43459,1.03919,
J50M20N1,3,5504,5370,134,2.43459,1.04363,
J50M20N1,4,5504,5370,134,2.43459,1.0406,
J50M20N1,5,5504,5370,134,2.43459,1.04074,
J100M5N1,1,8059,7919,140,1.73719,2.19698,
J100M5N1,2,8059,7919,140,1.73719,2.25919,
J100M5N1,3,8059,7919,140,1.73719,2.18569,
J100M5N1,4,8059,7919,140,1.73719,2.23536,
J100M5N1,5,8059,7919,140,1.73719,2.18782,
J100M10N1,1,8854,8711,143,1.61509,4.06778,
J100M10N1,2,8854,8711,143,1.61509,4.07984,
J100M10N1,3,8854,8711,143,1.61509,4.04504,
J100M10N1,4,8854,8711,143,1.61509,4.04343,
J100M10N1,5,8854,8711,143,1.61509,4.08207,
J100M20N1,1,9596,9410,186,1.93831,8.80026,
J100M20N1,2,9596,9410,186,1.93831,11.9825,
J100M20N1,3,9596,9410,186,1.93831,9.56252,
J100M20N1,4,9596,9410,186,1.93831,8.85942,
J100M20N1,5,9596,9410,186,1.93831,9.97378,
J200M5N1,1,15790,15675,115,0.728309,17.452,
J200M5N1,2,15790,15675,115,0.728309,17.5019,
J200M5N1,3,15790,15675,115,0.728309,17.4079,
J200M5N1,4,15790,15675,115,0.728309,17.4535,
J200M5N1,5,15790,15675,115,0.728309,17.3908,
J200M10N1,1,16855,16657,198,1.17473,35.2486,
J200M10N1,2,16855,16657,198,1.17473,35.4799,
J200M10N1,3,16855,16657,198,1.17473,35.3438,
J200M10N1,4,16855,16657,198,1.17473,35.2361,
J200M10N1,5,16855,16657,198,1.17473,35.2294,
J200M20N1,1,17521,17397,124,0.707722,73.1739,
J200M20N1,2,17521,17397,124,0.707722,72.5054,
J200M20N1,3,17521,17397,124,0.707722,72.9552,
J200M20N1,4,17521,17397,124,0.707722,72.8721,
J200M20N1,5,17521,17397,124,0.707722,72.6813,
J500M5N1,1,38991,38843,148,0.379575,331.914,
J500M5N1,2,38991,38843,148,0.379575,331.578,
J500M5N1,3,38991,38843,148,0.379575,342.713,
J500M5N1,4,38991,38843,148,0.379575,334.137,
J500M5N1,5,38991,38843,148,0.379575,332.741,
J500M10N1,1,41294,41164,130,0.314816,574.711,
J500M10N1,2,41294,41164,130,0.314816,580.201,
J500M10N1,3,41294,41164,130,0.314816,573.285,
J500M10N1,4,41294,41164,130,0.314816,574.768,
J500M10N1,5,41294,41164,130,0.314816,575.442,
J500M20N1,1,43146,42943,203,0.470496,1145.85,
J500M20N1,2,43146,42943,203,0.470496,1133.87,
J500M20N1,3,43146,42943,203,0.470496,1148.36,
J500M20N1,4,43146,42943,203,0.470496,1137.55,
J500M20N1,5,43146,42943,203,0.470496,1131.96,
