instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1828,0,0,0.021827,comparison bug reproduced faithfully: always a no-op, see README
J20M5N1,2,1828,1828,0,0,0.022089,comparison bug reproduced faithfully: always a no-op, see README
J20M5N1,3,1828,1828,0,0,0.021395,comparison bug reproduced faithfully: always a no-op, see README
J20M5N1,4,1828,1828,0,0,0.021396,comparison bug reproduced faithfully: always a no-op, see README
J20M5N1,5,1828,1828,0,0,0.021233,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,1,2140,2140,0,0,0.057985,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,2,2140,2140,0,0,0.05962,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,3,2140,2140,0,0,0.061149,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,4,2140,2140,0,0,0.053713,comparison bug reproduced faithfully: always a no-op, see README
J20M10N1,5,2140,2140,0,0,0.059194,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,1,2974,2974,0,0,0.147952,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,2,2974,2974,0,0,0.146561,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,3,2974,2974,0,0,0.152648,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,4,2974,2974,0,0,0.163985,comparison bug reproduced faithfully: always a no-op, see README
J20M20N1,5,2974,2974,0,0,0.143843,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,1,3975,3975,0,0,0.455702,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,2,3975,3975,0,0,0.308874,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,3,3975,3975,0,0,0.300964,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,4,3975,3975,0,0,0.425136,comparison bug reproduced faithfully: always a no-op, see README
J50M5N1,5,3975,3975,0,0,0.293505,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,1,4711,4711,0,0,0.53428,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,2,4711,4711,0,0,0.54342,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,3,4711,4711,0,0,0.533298,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,4,4711,4711,0,0,0.553995,comparison bug reproduced faithfully: always a no-op, see README
J50M10N1,5,4711,4711,0,0,0.535646,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,1,5504,5504,0,0,1.93498,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,2,5504,5504,0,0,1.95199,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,3,5504,5504,0,0,2.12375,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,4,5504,5504,0,0,1.92471,comparison bug reproduced faithfully: always a no-op, see README
J50M20N1,5,5504,5504,0,0,1.14076,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,1,8059,8059,0,0,2.22903,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,2,8059,8059,0,0,2.22743,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,3,8059,8059,0,0,2.26612,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,4,8059,8059,0,0,2.2315,comparison bug reproduced faithfully: always a no-op, see README
J100M5N1,5,8059,8059,0,0,2.22735,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,1,8854,8854,0,0,4.08884,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,2,8854,8854,0,0,4.10133,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,3,8854,8854,0,0,4.064,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,4,8854,8854,0,0,4.0667,comparison bug reproduced faithfully: always a no-op, see README
J100M10N1,5,8854,8854,0,0,4.10235,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,1,9596,9596,0,0,11.7047,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,2,9596,9596,0,0,8.68154,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,3,9596,9596,0,0,9.41096,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,4,9596,9596,0,0,8.95607,comparison bug reproduced faithfully: always a no-op, see README
J100M20N1,5,9596,9596,0,0,10.7842,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,1,15790,15790,0,0,17.5511,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,2,15790,15790,0,0,17.5837,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,3,15790,15790,0,0,17.5579,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,4,15790,15790,0,0,17.504,comparison bug reproduced faithfully: always a no-op, see README
J200M5N1,5,15790,15790,0,0,17.6075,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,1,16855,16855,0,0,35.4658,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,2,16855,16855,0,0,37.0035,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,3,16855,16855,0,0,35.3556,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,4,16855,16855,0,0,35.2439,comparison bug reproduced faithfully: always a no-op, see README
J200M10N1,5,16855,16855,0,0,35.2704,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,1,17521,17521,0,0,73.3195,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,2,17521,17521,0,0,74.0778,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,3,17521,17521,0,0,81.2158,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,4,17521,17521,0,0,72.6515,comparison bug reproduced faithfully: always a no-op, see README
J200M20N1,5,17521,17521,0,0,73.9588,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,1,38991,38991,0,0,336.768,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,2,38991,38991,0,0,333.528,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,3,38991,38991,0,0,332.571,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,4,38991,38991,0,0,332.469,comparison bug reproduced faithfully: always a no-op, see README
J500M5N1,5,38991,38991,0,0,343.471,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,1,41294,41294,0,0,570.621,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,2,41294,41294,0,0,575.399,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,3,41294,41294,0,0,570.433,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,4,41294,41294,0,0,573.677,comparison bug reproduced faithfully: always a no-op, see README
J500M10N1,5,41294,41294,0,0,571.369,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,1,43146,43146,0,0,1153.93,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,2,43146,43146,0,0,1147.67,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,3,43146,43146,0,0,1148.01,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,4,43146,43146,0,0,1146.83,comparison bug reproduced faithfully: always a no-op, see README
J500M20N1,5,43146,43146,0,0,1148.41,comparison bug reproduced faithfully: always a no-op, see README
