instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1717,111,6.07221,0.014886,
J20M5N1,2,1828,1717,111,6.07221,0.013995,
J20M5N1,3,1828,1717,111,6.07221,0.013744,
J20M5N1,4,1828,1717,111,6.07221,0.013659,
J20M5N1,5,1828,1717,111,6.07221,0.013649,
J20M10N1,1,2140,2083,57,2.66355,0.036512,
J20M10N1,2,2140,2083,57,2.66355,0.036493,
J20M10N1,3,2140,2083,57,2.66355,0.044712,
J20M10N1,4,2140,2083,57,2.66355,0.034217,
J20M10N1,5,2140,2083,57,2.66355,0.031555,
J20M20N1,1,2974,2791,183,6.15333,0.042524,
J20M20N1,2,2974,2791,183,6.15333,0.041237,
J20M20N1,3,2974,2791,183,6.15333,0.041016,
J20M20N1,4,2974,2791,183,6.15333,0.040951,
J20M20N1,5,2974,2791,183,6.15333,0.040922,
J50M5N1,1,3975,3881,94,2.36478,0.082299,
J50M5N1,2,3975,3881,94,2.36478,0.080681,
J50M5N1,3,3975,3881,94,2.36478,0.079986,
J50M5N1,4,3975,3881,94,2.36478,0.079952,
J50M5N1,5,3975,3881,94,2.36478,0.079834,
J50M10N1,1,4711,4518,193,4.09679,0.144004,
J50M10N1,2,4711,4518,193,4.09679,0.142874,
J50M10N1,3,4711,4518,193,4.09679,0.142532,
J50M10N1,4,4711,4518,193,4.09679,0.147442,
J50M10N1,5,4711,4518,193,4.09679,0.142226,
J50M20N1,1,5504,5354,150,2.72529,0.277747,
J50M20N1,2,5504,5354,150,2.72529,0.276447,
J50M20N1,3,5504,5354,150,2.72529,0.32515,
J50M20N1,4,5504,5354,150,2.72529,0.27622,
J50M20N1,5,5504,5354,150,2.72529,0.307213,
J100M5N1,1,8059,7941,118,1.4642,0.329864,
J100M5N1,2,8059,7941,118,1.4642,0.32869,
J100M5N1,3,8059,7941,118,1.4642,0.338576,
J100M5N1,4,8059,7941,118,1.4642,0.327361,
J100M5N1,5,8059,7941,118,1.4642,0.327313,
J100M10N1,1,8854,8708,146,1.64897,0.596219,
J100M10N1,2,8854,8708,146,1.64897,0.594689,
J100M10N1,3,8854,8708,146,1.64897,0.590134,
J100M10N1,4,8854,8708,146,1.64897,0.593446,
J100M10N1,5,8854,8708,146,1.64897,0.589637,
J100M20N1,1,9596,9421,175,1.82368,1.16284,
J100M20N1,2,9596,9421,175,1.82368,1.16181,
J100M20N1,3,9596,9421,175,1.82368,1.15891,
J100M20N1,4,9596,9421,175,1.82368,1.16031,
J100M20N1,5,9596,9421,175,1.82368,1.16209,
J200M5N1,1,15790,15665,125,0.79164,1.36831,
J200M5N1,2,15790,15665,125,0.79164,1.36884,
J200M5N1,3,15790,15665,125,0.79164,1.36591,
J200M5N1,4,15790,15665,125,0.79164,1.36659,
J200M5N1,5,15790,15665,125,0.79164,1.36843,
J200M10N1,1,16855,16713,142,0.84248,2.45539,
J200M10N1,2,16855,16713,142,0.84248,2.44961,
J200M10N1,3,16855,16713,142,0.84248,2.45149,
J200M10N1,4,16855,16713,142,0.84248,2.66053,
J200M10N1,5,16855,16713,142,0.84248,2.45052,
J200M20N1,1,17521,17350,171,0.975972,4.81932,
J200M20N1,2,17521,17350,171,0.975972,4.81318,
J200M20N1,3,17521,17350,171,0.975972,4.8158,
J200M20N1,4,17521,17350,171,0.975972,4.82143,
J200M20N1,5,17521,17350,171,0.975972,4.90031,
J500M5N1,1,38991,38846,145,0.371881,8.38849,
J500M5N1,2,38991,38846,145,0.371881,8.23228,
J500M5N1,3,38991,38846,145,0.371881,8.20421,
J500M5N1,4,38991,38846,145,0.371881,8.31558,
J500M5N1,5,38991,38846,145,0.371881,8.24979,
J500M10N1,1,41294,41158,136,0.329346,15.4733,
J500M10N1,2,41294,41158,136,0.329346,17.1384,
J500M10N1,3,41294,41158,136,0.329346,15.3904,
J500M10N1,4,41294,41158,136,0.329346,15.3702,
J500M10N1,5,41294,41158,136,0.329346,15.4156,
J500M20N1,1,43146,42947,199,0.461225,30.463,
J500M20N1,2,43146,42947,199,0.461225,30.4972,
J500M20N1,3,43146,42947,199,0.461225,51.5952,
J500M20N1,4,43146,42947,199,0.461225,36.7262,
J500M20N1,5,43146,42947,199,0.461225,33.4945,
