instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1797,31,1.69584,0.014131,
J20M5N1,2,1828,1797,31,1.69584,0.011711,
J20M5N1,3,1828,1797,31,1.69584,0.010934,
J20M5N1,4,1828,1797,31,1.69584,0.010699,
J20M5N1,5,1828,1797,31,1.69584,0.010492,
J20M10N1,1,2140,2125,15,0.700935,0.028199,
J20M10N1,2,2140,2125,15,0.700935,0.027145,
J20M10N1,3,2140,2125,15,0.700935,0.026653,
J20M10N1,4,2140,2125,15,0.700935,0.022499,
J20M10N1,5,2140,2125,15,0.700935,0.02369,
J20M20N1,1,2974,2882,92,3.09348,0.036191,
J20M20N1,2,2974,2882,92,3.09348,0.032488,
J20M20N1,3,2974,2882,92,3.09348,0.030673,
J20M20N1,4,2974,2882,92,3.09348,0.030144,
J20M20N1,5,2974,2882,92,3.09348,0.030087,
J50M5N1,1,3975,3960,15,0.377358,0.07293,
J50M5N1,2,3975,3960,15,0.377358,0.076594,
J50M5N1,3,3975,3960,15,0.377358,0.064885,
J50M5N1,4,3975,3960,15,0.377358,0.062245,
J50M5N1,5,3975,3960,15,0.377358,0.061388,
J50M10N1,1,4711,4564,147,3.12036,0.120864,
J50M10N1,2,4711,4564,147,3.12036,0.110538,
J50M10N1,3,4711,4564,147,3.12036,0.108328,
J50M10N1,4,4711,4564,147,3.12036,0.106728,
J50M10N1,5,4711,4564,147,3.12036,0.106192,
J50M20N1,1,5504,5442,62,1.12645,0.215491,
J50M20N1,2,5504,5442,62,1.12645,0.210064,
J50M20N1,3,5504,5442,62,1.12645,0.206931,
J50M20N1,4,5504,5442,62,1.12645,0.213264,
J50M20N1,5,5504,5442,62,1.12645,0.204203,
J100M5N1,1,8059,7965,94,1.1664,0.284718,
J100M5N1,2,8059,7965,94,1.1664,0.268743,
J100M5N1,3,8059,7965,94,1.1664,0.265927,
J100M5N1,4,8059,7965,94,1.1664,0.267751,
J100M5N1,5,8059,7965,94,1.1664,0.262853,
J100M10N1,1,8854,8737,117,1.32144,0.456802,
J100M10N1,2,8854,8737,117,1.32144,0.44124,
J100M10N1,3,8854,8737,117,1.32144,0.439283,
J100M10N1,4,8854,8737,117,1.32144,0.442386,
J100M10N1,5,8854,8737,117,1.32144,0.439591,
J100M20N1,1,9596,9506,90,0.937891,0.787517,
J100M20N1,2,9596,9506,90,0.937891,0.77387,
J100M20N1,3,9596,9506,90,0.937891,0.767687,
J100M20N1,4,9596,9506,90,0.937891,0.760922,
J100M20N1,5,9596,9506,90,0.937891,0.766569,
J200M5N1,1,15790,15673,117,0.740975,1.14353,
J200M5N1,2,15790,15673,117,0.740975,1.12106,
J200M5N1,3,15790,15673,117,0.740975,1.12097,
J200M5N1,4,15790,15673,117,0.740975,1.11841,
J200M5N1,5,15790,15673,117,0.740975,1.11951,
J200M10N1,1,16855,16715,140,0.830614,1.899,
J200M10N1,2,16855,16715,140,0.830614,1.88043,
J200M10N1,3,16855,16715,140,0.830614,1.91462,
J200M10N1,4,16855,16715,140,0.830614,1.88462,
J200M10N1,5,16855,16715,140,0.830614,1.88276,
J200M20N1,1,17521,17370,151,0.861823,3.6933,
J200M20N1,2,17521,17370,151,0.861823,3.66908,
J200M20N1,3,17521,17370,151,0.861823,3.67603,
J200M20N1,4,17521,17370,151,0.861823,3.67264,
J200M20N1,5,17521,17370,151,0.861823,3.69112,
J500M5N1,1,38991,38898,93,0.238517,6.97234,
J500M5N1,2,38991,38898,93,0.238517,6.92781,
J500M5N1,3,38991,38898,93,0.238517,6.82742,
J500M5N1,4,38991,38898,93,0.238517,6.79533,
J500M5N1,5,38991,38898,93,0.238517,6.74375,
J500M10N1,1,41294,41206,88,0.213106,12.293,
J500M10N1,2,41294,41206,88,0.213106,12.2012,
J500M10N1,3,41294,41206,88,0.213106,12.7008,
J500M10N1,4,41294,41206,88,0.213106,12.6703,
J500M10N1,5,41294,41206,88,0.213106,12.3992,
J500M20N1,1,43146,43006,140,0.32448,22.3893,
J500M20N1,2,43146,43006,140,0.32448,22.4181,
J500M20N1,3,43146,43006,140,0.32448,22.3431,
J500M20N1,4,43146,43006,140,0.32448,22.4694,
J500M20N1,5,43146,43006,140,0.32448,22.8969,
